ReturnLastEpisode,LQGsigma_higher,IWMean,MinEpLen,IWLastEpisode,DenMISEMeanLog,LQGmu1_actor,Bound,ReturnMean,AvgEpLen,NumTrajectories,DenMISELogLast,Iteration,TimeElapsed,IWMax,TimestepsSoFar,IWFirstEpisode,GridSize,Regret,LQGmu1_higher,IWMin,BoundMISE,ReturnStepMax,Delta,ReturnAbsMax,ReturnMax,DenMISELogFirst,BoundBonus,NumTrainableParams,ReturnMin,Regret/t
18.19441,0.14999999,1.017309,20,8.067688e-09,-0.8497276,0.21831664,63.357025,14.600432,20.0,51,-0.9948035,51,2.3052377700805664,6.109454,1020,2.109253e-06,8,-489.62207,0.14285715,,16.657703,19.986897,5.1939596e-06,18.19684,18.19684,-1.2664233,46.69932,,,-9.600432
14.390162,0.14999999,1.4274533,20,0.024775641,-0.8489586,0.7882948,63.111263,14.596389,20.0,52,-0.7902658,52,2.3576672077178955,8.478319,1040,2.1743717,8,-499.0122,0.71428573,,9.896343,19.986897,4.9961136e-06,18.19684,18.19684,-1.2858413,53.21492,,,-9.596389
6.1202536,0.14999999,0.9852948,20,3.603171e-08,-0.8480187,-0.14026168,62.156334,14.436461,20.0,53,-1.1505971,53,2.407212018966675,5.3296127,1060,9.060461e-12,8,-500.13245,-0.14285715,,17.717707,19.986897,4.80936e-06,18.19684,18.19684,-1.2639253,44.43863,,,-9.436461
18.183521,0.14999999,1.0345895,20,3.6308995e-07,-0.84444666,-1.0348545,60.79264,14.505851,20.0,54,-0.61876076,54,2.458540678024292,7.4944825,1080,2.5915484e-37,8,-513.3159,-1.0,,18.818863,19.986897,4.632884e-06,18.19684,18.19684,-1.2826174,41.973778,,,-9.505851
18.190578,0.14999999,0.7090709,20,0.694278,-0.84644717,-0.53564286,60.17713,14.572846,20.0,55,-0.94058865,55,2.50679349899292,6.264401,1100,3.2691494e-27,8,-526.50653,-0.71428573,,12.89962,19.986897,4.4659473e-06,18.19684,18.19684,-1.3009666,47.27751,,,-9.572846
18.18839,0.14999999,1.017204,20,0.15773198,-0.84752554,-0.40105075,59.75673,14.63741,20.0,56,-0.60341924,56,2.558398485183716,5.1197205,1120,9.573314e-12,8,-539.69495,-0.14285715,,18.302153,19.986897,4.307873e-06,18.19684,18.19684,-1.3189851,41.45458,,,-9.63741
18.196428,0.14999999,1.1893934,20,4.606302,-0.84266734,-0.22468457,60.295197,14.699848,20.0,57,-0.56607467,57,2.6150975227355957,4.7227483,1140,1.1147706e-18,8,-552.89136,-0.42857143,,21.635197,19.986897,4.1580456e-06,18.19684,18.19684,-1.3366847,38.66,,,-9.699848
18.186064,0.14999999,0.99620044,20,0.22809507,-0.8347847,0.20310234,59.42269,14.759955,20.0,58,-0.5457576,58,2.668041467666626,6.0351214,1160,2.3024807e-06,8,-566.0774,0.14285715,,16.102396,19.986897,4.0159016e-06,18.19684,18.19684,-1.3540764,43.320293,,,-9.759955
12.589958,0.14999999,1.4030956,20,0.017662112,-0.8346608,0.9171507,58.105255,14.723176,20.0,59,-0.79234046,59,2.7289741039276123,8.283704,1180,2.3680553,8,-573.66736,0.71428573,,9.617471,19.986897,3.8809226e-06,18.19684,18.19684,-1.3711708,48.487785,,,-9.723176
4.616542,0.14999999,1.0112702,20,3.3094893e-35,-0.836896,-0.96318823,57.9453,14.554732,20.0,60,-1.3051938,60,2.7877352237701416,7.2447414,1200,2.7683873e-37,8,-573.28394,-1.0,,18.394783,19.986897,3.752637e-06,18.19684,18.19684,-1.3486259,39.550518,,,-9.554732
18.192303,0.14999999,1.1446679,20,0.010849898,-0.83760405,-0.15469173,57.562798,14.614364,20.0,61,-0.8496674,61,2.840730667114258,4.6669426,1220,1.1469633e-18,8,-586.4762,-0.42857143,,20.821394,19.986897,3.6306074e-06,18.19684,18.19684,-1.3651552,36.741405,,,-9.614364
18.171114,0.14999999,1.0578035,20,4.9400992,-0.8322062,-0.28398085,58.019897,14.671731,20.0,62,-0.6223163,62,2.895411968231201,4.991159,1240,1.019004e-11,8,-599.64734,-0.14285715,,19.020855,19.986897,3.5144358e-06,18.19684,18.19684,-1.3814157,38.999043,,,-9.671731
18.183975,0.14999999,1.0001856,20,0.077027984,-0.8264566,0.27081984,56.451702,14.727481,20.0,63,-0.5069143,63,2.947572708129883,5.864538,1260,2.4044634e-06,8,-612.8313,0.14285715,,15.846038,19.986897,3.4037516e-06,18.19684,18.19684,-1.3974161,40.605663,,,-9.727481
12.072385,0.14999999,0.76603127,20,3.6752906,-0.8276806,0.48238742,56.326874,14.685995,20.0,64,-0.87646323,64,3.0040206909179688,7.163488,1280,0.015068836,8,-619.9037,0.42857143,,8.619474,19.986897,3.2982155e-06,18.19684,18.19684,-1.4131644,47.707397,,,-9.685995
