Delta,ReturnMin,DenMISELogLast,ReturnLastEpisode,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,IWLastEpisode,ReturnAbsMax,IWMean,IWFirstEpisode,Bound,IWMin,Iteration,IWMax,Regret/t,ReturnStepMax,Regret,ReturnMax,LQGsigma_higher,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,ReturnMean
1.581496e-07,,-0.59409916,0.92133045,-0.9979898,1240,-0.8181818,3.276698,0.922595,1.1208045,0.00038988824,3.0932045,,62,4.558241,0.29757482,0.9671884,18.449638,0.922595,0.14999999,38.24894833564758,-0.8802794,-0.7576115,0.6675452
1.5316883e-07,,-0.6361993,0.9133907,-0.757632,1260,-1.0,5.0243244,0.922595,1.1648831,9.417801e-07,3.0424356,,63,6.711714,0.2936725,0.9671884,18.50137,0.922595,0.14999999,38.93867635726929,-0.87483543,-0.7736056,0.6714475
1.484197e-07,,-0.50896525,0.92128044,-0.66713095,1280,-0.4949495,0.9548186,0.922595,0.91840523,0.49430305,3.0396507,,64,5.084914,0.28976887,0.9671884,18.545208,0.922595,0.14999999,39.942787170410156,-0.86705434,-0.7893539,0.67535114
1.4388809e-07,,-0.5591128,0.92232466,0.4512632,1300,0.1919192,3.511766e-07,0.922595,0.9101248,0.3682611,3.0276628,,65,7.1248217,0.28596926,0.9671884,18.588001,0.922595,0.14999999,40.91588807106018,-0.8637875,-0.79716426,0.67915076
1.3956085e-07,,-1.0064937,0.38692868,-0.6351173,1320,-0.7373737,1.6844573e-13,0.922595,1.1068851,0.0037469112,3.0226598,,66,4.5332894,0.2903968,0.9671884,19.166191,0.922595,0.14999999,41.92474389076233,-0.8677062,-0.8067822,0.6747232
1.3542595e-07,,-0.5466721,0.9216356,0.60123575,1340,0.53535354,2.7565239e-13,0.922595,1.2170191,0.00012482582,3.0191205,,67,7.667546,0.28671163,0.9671884,19.209679,0.922595,0.14999999,42.65281391143799,-0.8616341,-0.8217633,0.6784084
1.3147212e-07,,-1.0134387,0.31216735,0.7180236,1360,0.83838385,2.0998363,0.922595,0.8542552,1.3837747e-09,2.9873123,,68,9.291095,0.29209745,0.9671884,19.862625,0.922595,0.14999999,43.67193794250488,-0.86130536,-0.8365765,0.67302257
1.2768895e-07,,-1.0570434,0.23919278,-0.14193192,1380,-0.15151516,3.8618523e-07,0.922595,0.7640352,6.2163296,2.9762034,,69,6.2163296,0.2983849,0.9671884,20.588562,0.922595,0.14999999,44.77253198623657,-0.8666224,-0.8511753,0.6667351
1.2406676e-07,,-0.80052555,0.87722874,-0.46358216,1400,-0.6363636,0.025892599,0.922595,1.0074202,0.03856704,2.9479468,,70,4.7982078,0.29537785,0.9671884,20.676453,0.922595,0.14999999,45.354504346847534,-0.8692378,-0.7793022,0.66974217
1.2059652e-07,,-0.6182462,0.92037916,-0.22936113,1420,-0.41414142,4.674433,0.922595,1.0017413,1.4215542,2.9458823,,71,4.9301357,0.29184777,0.9671884,20.721191,0.922595,0.14999999,46.307379961013794,-0.86582303,-0.792936,0.67327225
1.1726989e-07,,-0.70367694,0.89830035,-0.11460911,1440,-0.21212122,5.3401494,0.922595,0.93474555,5.5186863,2.9211354,,72,5.5186863,0.2887224,0.9671884,20.78801,0.922595,0.14999999,47.34123182296753,-0.8638064,-0.78709817,0.6763976
1.1407902e-07,,-0.79331225,0.87468547,-0.039634768,1460,0.01010101,4.161518,0.922595,0.7555515,2.8619561,2.934516,,73,6.951236,0.2860061,0.9671884,20.87844,0.922595,0.14999999,48.37362766265869,-0.86398,-0.7270386,0.6791139
