IWLastEpisode,ReturnStepMax,Regret/t,DenMISELogFirst,Regret,ReturnLastEpisode,DenMISEMeanLog,LQGmu1_higher,TimeElapsed,LQGsigma_higher,Bound,IWMax,Iteration,ReturnMean,ReturnMax,Delta,IWMean,ReturnMin,DenMISELogLast,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,IWMin,TimestepsSoFar
8.114594,0.97719985,0.2711237,-0.7926859,22.50327,0.92331207,-0.81622887,-1.0,58.86883330345154,0.14999999,2.8077252,8.791473,83,0.6939963,0.93313843,8.8246054e-08,0.82935804,,-1.3653792,1.7703416e-08,0.93313843,-0.94907856,,1660
0.0001906124,0.97719985,0.26833212,-0.80466217,22.539902,0.9284846,-0.8161475,-0.27272728,59.677746534347534,0.14999999,2.8070009,5.09901,84,0.6967879,0.93313843,8.6157456e-08,0.9794208,,-0.62213033,2.1829052,0.93313843,-0.4912082,,1680
5.5170407e-08,0.97719985,0.26558453,-0.7908416,22.574688,0.93033123,-0.81311285,0.41414142,60.49595785140991,0.14999999,2.795938,7.7577877,85,0.6995355,0.93313843,8.4142165e-08,0.968198,,-0.5236009,0.03938312,0.93313843,0.20811242,,1700
0.0010006997,0.97719985,0.26818806,-0.8020744,23.06417,0.4756341,-0.81525165,0.83838385,61.36070728302002,0.14999999,2.7887704,9.582118,86,0.69693196,0.93313843,8.219674e-08,1.0653079,,-0.94236624,9.4973295e-08,0.93313843,0.6876836,,1720
0.03537152,0.97719985,0.273103,-0.8136352,23.75996,0.2693324,-0.81871086,0.1919192,62.175681829452515,0.14999999,2.7786598,6.871646,87,0.692017,0.93313843,8.031802e-08,1.1371008,,-1.1418,1.4585595,0.93313843,0.1809042,,1740
0.00013541745,0.97719985,0.27549845,-0.8084378,24.243866,0.48122242,-0.8181822,-0.5151515,62.98829388618469,0.14999999,2.7773898,4.6151586,88,0.68962157,0.93313843,7.850298e-08,1.0325909,,-0.88119555,0.060225926,0.93313843,-0.49134377,,1760
0.22310138,0.97719985,0.27278715,-0.81905323,24.278057,0.93092394,-0.8145948,-0.85858583,63.965696811676025,0.14999999,2.738055,4.5808816,89,0.69233286,0.93313843,7.674878e-08,1.102264,,-0.51872855,4.278721e-06,0.93313843,-0.5379299,,1780
3.8292575,0.97719985,0.27012277,-0.8302265,24.31105,0.9321273,-0.81035817,-0.45454547,65.08609962463379,0.14999999,2.7676563,4.543844,90,0.69499725,0.93313843,7.505273e-08,1.1043069,,-0.51899964,0.19311485,0.93313843,-0.22879809,,1800
3.4182014,0.97719985,0.26765466,-0.8391329,24.356575,0.91959035,-0.8078819,-0.09090909,66.00482749938965,0.14999999,2.7374325,6.042797,91,0.69746536,0.93313843,7.3412274e-08,0.88864905,,-0.6734526,6.028994,0.93313843,-0.16861194,,1820
3.8008406,0.97719985,0.26536888,-0.7859116,24.413933,0.90776694,-0.8080625,-0.2929293,66.84111952781677,0.14999999,2.7304194,4.843872,92,0.69975114,0.93313843,7.182504e-08,1.0261736,,-0.700481,1.7544619,0.93313843,-0.0889409,,1840
2.0282484e-11,0.97719985,0.26352435,-0.77783185,24.507767,0.8712812,-0.8073135,1.0,67.68348240852356,0.14999999,2.7175605,17.436405,93,0.70159566,0.93313843,7.028872e-08,0.9647572,,-0.75149685,8.153396e-11,0.93313843,0.8665982,,1860
2.220812,0.97719985,0.26950413,-0.78852713,25.33339,0.13949881,-0.8124821,0.61616164,68.51748824119568,0.14999999,2.7123897,8.721016,94,0.6956159,0.93313843,6.880116e-08,0.9130299,,-1.2134353,0.00022394823,0.93313843,0.80361867,,1880
8.3635547e-20,0.97719985,0.274841,-0.7991069,26.109894,0.18861037,-0.8174172,-0.6363636,69.3582854270935,0.14999999,2.7044857,4.4346356,95,0.690279,0.93313843,6.736033e-08,1.0255877,,-1.1728675,0.0037144779,0.93313843,-0.69723755,,1900
6.331822e-05,0.97730595,0.27231026,-0.8095391,26.141785,0.9332322,-0.8136595,0.01010101,70.2036681175232,0.14999999,2.6942441,6.347856,96,0.69280976,0.9332322,6.5964315e-08,0.9950288,,-0.4728797,5.351527,0.9332322,-0.0013694875,,1920
