DenMISELogFirst,LQGmu1_higher,IWFirstEpisode,ReturnMax,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,Iteration,TimestepsSoFar,IWMean,IWLastEpisode,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,IWMin,ReturnMean,TimeElapsed,ReturnLastEpisode,Regret/t,ReturnMin,ReturnStepMax,Delta,IWMax
-0.79209983,-0.1919192,5.049694,0.9213294,2.8958225,0.14999999,22.455574,-0.85068846,75,1500,0.93549156,3.279838e-07,-1.0892771,-0.25320703,0.9213294,,0.66571236,57.234105348587036,0.26142195,0.29940766,,0.96595293,1.0807592e-07,5.652871
-0.74018556,0.35353535,0.047543153,0.9213294,2.8619182,0.14999999,22.516647,-0.8496324,76,1520,1.1177272,0.001482103,-0.6883335,0.3278334,0.9213294,,0.66884834,57.73257803916931,0.904041,0.29627168,,0.96595293,1.0525054e-07,7.305239
-0.75263226,-0.35353535,1.5029185,0.9213294,2.8564687,0.14999999,23.05022,-0.8494885,77,1540,0.92120796,0.00022225038,-0.92707694,-0.2186977,0.9213294,,0.6657665,58.20687198638916,0.4315478,0.29935354,,0.96595293,1.02534514e-07,4.811989
-0.7462053,-0.07070707,5.4246025,0.9213294,2.8284528,0.14999999,23.122734,-0.84845996,78,1560,1.0044262,3.2168694,-0.67692107,-0.09610515,0.9213294,,0.66867465,58.68616199493408,0.8926055,0.29644537,,0.96595293,9.9922275e-08,5.8025208
-0.6917099,-1.0,1.18055354e-07,0.9213294,2.822744,0.14999999,23.245163,-0.8467658,79,1580,0.8807036,6.9756965e-08,-0.6997038,-0.68398464,0.9213294,,0.67087746,59.57214856147766,0.84269565,0.29424256,,0.96595293,9.74086e-08,8.097151
-0.70428866,-0.67676765,0.004217656,0.9213294,2.8502178,0.14999999,23.291634,-0.84454215,80,1600,1.1114413,4.5126705,-0.529865,-0.44966584,0.9213294,,0.67397463,60.34751892089844,0.9186475,0.29114538,,0.96595293,9.49886e-08,4.5300083
-0.7166585,0.61616164,4.5081135e-05,0.9213294,2.8144722,0.14999999,23.339188,-0.84041125,81,1620,1.073409,5.3000545e-11,-0.60528284,0.42791477,0.9213294,,0.67698187,61.37571692466736,0.9175678,0.28813815,,0.96595293,9.265769e-08,8.159108
-0.72892797,-0.45454547,0.39118025,0.9213294,2.811194,0.14999999,23.908646,-0.8415784,82,1640,0.99062145,2.1527453e-07,-0.9757149,-0.41518998,0.9213294,,0.67355114,62.46848440170288,0.39566046,0.29156888,,0.96595293,9.041153e-08,4.929341
-0.7362902,-0.25252524,3.5250316,0.9213294,2.8002818,0.14999999,23.956043,-0.8388031,83,1660,0.993602,2.6592379,-0.5878541,-0.07809292,0.9213294,,0.67649305,63.45986986160278,0.9177258,0.28862697,,0.96595293,8.8246054e-08,5.176834
-0.70667326,0.07070707,2.6200585,0.9213294,2.778598,0.14999999,24.091385,-0.8378305,84,1680,1.0101045,3.3934798,-0.7357064,0.26147354,0.9213294,,0.67831784,64.39440417289734,0.82977957,0.28680217,,0.96595293,8.6157456e-08,6.526683
-0.6877931,0.3131313,0.09992862,0.9213294,2.7614286,0.14999999,24.6064,-0.8394631,85,1700,1.1754279,6.5947356,-0.9673908,0.36635238,0.9213294,,0.67563295,65.18488454818726,0.45010266,0.28948706,,0.96595293,8.4142165e-08,7.1241655
-0.6983142,-0.65656567,0.006914122,0.9213294,2.7440405,0.14999999,25.152657,-0.83883643,86,1720,1.0646739,5.389048e-10,-0.93280923,-0.55233616,0.9213294,,0.67264724,66.0025725364685,0.4188607,0.29247278,,0.96595293,8.219674e-08,4.5048103
-0.70979464,-0.47474748,0.27898562,0.9213294,2.7285352,0.14999999,25.198616,-0.8346582,87,1740,1.0112257,3.9379144,-0.5262476,-0.6897103,0.9213294,,0.6754807,66.90715718269348,0.9191581,0.2896393,,0.96595293,8.031802e-08,4.6664276
-0.7180217,-0.8181818,7.755972e-05,0.9213294,2.7264376,0.14999999,25.242645,-0.83070654,88,1760,1.0646249,2.9929388,-0.48485038,-0.94435084,0.9213294,,0.67827183,67.73513340950012,0.9210987,0.2868482,,0.96595293,7.850298e-08,4.6021557
-0.7293204,1.0,7.265802e-12,0.9213294,2.7166786,0.14999999,25.293526,-0.8284133,89,1780,1.0473671,1.709561e-36,-0.67611843,0.8636743,0.9213294,,0.6809231,68.57103896141052,0.9142353,0.2841969,,0.96595293,7.674878e-08,16.335407
-0.7404937,-0.13131313,5.5184755,0.9213294,2.7059803,0.14999999,26.130028,-0.8334166,90,1800,1.0000495,2.6064917e-09,-1.2565597,-0.22360371,0.9213294,,0.6747864,69.41013193130493,0.12861691,0.29033363,,0.96595293,7.505273e-08,5.5242753
