TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,DenMISELogLast,LQGmu1_higher,DenMISEMeanLog,ReturnStepMax,Bound,Iteration,IWMin,IWMax,DenMISELogFirst,Regret/t,IWMean,IWFirstEpisode,LQGmu1_actor,ReturnMin,ReturnLastEpisode,Regret,ReturnMax,TimeElapsed,Delta,LQGsigma_higher
1620,0.9533075,1.05673466e-22,0.75599587,-1.2350556,-0.61616164,-0.85450715,0.9964463,2.9777057,81,,4.8091383,-0.6985815,0.20912415,1.0780579,0.0040085996,-0.64063513,,0.14433143,16.939056,0.9533075,60.934770584106445,9.265769e-08,0.14999999
1640,0.9533075,0.014529204,0.75839263,-0.55486697,-0.13131313,-0.850104,0.9964463,2.9328136,82,,4.9941993,-0.7108021,0.20672739,1.0501196,4.624704,-0.051709585,,0.95253307,16.951645,0.9533075,61.434518337249756,9.041153e-08,0.14999999
1660,0.9533075,1.0824915e-08,0.76047045,-0.6638433,-1.0,-0.84743583,0.9964463,2.9342449,83,,7.6769133,-0.6680577,0.20464957,0.99139154,8.949573e-09,-0.9773145,,0.9308547,16.985916,0.9533075,61.916637897491455,8.8246054e-08,0.14999999
1680,0.9533075,1.1380679e-18,0.7627459,-0.7301621,0.41414142,-0.84645814,0.9964463,2.9220533,84,,8.430917,-0.68003386,0.2023741,0.6543778,0.04644148,0.19798143,,0.95160466,16.999428,0.9533075,62.391616344451904,8.6157456e-08,0.14999999
1700,0.9533075,5.068926,0.7604132,-0.89971375,0.09090909,-0.8513388,0.9964463,2.9435062,85,,6.0558467,-0.6913156,0.20470679,1.1336964,3.4771028,0.08192479,,0.56446964,17.400078,0.9533075,62.88472843170166,8.4142165e-08,0.14999999
1720,0.9533075,1.9016055e-07,0.75967896,-0.75157917,-0.7979798,-0.84890676,0.9964463,2.9221342,86,,5.0396147,-0.6629191,0.20544106,1.0015254,1.868072e-05,-0.79890436,,0.6972679,17.66793,0.9533075,63.40197014808655,8.219674e-08,0.14999999
1740,0.9533075,1.928706,0.76189554,-0.5939252,-0.5959596,-0.8461179,0.9964463,2.892601,87,,4.7257223,-0.6744797,0.20322448,1.0766003,0.00646373,-0.5555648,,0.9525208,17.680527,0.9533075,64.28052759170532,8.031802e-08,0.14999999
1760,0.9533075,2.5536475,0.7640641,-0.5398475,-0.3939394,-0.84193933,0.9964463,2.8770556,88,,4.6362495,-0.6858341,0.20105594,1.0700284,0.36452547,-0.36140925,,0.9527246,17.692924,0.9533075,65.27036786079407,7.850298e-08,0.14999999
1780,0.9533075,5.839889e-18,0.7661721,-0.52744937,1.0,-0.8377677,0.9964463,2.8615875,89,,16.963974,-0.6929999,0.1989479,1.1652465,1.3935528e-10,1.0195042,,0.95168,17.706367,0.9533075,68.27324032783508,7.674878e-08,0.14999999
1800,0.9533075,1.6242863e-09,0.7585488,-1.4257326,0.01010101,-0.84308726,0.9964463,2.8576427,90,,5.512958,-0.7041732,0.20657122,1.1068239,5.000947,-0.26984072,,0.08008068,18.591408,0.9533075,72.01853561401367,7.505273e-08,0.14999999
1820,0.9533075,4.6892166,0.760669,-0.5672692,-0.27272728,-0.8390854,0.9964463,2.8712502,91,,4.690769,-0.6611458,0.20445102,1.1294107,1.6621534,-0.2780757,,0.9514828,18.605042,0.9533075,73.87476563453674,7.3412274e-08,0.14999999
1840,0.9533075,4.2000327e-05,0.7627504,-0.5256458,-1.0,-0.83444786,0.9964463,2.8431306,92,,7.7268267,-0.6539743,0.20236963,0.9824905,8.824411e-09,-1.0173126,,0.9521576,18.618004,0.9533075,76.27328491210938,7.182504e-08,0.14999999
1860,0.9533075,0.0032005932,0.7647803,-0.8296902,-0.43434343,-0.83483803,0.9964463,2.8259294,93,,4.544697,-0.6647852,0.20033973,1.0964421,0.18464789,-0.28564537,,0.9515235,18.6316,0.9533075,78.49708724021912,7.028872e-08,0.14999999
1880,0.9533075,3.9507067,0.7667733,-0.5158418,-0.21212122,-0.83055,0.9964463,2.8282876,94,,4.6600437,-0.673497,0.19834673,1.1273828,2.8478737,-0.20042557,,0.95212156,18.644592,0.9533075,80.50980424880981,6.880116e-08,0.14999999
1900,0.9533075,0.00093365356,0.7686633,-0.5259211,-0.8181818,-0.8261592,0.9964463,2.8178031,95,,5.0345826,-0.65423244,0.19645673,0.98093617,9.35163e-06,-0.54379237,,0.946318,18.663391,0.9533075,82.72346353530884,6.736033e-08,0.14999999
1920,0.9533075,4.280328,0.7705758,-0.53632414,-0.5959596,-0.8234666,0.9964463,2.7886586,96,,4.5788255,-0.66470367,0.1945442,1.0668254,0.006400848,-0.66324633,,0.9522748,18.676239,0.9533075,85.3551733493805,6.5964315e-08,0.14999999
1940,0.9533075,8.2533276e-08,0.7724521,-0.5349743,0.23232323,-0.8199392,0.9964463,2.7864318,97,,6.968429,-0.6749998,0.1926679,0.95792973,0.92131263,0.12555325,,0.9525788,18.688782,0.9533075,88.33462238311768,6.461123e-08,0.14999999
