IWMin,Delta,Iteration,ReturnAbsMax,LQGmu1_actor,Bound,ReturnMin,DenMISELogLast,Regret,Regret/t,LQGmu1_higher,ReturnStepMax,TimeElapsed,DenMISELogFirst,LQGsigma_higher,IWLastEpisode,IWMean,IWMax,ReturnLastEpisode,ReturnMax,IWFirstEpisode,TimestepsSoFar,DenMISEMeanLog,ReturnMean
,9.9922275e-08,78,0.9509597,0.020253092,2.977592,,-0.796403,18.555275,0.23788816,-0.1919192,0.9941904,63.4849488735199,-0.86953855,0.14999999,2.86974,0.9023503,5.4868746,0.90193164,0.9509597,0.099472985,1560,-0.89225185,0.72723186
,9.74086e-08,79,0.9509597,0.3582785,2.958557,,-0.78628606,18.677864,0.23642862,-0.01010101,0.9941904,64.34495639801025,-0.8810031,0.14999999,5.7201357,0.9976075,5.7728477,0.842536,0.9509597,1.5894922,1580,-0.8923259,0.7286914
,9.49886e-08,80,0.9509597,0.57027906,2.9745986,,-0.95966375,19.167603,0.239595,0.5555556,0.9941904,65.12357354164124,-0.87366146,0.14999999,2.9241252,1.1477497,7.867256,0.47538033,0.9509597,0.7020921,1600,-0.89344156,0.725525
,9.265769e-08,81,0.9509597,-0.8285889,2.9470007,,-1.0133127,19.762878,0.24398619,-0.6363636,0.9941904,65.93015837669373,-0.8773461,0.14999999,6.504066e-14,0.99381727,5.0771017,0.36984423,0.9509597,2.4266208e-07,1620,-0.8934979,0.7211338
,9.041153e-08,82,0.9509597,-0.67916524,2.9621892,,-0.6559572,19.778255,0.24119824,-1.0,0.9941904,66.74935173988342,-0.8896162,0.14999999,2.6676834,1.1003145,7.227584,0.9497407,0.9509597,9.108096e-15,1640,-0.89086205,0.7239218
,8.8246054e-08,83,0.9509597,-0.745802,2.9192805,,-0.6225673,19.793053,0.2384705,-0.75757575,0.9941904,67.56602382659912,-0.9017376,0.14999999,4.3237453,0.9664737,5.040701,0.95032763,0.9509597,1.5930064e-09,1660,-0.8867847,0.7266495
,8.6157456e-08,84,0.9509597,-0.03400281,2.8892155,,-0.5914413,19.807804,0.23580718,0.33333334,0.9941904,68.39137768745422,-0.91371375,0.14999999,2.7719325e-11,1.1562024,6.937268,0.9503672,0.9509597,5.4764423,1680,-0.8838449,0.72931284
,8.4142165e-08,85,0.9509597,-0.0091069685,2.87359,,-0.76420194,19.85537,0.23359257,-0.01010101,0.9941904,69.21498084068298,-0.8623896,0.14999999,5.638894,1.0011894,5.751829,0.9175555,0.9509597,1.56018,1700,-0.88091016,0.73152745
,8.219674e-08,86,0.9509597,-0.64323187,2.8711207,,-0.7180322,19.89655,0.23135525,-0.5959596,0.9941904,70.04556894302368,-0.855897,0.14999999,0.0025875825,1.0388465,4.7951283,0.9239411,0.9509597,1.1060927e-06,1720,-0.87921995,0.73376477
,8.031802e-08,87,0.9509597,-0.2194516,2.8504465,,-0.5630023,19.91159,0.2288689,-0.33333334,0.9941904,70.87509298324585,-0.86745787,0.14999999,0.55268115,0.91168517,5.2617846,0.9500788,0.9509597,0.004201784,1740,-0.8753048,0.7362511
,7.850298e-08,88,0.9509597,1.2327346,2.8431702,,-0.68140197,19.931168,0.2264905,1.0,0.9941904,71.71039581298828,-0.87883824,0.14999999,2.339506e-14,0.7915714,15.278741,0.9455476,0.9509597,1.7364819e-05,1760,-0.87424487,0.7386295
,7.674878e-08,89,0.9509597,-0.796241,2.8441906,,-2.865225,20.848274,0.23425025,-0.7979798,0.9941904,72.54064202308655,-0.8901376,0.14999999,,0.9553449,4.992202,0.04801105,0.9509597,2.5295036e-10,1780,-0.8993268,0.73086977
,7.505273e-08,90,0.9509597,-0.20057493,2.8326247,,-0.5853174,20.863945,0.2318216,-0.13131313,0.9941904,73.3785412311554,-0.9013109,0.14999999,0.0002582473,0.952802,5.479085,0.9494436,0.9509597,0.30333763,1800,-0.8964802,0.7332984
,7.3412274e-08,91,0.9509597,-1.1115286,2.813163,,-0.66797864,20.88211,0.22947377,-1.0,0.9941904,74.21615934371948,-0.908996,0.14999999,3.5250014e-06,1.0264266,7.3320017,0.9469553,0.9509597,9.2863195e-15,1820,-0.8946428,0.73564625
