ReturnMin,Iteration,TimestepsSoFar,IWLastEpisode,LQGmu1_actor,Regret/t,DenMISELogFirst,ReturnStepMax,ReturnLastEpisode,ReturnMean,delta,IWMean,Regret,Bound,DenMISEMeanLog,LQGsigma_higher,LQGmu1_higher,DenMISELogLast,ReturnAbsMax,IWFirstEpisode,IWMin,IWMax,ReturnMax,TimeElapsed
,89,1780,2.6328473e-10,-1.0223839,4.718154,-0.88193274,19.190777,9.121926,12.641847,1.5349757e-07,1.0029775,419.91565,50.18393,-0.8609842,0.14999999,-1.0,-0.84415895,17.401512,3.5463295e-11,,7.0638394,17.401512,29.37427544593811
,90,1800,0.092665754,-0.5368992,4.667509,-0.89310604,19.190777,17.19977,12.692492,1.5010546e-07,1.1228862,420.0758,49.968918,-0.8601248,0.14999999,-0.59183675,-0.76241523,17.401512,0.00028566894,,4.2442656,17.401512,29.75515604019165
,91,1820,6.5630167e-23,0.79729736,4.6159163,-0.9041527,19.190777,17.387554,12.744084,1.4682455e-07,0.96719444,420.04834,49.75829,-0.8542548,0.14999999,1.0,-0.43402013,17.401512,4.4654247e-08,,16.84599,17.401512,30.137929916381836
,92,1840,4.7034826,0.6254662,4.7183857,-0.9150818,19.190777,3.3169792,12.641615,1.4365008e-07,1.2184443,434.09155,49.672752,-0.8585692,0.14999999,0.63265306,-1.1725162,17.401512,0.0075017237,,8.390027,17.401512,30.521633863449097
,93,1860,0.43467486,0.4309247,4.794715,-0.9258112,19.190777,5.54284,12.565286,1.4057744e-07,0.8373383,445.90857,49.38437,-0.85887647,0.14999999,0.26530612,-1.0712243,17.401512,3.131054,,7.716215,17.401512,30.90572738647461
,94,1880,1.1552998e-07,-0.44586205,4.849517,-0.90339357,19.190777,7.4139543,12.510484,1.3760231e-07,1.0847307,455.8546,49.208485,-0.86292046,0.14999999,-0.46938777,-1.0605865,17.401512,0.008010283,,4.4096537,17.401512,31.28994393348694
,95,1900,0.0046855044,-1.125434,4.7982483,-0.9138904,19.190777,17.38101,12.561752,1.3472066e-07,1.0019203,455.83362,49.13245,-0.85816246,0.14999999,-1.0,-0.48229018,17.401512,3.6614923e-11,,6.9852915,17.401512,31.67624545097351
,96,1920,0.040712543,-0.7407612,4.749976,-0.92436177,19.190777,17.195875,12.610024,1.3192863e-07,1.0813097,455.99768,48.62545,-0.86211586,0.14999999,-0.63265306,-1.2168912,17.401512,8.394976e-05,,4.3005795,17.401512,32.06532669067383
,97,1940,0.00457001,-0.103407614,4.700904,-0.9347237,19.190777,17.370024,12.659097,1.2922246e-07,0.851204,455.98767,48.581085,-0.85798943,0.14999999,-0.18367347,-0.53017485,17.401512,1.4438177,,5.6849337,17.401512,32.453731060028076
,98,1960,3.2080464,0.20474643,4.6698523,-0.9302051,19.190777,15.702094,12.690148,1.265987e-07,0.997534,457.6455,48.597023,-0.8589172,0.14999999,0.06122449,-0.789786,17.401512,6.689285,,6.689285,17.401512,32.84462308883667
,99,1980,1.5342632e-09,-0.56022424,4.7099257,-0.8743282,19.190777,8.722976,12.650075,1.2405411e-07,0.89419407,466.2826,48.607048,-0.86034685,0.14999999,-0.79591835,-0.9783818,17.401512,2.5064068e-07,,4.8078313,17.401512,33.235620737075806
,100,2000,1.5080326e-09,0.21674201,4.6624203,-0.88437855,19.190777,17.400557,12.69758,1.2158542e-07,0.96132004,466.24194,48.416126,-0.8572464,0.14999999,0.42857143,-0.43640077,17.401512,0.43316507,,8.138926,17.401512,33.62896943092346
,101,2020,0.00067976513,-0.65795577,4.7022285,-0.89000654,19.190777,8.676943,12.657772,1.1918971e-07,1.036542,474.92517,48.184017,-0.859064,0.14999999,-0.42857143,-0.982043,17.401512,0.020636018,,4.558376,17.401512,34.02088284492493
