Iteration,ReturnMean,IWMean,TimestepsSoFar,ReturnLastEpisode,LQGsigma_higher,DenMISELogLast,delta,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,DenMISELogFirst,DenMISEMeanLog,ReturnMax,TimeElapsed,IWMin,Bound,IWLastEpisode,LQGmu1_higher,ReturnStepMax,Regret,Regret/t,IWMax,ReturnMin
73,11.94548,1.1345778,1460,9.971243,0.14999999,-0.7762656,2.2815804e-07,1.3026251e-11,17.40675,-0.97026044,-0.7950175,-0.9570484,17.40675,23.853617906570435,,53.652786,2.0487132e-09,-1.0,19.19513,395.25995,5.4145203,6.562585,
74,12.016927,0.8948983,1480,17.232443,0.14999999,-0.5478084,2.2203328e-07,0.00014817299,17.40675,-0.32715136,-0.80862314,-0.95009273,17.40675,24.214380741119385,,53.209114,0.19083755,-0.59183675,19.19513,395.38745,5.343074,5.2631345,
75,12.085487,0.76812977,1500,17.159023,0.14999999,-0.801012,2.1615185e-07,0.15787415,17.40675,-0.20780349,-0.82204413,-0.9497177,17.40675,24.573593854904175,,53.03497,5.867135,-0.30612245,19.19513,395.58844,5.2745132,5.8858128,
76,12.1469555,1.0145053,1520,16.757093,0.14999999,-0.7609904,2.1050109e-07,2.493558,17.40675,-0.018970683,-0.83318657,-0.95045704,17.40675,24.934829711914062,,52.92294,4.4397573,-0.10204082,19.19513,396.19147,5.213045,5.811228,
77,12.132844,1.1183505,1540,11.060358,0.14999999,-0.75190735,2.0506903e-07,0.00041989813,17.40675,0.65685993,-0.81397545,-0.94792867,17.40675,25.296050310134888,,52.57072,9.3026365e-06,0.75510204,19.19513,402.4911,5.2271566,8.537837,
78,12.043657,1.1178799,1560,5.1763144,0.14999999,-1.0492448,1.9984455e-07,1.34479025e-11,17.40675,-0.92473114,-0.8268734,-0.9481825,17.40675,25.661612510681152,,52.18699,2.4364154e-26,-1.0,19.19513,414.6748,5.3163433,6.433677,
79,12.109763,0.9183781,1580,17.26595,0.14999999,-0.51582134,1.948172e-07,1.5700185,17.40675,0.2189039,-0.8396124,-0.9415515,17.40675,26.02926993370056,,52.190678,1.1010202e-15,0.3469388,19.19513,414.7688,5.2502375,6.5338807,
80,12.066745,1.0007474,1600,8.668368,0.14999999,-0.8925707,1.899772e-07,1.14309415e-07,17.40675,-0.8986676,-0.83251244,-0.9421691,17.40675,26.398395776748657,,52.17734,7.4687634e-10,-0.79591835,19.19513,423.46045,5.293256,4.6759295,
81,12.131176,1.2598784,1620,17.285652,0.14999999,-0.49282473,1.8531539e-07,5.9984484,17.40675,0.112660244,-0.844935,-0.9368033,17.40675,26.76696538925171,,51.544266,5.5782605e-09,0.06122449,19.19513,423.5348,5.2288246,6.0983267,
82,12.092857,0.7238323,1640,8.989094,0.14999999,-0.7934123,1.8082306e-07,0.012035793,17.40675,-0.49791905,-0.785764,-0.9322488,17.40675,27.135446548461914,,51.171814,0.008756125,-0.42857143,19.19513,431.9057,5.2671432,5.182357,
