Regret/t,TimestepsSoFar,Regret,IWMean,ReturnMax,IWLastEpisode,IWMin,DenMISELogLast,Iteration,DenMISEMeanLog,ReturnStepMax,Bound,LQGmu1_actor,IWFirstEpisode,ReturnMean,delta,ReturnMin,IWMax,ReturnAbsMax,ReturnLastEpisode,LQGmu1_higher,DenMISELogFirst,LQGsigma_higher,TimeElapsed
4.4206886,1420,313.8689,1.1626263,17.40866,2.1126235,,-0.58241594,71,-0.822889,19.196686,55.203583,-0.5520831,0.58665365,12.939312,2.4119305e-07,,4.298766,17.40866,17.380156,-0.63265306,-0.64571357,0.14999999,32.25879454612732
4.3583794,1440,313.80328,1.0565821,17.425562,3.0962827,,-0.49102366,72,-0.8162411,19.213976,54.564472,-0.41204134,3.9468246,13.001621,2.3453978e-07,,4.7515435,17.425562,17.425562,-0.42857143,-0.651471,0.14999999,32.763620138168335
4.299182,1460,313.84027,0.9759885,17.425562,0.0020965175,,-0.53646207,73,-0.8118722,19.213976,54.540207,-0.8190261,0.00017465207,13.060819,2.2815804e-07,,8.029144,17.425562,17.323017,-1.0,-0.61189705,0.14999999,33.29543924331665
4.2413692,1480,313.86133,1.2611601,17.425562,4.0250406,,-0.4262194,74,-0.8073038,19.213976,54.303547,-0.62671053,0.03315068,13.118631,2.2203328e-07,,4.041873,17.425562,17.338972,-0.79591835,-0.6255003,0.14999999,33.786072731018066
4.184107,1500,313.80798,0.67459166,17.425562,2.0117503e-15,,-0.42642695,75,-0.7990202,19.213976,54.115158,0.51315874,8.383198e-09,13.175894,2.1615185e-07,,7.6857533,17.425562,17.413279,0.63265306,-0.6384755,0.14999999,34.2788667678833
4.269223,1520,324.46106,1.141555,17.425562,8.998911e-11,,-1.0566503,76,-0.80686903,19.213976,54.08182,-0.7010046,1.576183,13.090777,2.1050109e-07,,4.3482013,17.425562,6.7071075,-0.5510204,-0.6517207,0.14999999,34.80329608917236
4.2132816,1540,324.42273,1.2634127,17.425562,3.8803706,,-0.38166893,77,-0.7997067,19.213976,53.33065,-0.74584466,0.16312125,13.146719,2.0506903e-07,,3.884712,17.425562,17.398294,-0.71428573,-0.64426565,0.14999999,35.30085563659668
4.1589746,1560,324.40002,0.9408475,17.425562,0.051037874,,-0.34342337,78,-0.7907052,19.213976,52.764412,-0.38590604,5.0949984,13.201026,1.9984455e-07,,5.3132496,17.425562,17.382656,-0.30612245,-0.65505284,0.14999999,35.794262170791626
4.1066103,1580,324.42224,0.7929483,17.425562,0.023022916,,-0.5414904,79,-0.7885063,19.213976,52.69557,0.28339905,0.09109364,13.25339,1.948172e-07,,7.6463165,17.425562,17.337708,0.10204082,-0.60451615,0.14999999,36.358397483825684
4.167612,1600,333.40894,0.89608634,17.425562,0.008072226,,-1.0065016,80,-0.79405504,19.213976,52.441113,0.89719546,5.6848645e-13,13.192389,1.899772e-07,,9.731942,17.425562,8.373413,0.8367347,-0.61594254,0.14999999,36.83180069923401
4.3085566,1620,348.99304,1.2699909,17.425562,4.104926e-26,,-1.2353964,81,-0.80119157,19.213976,52.37982,-0.64457804,0.07581395,13.051444,1.8531539e-07,,3.8837318,17.425562,1.7757744,-0.75510204,-0.62836504,0.14999999,37.332377910614014
4.2554665,1640,348.94824,1.130846,17.425562,1.2591364e-09,,-0.3757733,82,-0.7929324,19.213976,52.34598,0.58499426,0.00024878734,13.104534,1.8082306e-07,,7.496895,17.425562,17.404928,0.3469388,-0.63969964,0.14999999,37.80053734779358
