ReturnStepMax,IWMean,LQGmu1_higher,DenMISELogLast,DenMISEMeanLog,ReturnMin,ReturnMean,ReturnLastEpisode,delta,Regret/t,Regret,DenMISELogFirst,IWLastEpisode,TimeElapsed,IWMin,ReturnAbsMax,ReturnMax,IWFirstEpisode,LQGsigma_higher,TimestepsSoFar,Bound,Iteration,IWMax,LQGmu1_actor
19.195608,1.0809948,0.46938777,-0.8157929,-0.82745415,,12.461632,9.023913,1.7649211e-07,4.898369,406.56458,-0.72896683,0.26324823,26.95881152153015,,17.40648,17.40648,0.046534352,0.14999999,1660,51.60943,83,7.8077226,0.55014753
19.195608,0.8536166,-1.0,-1.053099,-0.8295325,,12.388861,6.3490176,1.7231491e-07,4.97114,417.57568,-0.74038255,4.9120235e-23,27.336516618728638,,17.40648,17.40648,9.594363e-10,0.14999999,1680,50.780388,84,8.6793995,-1.0472671
19.195608,0.94035625,-0.63265306,-0.92411864,-0.8325839,,12.445427,17.197006,1.6828433e-07,4.9145737,417.73877,-0.752217,0.14692889,27.711950302124023,,17.40648,17.40648,0.0006559304,0.14999999,1700,50.481255,85,4.8089304,-0.48265558
19.195608,0.8969374,-0.3469388,-0.69509727,-0.8318212,,12.502257,17.332806,1.6439348e-07,4.8577433,417.766,-0.7639053,3.539433,28.090822458267212,,17.40648,17.40648,0.3592353,0.14999999,1720,50.766876,86,5.2214046,-0.33320248
19.195608,1.1405002,0.2244898,-0.62646013,-0.83078396,,12.555852,17.164995,1.6063603e-07,4.8041487,417.96094,-0.7712977,0.004957119,28.468833684921265,,17.40648,17.40648,1.9882143,0.14999999,1740,50.497963,87,6.8477488,0.24191996
19.195608,1.1037173,-0.18367347,-0.88731056,-0.83011,,12.510578,8.571801,1.5700596e-07,4.8494225,426.74915,-0.7601306,0.11536953,28.849131107330322,,17.40648,17.40648,2.5601382,0.14999999,1760,50.07328,88,4.869054,-0.3526771
19.195608,0.80614156,-0.46938777,-0.62860096,-0.82687944,,12.564127,17.276213,1.5349757e-07,4.7958736,426.83276,-0.7427528,3.6843169,29.221578359603882,,17.40648,17.40648,0.036953498,0.14999999,1780,50.228073,89,5.2340794,-0.4697003
19.195608,0.7980544,0.67346936,-0.6355745,-0.8269884,,12.617361,17.355282,1.5010546e-07,4.7426395,426.83752,-0.75351095,1.2262421e-12,29.596916675567627,,17.40648,17.40648,0.00028218896,0.14999999,1800,50.090153,90,7.6497755,0.5208203
19.195608,0.86949915,-1.0,-1.0472144,-0.8318032,,12.551621,6.634981,1.4682455e-07,4.808379,437.5625,-0.76455766,3.6132346e-22,29.97152042388916,,17.40648,17.40648,9.829121e-10,0.14999999,1820,49.701096,91,8.521222,-0.933314
19.195608,1.0276215,1.0,-0.6088973,-0.8309949,,12.602743,17.254953,1.4365008e-07,4.7572575,437.66772,-0.77548677,4.137321e-36,30.347197771072388,,17.40648,17.40648,1.6722929e-09,0.14999999,1840,49.40883,92,15.982569,1.1096767
19.195608,0.9555943,-0.3469388,-1.8722527,-0.8424671,,12.46723,,1.4057744e-07,4.892771,455.0277,-0.7862977,5.769623e-20,30.728407859802246,,17.40648,17.40648,0.36737016,0.14999999,1860,49.416737,93,5.0000405,-0.41856277
19.195608,0.9138345,-0.59183675,-0.62232584,-0.8407301,,12.518635,17.299309,1.3760231e-07,4.841366,455.08838,-0.7930505,2.5429125,31.10703468322754,,17.40648,17.40648,0.0020967836,0.14999999,1880,49.403603,94,4.9293737,-0.8193226
19.195608,1.0875354,-0.8367347,-0.52223885,-0.838384,,12.569355,17.337044,1.3472066e-07,4.7906456,455.11133,-0.8036103,4.453467,31.487027168273926,,17.40648,17.40648,8.3564345e-07,0.14999999,1900,49.807655,95,4.5283327,-0.79900646
19.195608,1.1772065,0.3877551,-0.48076856,-0.8339019,,12.619067,17.341652,1.3192863e-07,4.7409334,455.12964,-0.8140816,1.0993342e-13,31.867363691329956,,17.40648,17.40648,0.23485518,0.14999999,1920,49.211952,96,7.3142295,0.21999507
19.195608,1.0804509,0.06122449,-0.93505424,-0.83339256,,12.578294,8.664008,1.2922246e-07,4.781707,463.82556,-0.822001,3.8692307,32.249218702316284,,17.40648,17.40648,5.6522603,0.14999999,1940,49.052692,97,6.360355,0.06701894
19.195608,1.0912724,-0.8367347,-0.8241983,-0.83266354,,12.542431,9.063759,1.265987e-07,4.8175697,472.12183,-0.7756213,7.945463e-08,32.63203167915344,,17.40648,17.40648,8.125794e-07,0.14999999,1960,48.964996,98,4.458797,-0.99850774
19.195608,0.908514,-1.0,-0.76135784,-0.8311671,,12.589532,17.205406,1.2405411e-07,4.7704687,472.27637,-0.78577363,5.694437,33.01554274559021,,17.40648,17.40648,1.0039897e-09,0.14999999,1980,48.443993,99,8.330245,-1.1767758
19.195608,0.945429,-0.3469388,-1.726845,-0.8412024,,12.635652,17.20158,1.2158542e-07,4.724349,472.4348,-0.795824,3.3792637e-06,33.3997163772583,,17.40648,17.40648,0.37088656,0.14999999,2000,48.12165,100,5.0216227,-0.21339476
19.195608,1.0720466,-0.10204082,-0.60505015,-0.8395214,,12.678819,16.99552,1.1918971e-07,4.681182,472.79944,-0.8020723,3.6975956,33.78733444213867,,17.40648,17.40648,4.57932,0.14999999,2020,48.1576,101,5.3200073,-0.07855738
