LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,delta,IWFirstEpisode,DenMISEMeanLog,TimestepsSoFar,Regret/t,ReturnMean,IWMax,ReturnLastEpisode,IWMin,IWMean,Bound,ReturnMin,DenMISELogLast,ReturnAbsMax,Regret,DenMISELogFirst,TimeElapsed,IWLastEpisode,Iteration,ReturnStepMax,ReturnMax
-0.71428573,0.14999999,-0.5922864,2.791217e-07,0.13085291,-0.8076317,1320,4.3697996,12.990201,4.1332374,17.356667,,1.2080691,55.69865,,-0.46384576,17.39706,288.40674,-0.6573853,21.9829204082489,3.6907287,66,19.185783,17.39706
1.0,0.14999999,1.0278268,2.708519e-07,1.6067601e-16,-0.79921496,1340,4.3037424,13.056258,15.559673,17.41605,,0.89001733,55.55837,,-0.43115935,17.41605,288.3507,-0.67044246,22.331648349761963,1.3905452e-24,67,19.204239,17.41605
0.2244898,0.14999999,0.24335569,2.6294424e-07,0.0096947495,-0.81084543,1360,4.4957466,12.864254,7.293666,,,0.9606992,55.585995,,-1.4207166,17.41605,305.7107,-0.68525755,22.6804141998291,6.5096583e-06,68,19.204239,17.41605
-0.26530612,0.14999999,-0.22671616,2.553779e-07,5.1423054,-0.8135606,1380,4.5580482,12.801952,5.5119295,8.565457,,0.91373473,55.262093,,-0.9335601,17.41605,314.50537,-0.6997138,23.03216004371643,0.021537349,69,19.204239,17.41605
-1.0,0.14999999,-0.9796744,2.4813352e-07,0.000120623125,-0.8132808,1400,4.4981756,12.861825,8.778802,16.993034,,0.86734074,54.778664,,-0.69102216,17.41605,314.8723,-0.64222276,23.386744499206543,8.993812e-06,70,19.204239,17.41605
0.71428573,0.14999999,0.6359056,2.4119305e-07,4.2181175e-10,-0.8140294,1420,4.436817,12.923183,8.87988,17.218185,,0.92528665,54.616295,,-0.7116673,17.41605,315.01404,-0.6564057,23.747340202331543,1.0974032e-27,71,19.204239,17.41605
-0.020408163,0.14999999,-0.077263124,2.3453978e-07,0.82807624,-0.81930435,1440,4.540988,12.819013,6.243364,5.4229503,,0.99631894,54.643883,,-1.0850344,17.41605,326.9511,-0.6703919,24.104526042938232,0.000548152,72,19.204239,17.41605
-0.59183675,0.14999999,-0.66161054,2.2815804e-07,0.8692618,-0.81895864,1460,4.513605,12.8463955,4.4440703,14.817943,,1.1378052,54.424194,,-0.7667916,17.41605,329.49316,-0.6727498,24.459784746170044,0.0159362,73,19.204239,17.41605
-0.79591835,0.14999999,-0.5336101,2.2203328e-07,0.02628118,-0.8122471,1480,4.452424,12.907577,4.304344,17.373758,,1.1591034,53.884247,,-0.44220015,17.41605,329.47937,-0.6745181,24.816179037094116,2.7718754,74,19.204239,17.41605
-0.3469388,0.14999999,-0.38430592,2.1615185e-07,5.113945,-0.80623156,1500,4.393057,12.966944,5.1762514,17.360153,,0.9541971,53.811264,,-0.5025698,17.41605,329.47925,-0.68758607,25.17315411567688,2.0266652,75,19.204239,17.41605
-0.5510204,0.14999999,-0.61970747,2.1050109e-07,1.3498473,-0.8041339,1520,4.33603,13.023971,4.3085313,17.30101,,1.1359187,53.39541,,-0.586543,17.41605,329.53833,-0.63486946,25.531485080718994,2.578187,76,19.204239,17.41605
0.5102041,0.14999999,0.47317603,2.0506903e-07,1.7320997e-06,-0.7974064,1540,4.27934,13.080661,8.141738,17.389076,,0.97562754,53.137104,,-0.40594575,17.41605,329.50922,-0.6303363,25.89231276512146,1.9041448e-12,77,19.204239,17.41605
-0.14285715,0.14999999,0.007179022,1.9984455e-07,2.7615914,-0.8010914,1560,4.356449,13.0035515,5.764047,7.0661616,,0.967014,52.9267,,-1.0332313,17.41605,339.80304,-0.6432397,26.254080772399902,0.001625641,78,19.204239,17.41605
0.14285715,0.14999999,0.16526291,1.948172e-07,0.054116987,-0.80224663,1580,4.4035892,12.956411,6.3536725,9.279509,,0.9928102,52.56206,,-0.84151745,17.41605,347.88354,-0.621186,26.616544246673584,4.098495,79,19.204239,17.41605
-0.67346936,0.14999999,-0.561456,1.899772e-07,0.25720692,-0.8039726,1600,4.4548435,12.905157,4.1055403,8.8559885,,1.193452,52.457,,-0.9115609,17.41605,356.38745,-0.63308,26.984506607055664,1.075242e-06,80,19.204239,17.41605
-1.0,0.14999999,-1.0099509,1.8531539e-07,0.00012063164,-0.7973062,1620,4.3997746,12.960226,8.9384775,17.365831,,0.83562076,52.205856,,-0.44049367,17.41605,356.3817,-0.6422926,27.350033283233643,0.05754882,81,19.204239,17.41605
-0.46938777,0.14999999,-0.52567554,1.8082306e-07,2.867722,-0.79996586,1640,4.3480434,13.011957,4.5590234,17.20206,,1.0534713,51.947327,,-0.83200663,17.41605,356.53955,-0.6545612,27.71458888053894,0.009248122,82,19.204239,17.41605
0.8367347,0.14999999,0.5927609,1.7649211e-07,1.1321629e-12,-0.7951992,1660,4.2953415,13.064659,8.659866,17.386312,,0.84025353,51.793278,,-0.4444511,17.41605,356.5133,-0.63230795,28.08115863800049,5.0587475e-18,83,19.204239,17.41605
0.3469388,0.14999999,0.19565095,1.7231491e-07,0.0003678189,-0.8011958,1680,4.3805695,12.979431,7.710161,5.905592,,1.0161892,51.93388,,-1.1153102,17.41605,367.96777,-0.6442842,28.449241876602173,2.118346,84,19.204239,17.41605
-0.59183675,0.14999999,-0.6292318,1.6828433e-07,0.85492074,-0.8029746,1700,4.430254,12.929747,4.106088,8.756133,,1.1802145,51.321877,,-0.9438073,17.41605,376.57166,-0.6561142,28.81895160675049,7.0757906e-06,85,19.204239,17.41605
0.020408163,0.14999999,0.13668671,1.6439348e-07,0.46773103,-0.7962647,1720,4.3784065,12.981594,6.4050784,17.38867,,1.0520042,51.108803,,-0.3904243,17.41605,376.54297,-0.65780264,29.189375162124634,0.00033216266,86,19.204239,17.41605
-1.0,0.14999999,-0.75025094,1.6063603e-07,0.00012327135,-0.7969837,1740,4.424924,12.935077,8.6455555,8.934548,,0.855497,50.96132,,-0.8888525,17.41605,384.96838,-0.6639395,29.55960965156555,2.1939033e-12,87,19.204239,17.41605
-0.71428573,0.14999999,-0.851077,1.5700596e-07,0.13322712,-0.7948515,1760,4.3744965,12.985504,4.0702667,17.372581,,1.1950266,51.126415,,-0.44632578,17.41605,384.9557,-0.67536676,29.931628465652466,4.038054,88,19.204239,17.41605
-0.8367347,0.14999999,-0.9931474,1.5349757e-07,0.010561822,-0.78958094,1780,4.3257685,13.034232,4.391104,17.32239,,1.0795876,50.41459,,-0.5059704,17.41605,384.9934,-0.6851535,30.305031776428223,4.391104,89,19.204239,17.41605
0.59183675,0.14999999,0.71178395,1.5010546e-07,8.198617e-08,-0.7884223,1800,4.2793884,13.080612,8.478173,17.208391,,1.0114044,50.403244,,-0.7515792,17.41605,385.1449,-0.6962081,30.68023180961609,3.2081744e-24,90,19.204239,17.41605
-0.30612245,0.14999999,-0.19573748,1.4682455e-07,5.3944244,-0.7925415,1820,4.3737707,12.98623,5.3944244,4.4919047,,0.87961966,50.257523,,-1.1467102,17.41605,398.01306,-0.707258,31.05611491203308,8.377519e-10,91,19.204239,17.41605
1.0,0.14999999,0.77569234,1.4365008e-07,1.5910241e-16,-0.79341704,1840,4.3314657,13.028535,16.84334,16.878368,,0.84753,49.986317,,-0.741458,17.41605,398.49487,-0.66059816,31.433177947998047,8.870728e-14,92,19.204239,17.41605
0.2244898,0.14999999,0.19826534,1.4057744e-07,0.009561419,-0.79973966,1860,4.432563,12.927438,7.2923317,3.626396,,1.050218,49.920742,,-1.1836697,17.41605,412.2284,-0.6714091,31.811806678771973,0.0101548955,93,19.204239,17.41605
-0.14285715,0.14999999,-0.096230745,1.3760231e-07,2.8707376,-0.8008353,1880,4.4770384,12.882962,5.8588514,8.746757,,0.94227,49.81392,,-0.93024147,17.41605,420.84167,-0.6820016,32.19199013710022,0.5079072,94,19.204239,17.41605
-0.8367347,0.14999999,-0.912533,1.3472066e-07,0.010325259,-0.80123115,1900,4.449156,12.910845,4.466462,15.531926,,1.0768251,49.44641,,-0.7663153,17.41605,422.6698,-0.662501,32.57168173789978,2.9210763e-05,95,19.204239,17.41605
-1.0,0.14999999,-1.0180149,1.3192863e-07,0.00012437641,-0.798244,1920,4.403674,12.9563265,8.430881,17.276974,,0.87942165,49.17135,,-0.5784123,17.41605,422.7527,-0.6728636,32.95293879508972,4.001155,96,19.204239,17.41605
-0.5510204,0.14999999,-0.3901939,1.2922246e-07,1.416724,-0.7998302,1940,4.359927,13.000073,4.349019,17.199667,,1.0926079,49.105423,,-0.81549215,17.41605,422.91296,-0.6832251,33.334904193878174,0.047234267,97,19.204239,17.41605
-0.3469388,0.14999999,-0.2689667,1.265987e-07,5.070132,-0.79706734,1960,4.3165264,13.043474,5.120311,17.253544,,0.92305833,49.027977,,-0.6091344,17.41605,423.01953,-0.67898184,33.71886348724365,4.6914325,98,19.204239,17.41605
-0.020408163,0.14999999,-0.12486351,1.2405411e-07,0.80223805,-0.79664534,1980,4.2770195,13.082981,6.207688,16.95454,,1.0534388,49.025635,,-0.6679564,17.41605,423.42493,-0.638692,34.103322982788086,1.3141876,99,19.204239,17.41605
-0.18367347,0.14999999,-0.31725347,1.2158542e-07,3.581168,-0.7956938,2000,4.247015,13.112986,5.406358,16.083397,,0.98586273,48.8448,,-0.7370926,17.41605,424.70142,-0.6406716,34.491281032562256,5.1470103,100,19.204239,17.41605
-0.3877551,0.14999999,-0.5737696,1.1918971e-07,4.2718863,-0.79414064,2020,4.206752,13.153249,4.7315784,17.179598,,0.9800869,48.39158,,-0.6112337,17.41605,424.88196,-0.6154366,34.877527475357056,4.3883796,101,19.204239,17.41605
