IWLastEpisode,IWMin,ReturnMax,IWMean,IWFirstEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,DenMISELogLast,ReturnStepMax,IWMax,TimeElapsed,ReturnAbsMax,Bound,LQGmu1_actor,ReturnMin,Iteration,LQGmu1_higher,MISE,DenMISEMeanLog,ReturnLastEpisode,ReturnMean
1.4857888,,17.336594,1.0108705,0.36707485,1440,0.11,0.21214898,0.75257754,19.122255,2.1419966,29.742451429367065,17.336594,16.704885,-0.2904909,,72,-0.23232323,16.704885,0.82144433,17.131922,15.878564
0.88999176,,17.336594,1.0167443,0.52945435,1460,0.11,0.20344093,1.1136205,19.122255,1.5485287,30.21918272972107,17.336594,16.621054,-0.12816608,,73,-0.21212122,16.621054,0.825576,16.079937,15.881324
1.0616456,,17.336594,1.0160834,0.5328425,1480,0.11,0.19706193,1.2069172,19.122255,1.5371345,30.735430479049683,17.336594,16.61143,-0.18925864,,74,-0.21212122,16.61143,0.8309454,16.716366,15.892608
0.7819015,,17.336594,1.0117576,0.53618234,1500,0.11,0.19081357,0.9192302,19.122255,1.5262041,31.224364757537842,17.336594,16.52677,-0.09011216,,75,-0.21212122,16.52677,0.83232737,15.393035,15.885947
1.2484047,,17.336594,1.0137682,0.53947467,1520,0.11,0.18469204,0.94326025,19.122255,1.5157098,31.635011434555054,17.336594,16.5679,-0.2667259,,76,-0.21212122,16.5679,0.83393335,17.07535,15.901597
1.2725585,,17.336594,1.0160385,0.5427206,1540,0.11,0.17869315,0.8589738,19.122255,1.5056258,32.05595874786377,17.336594,16.612919,-0.27963167,,77,-0.21212122,16.612919,0.83442897,17.050262,15.916513
1.3288957,,17.336594,1.0189648,0.54592115,1560,0.11,0.17281331,0.61226624,19.122255,1.4959285,32.4385666847229,17.336594,16.671099,-0.3094848,,78,-0.21212122,16.671099,0.8317781,17.17283,15.93262
0.83181286,,17.336594,1.015502,0.5490771,1580,0.11,0.1670489,0.9945438,19.122255,1.4865963,32.77717590332031,17.336594,16.606178,-0.104575135,,79,-0.21212122,16.606178,0.83406997,15.917263,15.932427
1.6996787,,17.336594,1.0098671,0.38618574,1600,0.11,0.16139634,0.22637253,19.122255,2.012415,33.08026075363159,17.336594,16.692844,-0.34573793,,80,-0.23232323,16.692844,0.8266598,17.220325,15.948526
0.91703045,,17.336594,1.0164814,0.556406,1620,0.11,0.15378958,1.1233318,19.122255,1.4593682,33.38800001144409,17.336594,16.629013,-0.13408798,,81,-0.21212122,16.629013,0.8304305,16.4011,15.954114
