LQGsigma_higher,IWMin,ReturnStepMax,ReturnLastEpisode,Regret,ReturnMax,LQGmu1_actor,IWMax,DenMISELogFirst,ReturnMin,IWMean,Regret/t,DenMISELogLast,ReturnMean,LQGmu1_higher,Iteration,DenMISEMeanLog,IWLastEpisode,TimestepsSoFar,TimeElapsed,ReturnAbsMax,Delta,Bound,IWFirstEpisode
0.14999999,,0.975632,0.92581725,18.829876,0.93145394,-0.7518981,4.943096,-0.7847698,,0.9611944,0.2942168,-0.63748735,0.6709032,-0.7979798,64,-0.883273,0.06383468,1280,46.5977725982666,0.93145394,1.484197e-07,3.0785356,3.3856345e-06
0.14999999,,0.975632,0.92911595,18.86588,0.93145394,-0.083043456,5.4149528,-0.8002739,,1.000644,0.29024434,-0.56323856,0.6748757,-0.1919192,65,-0.8792119,0.004396508,1300,47.056400299072266,0.93145394,1.4388809e-07,3.0656164,2.4824243
0.14999999,,0.975632,0.86138904,18.969612,0.93145394,1.1791496,14.573763,-0.7780615,,0.9413466,0.28741837,-0.70718634,0.67770165,1.0,66,-0.87693083,2.5792741e-11,1320,47.52120089530945,0.93145394,1.3956085e-07,3.0286887,1.6766044e-09
0.14999999,,0.975632,0.013776981,19.920952,0.93145394,0.1620751,7.113927,-0.79309934,,0.94583493,0.29732764,-2.2504144,0.6677924,0.27272728,67,-0.89908403,2.9709358e-07,1340,48.050437927246094,0.93145394,1.3542595e-07,3.0125444,1.2075619
0.14999999,,0.975632,0.48143515,20.404633,0.93145394,-0.7697574,4.9021044,-0.79005164,,1.0040432,0.30006814,-0.8714622,0.6650519,-0.65656567,68,-0.8998275,2.165011e-06,1360,48.510639667510986,0.93145394,1.3147212e-07,2.9942245,0.00034124067
0.14999999,,0.975632,0.92973274,20.440025,0.93145394,-0.024031019,5.834648,-0.8046454,,1.0878845,0.29623222,-0.56972235,0.6688878,-0.030303031,69,-0.8952449,2.4840198e-05,1380,48.970956802368164,0.93145394,1.2768895e-07,2.989596,5.776353
0.14999999,,0.975632,0.7184305,20.686714,0.93145394,-0.76728606,4.814859,-0.73863894,,0.9989029,0.29552448,-0.71850294,0.66959554,-0.83838385,70,-0.89180124,2.1707483e-06,1400,49.44220519065857,0.93145394,1.2406676e-07,2.984151,7.3613387e-07
0.14999999,,0.975632,0.9290325,20.722801,0.93145394,0.8737368,8.161599,-0.7528236,,1.033721,0.29187042,-0.53864646,0.6732496,0.6969697,71,-0.8870899,9.25962e-21,1420,50.23266053199768,0.93145394,1.2059652e-07,2.975353,0.00013870111
0.14999999,,0.975632,0.13093853,21.556984,0.93145394,-0.13950908,5.3243456,-0.76680785,,0.885772,0.2994026,-1.1600451,0.6657174,-0.35353535,72,-0.8908648,2.467907e-14,1440,50.777184009552,0.93145394,1.1726989e-07,2.9406552,0.32456324
0.14999999,,0.975632,0.89258367,21.629517,0.93145394,0.10219457,5.362198,-0.7761035,,1.1075513,0.2962948,-0.68565476,0.6688252,-0.11111111,73,-0.8897987,5.185754,1460,51.75913739204407,0.93145394,1.1407902e-07,2.9399488,4.264214
