ReturnMin,IWMax,IWFirstEpisode,Regret/t,TimeElapsed,ReturnMax,TimestepsSoFar,Bound,ReturnMean,NumTrainableParams,MountainCar_std0_higher,Iteration,ReturnStepMax,Delta,Regret,MountainCar_std1_higher,DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,DenMISELogLast,IWMean,BoundBonus,AvgEpLen,NumTrajectories,ActionIn1,ReturnLastEpisode,MountainCar_mu1_higher,MinEpLen,IWMin,MountainCar_mu0_higher,DenMISELogFirst,BoundMISE,GridSize
-9.966432,17.485184,5.8899193e-05,5.74211,30.768322229385376,9.443005,55393,35.917027,-0.7421098,,0.14999999,64,107.17791,1.7461142e-06,367.49503,3.0,-4.234538,9.966432,3.3171863e-09,-4.7142124,0.9776663,36.27338,865.515625,64,1.8814049,-0.67449224,3.3333333,229,,0.33333334,-3.7825623,-0.35635197,16
-9.966432,15.121321,0.1956274,5.7324653,31.290497303009033,9.443005,56392,100.937706,-0.73246545,,0.14999999,65,107.17791,1.1068314e-06,372.61026,3.0,-4.2298265,9.966432,0.59345627,-3.8444316,0.8244405,101.00014,867.5692307692308,65,-7.503334,-0.11522601,-5.0,229,,,-3.7980654,-0.062431592,25
-9.966432,24.493006,0.092226,5.7213774,33.00008487701416,9.443005,57391,93.96306,-0.7213774,,0.14999999,66,107.17791,1.073545e-06,377.6109,3.0,-4.2289486,9.966432,0.0030519252,-3.9587183,1.1706784,93.6212,869.560606060606,66,8.262189,-0.00065169076,5.0,229,,,-3.8103278,0.34186056,25
-9.966432,21.93023,3.7671006e-07,5.7046413,33.3889422416687,9.443005,57919,82.87325,-0.7046411,,0.14999999,67,107.17791,1.0417382e-06,382.21094,3.0,-4.220866,9.966432,1.4240861e-05,-3.7451644,1.2897264,83.960365,864.4626865671642,67,-2.284825,0.3999525,,229,,0.5,-3.8239694,-1.08711,25
-9.966432,10.706837,2.0683558,5.696679,33.99241495132446,9.443005,58918,75.77972,-0.6966792,,0.14999999,68,107.17791,1.011324e-06,387.37418,3.0,-4.2133627,9.966432,5.37659e-06,-3.8912172,0.41826305,75.638565,866.4411764705883,68,5.220379,-0.16323122,5.0,229,,-0.5,-3.8387845,0.14115195,25
-9.966432,37.138912,1.3757284e-07,5.6903143,34.34857225418091,9.443005,59479,73.21704,-0.6903145,,0.14999999,69,107.17791,9.822227e-07,392.6317,3.0,-4.221172,9.966432,8.137685e-12,-4.1626196,1.5664283,74.39968,862.0144927536232,69,-5.0329723,-0.25751442,-5.0,229,,0.5,-3.8234196,-1.1826397,25
-9.966432,31.339746,4.4371424,5.6921463,34.99972629547119,9.443005,60478,69.892235,-0.6921463,,0.14999999,70,107.17791,9.543596e-07,398.45026,3.0,-4.2148976,9.966432,7.311802e-09,-4.1550827,1.1322336,70.48802,863.9714285714285,70,-6.962973,-0.81853944,-5.0,229,,-0.5,-3.8378084,-0.59578806,25
-9.966432,28.047373,3.024408e-09,5.6949015,35.53062558174133,9.443005,61477,66.1843,-0.69490135,,0.14999999,71,107.17791,9.276656e-07,404.338,3.0,-4.227025,9.966432,5.1660117e-12,-5.0887923,0.9988833,66.90173,865.8732394366198,71,-6.0178976,-0.8877613,-10.0,229,,0.5,-3.7905333,-0.7174264,25
-9.966432,12.563702,6.2866974e-08,5.712974,36.069562911987305,9.443005,62476,64.87555,-0.7129739,,0.14999999,72,107.17791,9.020761e-07,411.3341,3.0,-4.2415805,9.966432,0.008526539,-5.1800065,0.55431217,65.31291,867.7222222222222,72,2.9177127,-1.9961183,5.0,229,,0.5,-3.8045194,-0.43736577,25
-9.966432,10.204709,0.021439936,5.707165,36.5872061252594,9.443005,63475,60.094635,-0.7071645,,0.14999999,73,107.17791,8.775309e-07,416.62302,3.0,-4.2398295,9.966432,5.2041696e-07,-3.6496167,0.6365528,58.5896,869.5205479452055,73,9.470066,-0.28889057,10.0,229,,-0.5,-3.818313,1.505037,25
