AvgEpLen,Regret,TimeElapsed,BoundBonus,ActionIn1,IWFirstEpisode,Iteration,NumTrainableParams,IWMax,ReturnStepMax,ReturnLastEpisode,ReturnAbsMax,ReturnMean,IWLastEpisode,NumTrajectories,IWMean,Bound,MountainCar_std1_higher,TimestepsSoFar,DenMISELogFirst,ReturnMax,MountainCar_mu1_higher,IWMin,DenMISEMeanLog,MountainCar_std0_higher,Delta,BoundMISE,ReturnMin,Regret/t,GridSize,MountainCar_mu0_higher,MinEpLen,DenMISELogLast
851.0892857142857,320.7887,26.741409063339233,85.64976,0.7601367,4.9091797,56,,16.569963,99.11324,-0.116162375,19.432583,-0.7283697,0.032512046,56,0.9499396,85.18561,3.0,47661,-4.945042,19.432583,-3.3333333,,-4.286178,0.14999999,2.2806387e-06,-0.46415296,-8.619729,5.7283697,16,-0.33333334,157,-3.9788404
853.6842105263158,326.31625,27.304048538208008,85.75078,-6.72163,4.5738177e-10,57,,25.69593,99.11324,-0.527558,19.432583,-0.72484666,9.3052845e-09,57,0.78857446,85.20386,3.0,48660,-4.8787093,19.432583,-10.0,,-4.2883816,0.14999999,2.2013185e-06,-0.54691744,-8.619729,5.724847,16,0.33333334,157,-4.294964
856.1896551724138,331.62283,27.819727182388306,85.86519,-8.336014,0.040234793,58,,27.018173,99.11324,-0.30656686,19.432583,-0.7176349,0.00079989195,58,1.4563715,85.032295,3.0,49659,-4.896101,19.432583,-10.0,,-4.286193,0.14999999,2.1260653e-06,-0.83289075,-8.619729,5.717635,16,-0.33333334,157,-3.862285
858.6101694915254,337.06512,28.342931270599365,88.95052,-0.850247,1.6775671e-24,59,,18.34143,99.11324,-0.44230387,19.432583,-0.7129683,5.44636e-20,59,1.317165,82.78095,3.0,50658,-4.9125023,19.432583,-3.3333333,,-4.279732,0.14999999,2.0546058e-06,-6.1695724,-8.619729,5.7129683,16,1.0,157,-4.184604
860.95,349.98584,28.87636947631836,86.69725,10.288351,8.477944e-27,60,,28.297108,99.11324,-7.9207034,19.432583,-0.8330972,0.004102612,60,0.9520748,79.59609,3.0,51657,-4.9293094,19.432583,10.0,,-4.277035,0.14999999,1.98669e-06,-7.1011553,-8.619729,5.8330975,16,1.0,157,-4.3241334
863.2131147540983,358.19693,29.418437719345093,70.54398,13.238327,2.8242125e-10,61,,17.441774,99.11324,-3.2110975,19.432583,-0.8720808,0.22496706,61,1.0040966,76.94395,3.0,52656,-4.9458385,19.432583,10.0,,-4.28776,0.14999999,1.9220863e-06,6.3999634,-8.619729,5.872081,16,0.33333334,157,-4.7257853
854.4677419354839,359.52188,29.644678831100464,70.63109,7.141123,0.024815824,62,,13.360114,99.11324,3.6750515,19.432583,-0.79874,0.01351366,62,0.8928977,72.22658,3.0,52977,-4.962099,19.432583,10.0,,-4.2874784,0.14999999,1.8605837e-06,1.5954878,-8.619729,5.79874,16,-0.33333334,157,-4.187702
848.4603174603175,364.40103,29.96082091331482,71.135155,8.075112,0.0057493057,63,,19.811968,99.11324,0.1208462,19.432583,-0.7841433,0.31901562,63,0.9650901,71.72607,3.0,53453,-4.9776993,19.432583,10.0,,-4.297602,0.14999999,1.8019862e-06,0.5909107,-8.619729,5.7841434,16,-1.0,157,-4.7654443
842.453125,371.7923,30.337867975234985,70.72596,7.778027,4.9626028e-08,64,,13.443996,99.11324,-2.391269,19.432583,-0.8092547,9.5522104e-27,64,0.7731892,70.66322,3.0,53917,-4.993356,19.432583,3.3333333,,-4.3353076,0.14999999,1.7461142e-06,-0.0627338,-8.619729,5.8092546,16,0.33333334,157,-6.5700397
844.8615384615384,378.73,31.03534245491028,197.0445,-6.246739,0.003216968,65,,21.481888,99.11324,-1.9377158,19.432583,-0.8266157,5.5082037e-06,65,1.1898923,196.98216,3.0,54916,-5.0088606,19.432583,-5.0,,-4.3538666,0.14999999,1.1068314e-06,-0.06233701,-8.619729,5.826616,25,,157,-5.272556
