MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,IWLastEpisode,AvgEpLen,TimestepsSoFar,MountainCar_std1_higher,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,IWMin,MinEpLen,ReturnMax,ReturnMin,IWMax,BoundBonus,DenMISELogLast,Regret,MountainCar_std0_higher,Bound,Iteration,BoundMISE,ReturnMean,Delta,IWFirstEpisode,Regret/t,TimeElapsed,NumTrajectories,DenMISEMeanLog,IWMean,ActionIn1,NumTrainableParams,GridSize
3.3333333,1.0,0.24129583,3.0941148e-14,850.62,42531,3.0,11.750882,118.33327,-4.862278,,243,8.218238,-11.750882,20.605165,57.810555,-3.7430034,296.17017,0.14999999,51.989544,50,-5.8210096,-0.9234036,2.8608335e-06,4.0711947e-26,5.9234037,25.353530645370483,50,-4.2311707,1.0853484,8.719597,,16
-3.3333333,1.0,-14.027719,0.0364952,853.5294117647059,43530,3.0,14.027719,159.02925,-4.8820806,,243,8.218238,-14.027719,21.639633,68.96556,-9.809949,315.1979,0.14999999,63.008022,51,-5.957538,-1.1803509,2.7497433e-06,1.1777241e-26,6.180351,25.845945119857788,51,-4.3414617,1.3073301,-0.07023907,,16
-3.3333333,-1.0,-6.758746,,856.3269230769231,44529,3.0,14.027719,159.02925,-4.901499,,243,8.218238,-14.027719,9.06046,62.98403,-4.1202707,326.95663,0.14999999,62.094227,52,-0.8898044,-1.2876277,2.6450014e-06,1.0682186,6.2876277,26.39715337753296,52,-4.334094,0.47880715,-3.5160341,,16
3.3333333,-1.0,-2.149892,1.8215852,859.0188679245283,45528,3.0,14.027719,159.02925,-4.9002123,,243,8.218238,-14.027719,17.895378,61.928196,-3.5849504,334.10654,0.14999999,61.41372,53,-0.51447713,-1.3038968,2.5461316e-06,3.7616599,6.303897,26.91519570350647,53,-4.3301272,1.1930137,3.194088,,16
-3.3333333,-0.33333334,-2.1504765,2.8676156e-06,861.6111111111111,46527,3.0,14.027719,159.02925,-4.8503356,,243,8.218238,-14.027719,21.628922,61.762924,-3.817955,341.25702,0.14999999,61.48015,54,-0.28277448,-1.3195741,2.4527033e-06,0.8617288,6.3195744,27.547176122665405,54,-4.3187137,0.9927521,-9.362017,,16
3.3333333,0.33333334,-0.09688141,6.050363e-06,864.1090909090909,47526,3.0,14.027719,159.02925,-4.852853,,243,8.218238,-14.027719,19.293446,61.74204,-4.0156426,346.35388,0.14999999,61.540684,55,-0.20135501,-1.2973435,2.3643252e-06,6.8236212e-09,6.2973433,28.076262950897217,55,-4.314812,0.9078294,5.849699,,16
3.3333333,-0.33333334,0.5989329,0.93243366,857.6071428571429,48026,3.0,14.027719,159.02925,-4.870871,,243,8.218238,-14.027719,16.93202,61.719482,-4.309031,350.75494,0.14999999,61.543056,56,-0.17642735,-1.2634814,2.2806387e-06,3.1014671,6.263481,28.427575826644897,56,-4.3177524,0.9487801,3.7178764,,16
-10.0,-0.33333334,-0.2617249,0.0002728218,858.9473684210526,48960,3.0,14.027719,159.02925,-4.8346667,,243,8.218238,-14.027719,20.852228,61.900555,-3.7928853,356.0167,0.14999999,61.59214,57,-0.3084131,-1.2459067,2.2013185e-06,0.0017243419,6.245907,29.06639814376831,57,-4.3108683,1.2866224,-12.046878,,16
-3.3333333,0.33333334,-0.2700757,4.7373163e-05,861.3620689655172,49959,3.0,14.027719,159.02925,-4.852028,,243,8.218238,-14.027719,20.81112,61.994637,-4.0457234,361.28674,0.14999999,61.345097,58,-0.64953816,-1.229082,2.1260653e-06,1.9336543e-09,6.229082,29.78933334350586,58,-4.3036113,1.265492,5.60782,,16
-10.0,0.33333334,-0.007425787,3.340864e-07,860.3220338983051,50759,3.0,14.027719,159.02925,-4.8691225,,243,8.218238,-14.027719,18.835701,62.064213,-4.266017,366.2942,0.14999999,61.380787,59,-0.6834277,-1.208376,2.0546058e-06,3.998164e-12,6.208376,30.235058784484863,59,-4.3003073,0.85549074,-5.9577656,,16
10.0,0.33333334,-0.50960976,6.2981417e-06,862.6333333333333,51758,3.0,14.027719,159.02925,-4.8859296,,243,8.218238,-14.027719,15.697207,50.919163,-4.0479016,371.8038,0.14999999,52.547188,60,1.6280231,-1.1967299,1.98669e-06,1.7823538e-10,6.1967297,30.74405074119568,60,-4.299785,0.8482707,6.150131,,16
10.0,-0.33333334,-0.48947757,0.0003394056,864.8688524590164,52757,3.0,14.027719,159.02925,-4.902459,,243,8.218238,-14.027719,11.062514,50.983227,-3.8120737,377.29327,0.14999999,52.12374,61,1.1405149,-1.1851356,1.9220863e-06,0.080890924,6.185136,31.29706597328186,61,-4.2953563,0.6761951,7.1645727,,16
-3.3333333,-0.33333334,-0.014074729,0.021062508,859.8709677419355,53312,3.0,14.027719,159.02925,-4.917394,,243,8.218238,-14.027719,16.793234,50.992455,-3.8248441,382.30734,0.14999999,50.787407,62,-0.20504896,-1.1662475,1.8605837e-06,0.9214967,6.1662474,31.68430495262146,62,-4.2934346,0.7694196,-6.7201257,,16
3.3333333,0.33333334,-0.7787599,1.8174289e-09,862.0793650793651,54311,3.0,14.027719,159.02925,-4.918641,,243,8.218238,-14.027719,15.376217,50.994404,-5.2720075,388.08612,0.14999999,50.78711,63,-0.20729412,-1.1600969,1.8019862e-06,7.2876314e-09,6.160097,32.27256989479065,63,-4.313233,0.9087894,4.197485,,16
3.3333333,-0.33333334,-0.37323892,0.00049962866,864.21875,55310,3.0,14.027719,159.02925,-4.9343896,,243,8.218238,-14.027719,16.279898,50.995243,-3.6483583,393.45935,0.14999999,50.79771,64,-0.19753349,-1.1478021,1.7461142e-06,3.304859,6.1478024,32.95085406303406,64,-4.305142,1.1669872,-4.1993103,,16
-5.0,,-0.33998635,0.5400695,866.2923076923076,56309,3.0,14.027719,159.02925,-4.8995442,,243,8.218238,-14.027719,19.913462,141.32892,-3.73569,398.79932,0.14999999,141.26826,65,-0.060656752,-1.1353743,1.1068314e-06,0.000170721,6.135374,33.5010404586792,65,-4.2950277,1.0411837,0.07312253,,25
5.0,,-0.030217519,3.3562644,868.3030303030303,57308,3.0,14.027719,159.02925,-4.914809,,243,8.218238,-14.027719,26.153887,140.44058,-3.888767,403.82953,0.14999999,140.97762,66,0.53702706,-1.1186295,1.073545e-06,0.0011477139,6.1186295,35.14282202720642,66,-4.289485,1.3863195,9.307431,,25
,0.5,0.13999669,0.0006368877,865.0,57955,3.0,14.027719,159.02925,-4.9298296,,243,8.218238,-14.027719,8.100639,118.1754,-3.8442914,408.68954,0.14999999,117.78805,67,-0.3873541,-1.099844,1.0417382e-06,2.2858152e-12,6.099844,35.561222076416016,67,-4.278688,0.465814,3.731934,,25
,-0.5,-0.57029074,1.7858719e-07,866.9705882352941,58954,3.0,14.027719,159.02925,-4.944645,,243,8.218238,-14.027719,21.881,109.85358,-3.6922193,414.25983,0.14999999,109.29925,68,-0.55432826,-1.0920565,1.011324e-06,21.881,6.0920563,36.126282691955566,68,-4.278006,0.8867405,-0.8573016,,25
-5.0,0.5,-0.23959789,1.8506086e-06,868.8840579710145,59953,3.0,14.027719,159.02925,-4.680265,,243,8.218238,-14.027719,33.705406,104.717354,-3.63017,419.49945,0.14999999,103.33617,69,-1.3811864,-1.079702,9.822227e-07,1.7258805e-13,6.079702,36.85365271568298,69,-4.271252,1.6640787,-7.428995,,25
-10.0,-0.5,-1.1001229,4.222126e-10,870.7428571428571,60952,3.0,14.027719,159.02925,-4.6946535,,243,8.218238,-14.027719,25.319414,97.221756,-4.7857513,425.59955,0.14999999,96.69512,70,-0.5266307,-1.0799937,9.543596e-07,0.009950218,6.0799937,37.37332367897034,70,-4.272454,1.0175333,-9.122285,,25
-10.0,0.5,-0.81832063,3.2210838e-11,872.5492957746479,61951,3.0,14.027719,159.02925,-4.708696,,243,8.218238,-14.027719,44.36094,94.163956,-5.011754,431.41788,0.14999999,92.63243,71,-1.531524,-1.0763083,9.276656e-07,1.0698886e-15,6.0763083,37.93186616897583,71,-4.2840815,1.5131879,-15.328699,,25
5.0,-0.5,-0.07848123,8.277269e-13,874.3055555555555,62950,3.0,14.027719,159.02925,-4.722682,,243,8.218238,-14.027719,11.244541,91.86785,-5.776949,436.49637,0.14999999,92.464714,72,0.59686655,-1.0624496,9.020761e-07,11.244541,6.0624495,38.56101417541504,72,-4.300911,0.71064883,4.452342,,25
