ReturnMean,GridSize,LQGmu1_higher,Bound,IWMax,TimeElapsed,Iteration,IWMin,ReturnLastEpisode,Delta,LQGsigma_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnAbsMax,Regret,Regret/t,ReturnMin,IWMean,LQGmu1_actor,ReturnMax,ReturnStepMax,DenMISEMeanLog
0.6961785,10,-1.0,5.7823596,11.17938,21.984328985214233,68,,0.0894212,1.3147211e-06,1.0,0.59159815,0.275956,-1.8371924,-4.781576,1360,0.95648247,18.288021,0.26894152,,0.80344224,-0.66360885,0.95648247,0.9994784,-0.93244183
0.6999444,10,1.0,5.71472,30.13171,22.406059503555298,69,,0.9560237,1.2768895e-06,1.0,0.47938022,2.5187583,-1.8477412,-1.5674744,1380,0.95648247,18.297123,0.26517564,,1.1268483,1.1951511,0.95648247,0.9994784,-0.9446773
0.69203293,10,-0.7777778,4.867218,9.18308,22.83006739616394,70,,0.1461463,1.2406675e-06,0.1690133,7.450224e-29,2.2470325e-26,-1.8262768,-2.506413,1400,0.95648247,19.116096,0.27308708,,1.0847421,-1.1007004,0.95648247,0.9994784,-0.96625966
0.6957533,10,-0.5555556,4.7806096,6.0533495,23.228673458099365,71,,0.95617867,1.2059652e-06,0.26359713,1.0838944,2.5694185e-08,-1.8404614,-1.8046807,1420,0.95648247,19.125038,0.26936674,,0.95349926,-0.67611367,0.95648247,0.9994784,-0.9773736
0.69936293,10,-1.0,4.6224356,10.043439,23.63043785095215,72,,0.9556439,1.1726988e-06,1.0,1.5189216,0.28075898,-1.8544476,-1.3893903,1440,0.95648247,19.13451,0.26575708,,0.80854046,-1.49683,0.95648247,0.9994784,-0.98393315
0.7028515,10,0.33333334,4.4184837,9.298545,24.027398109436035,73,,0.95402604,1.1407902e-06,1.0,2.212516,1.9179201,-1.8643491,-3.3878179,1460,0.95648247,19.1456,0.26226854,,1.0540849,-0.81500447,0.95648247,0.9994784,-1.0196126
0.706268,10,-0.5555556,4.333385,24.740286,24.380126237869263,74,,0.9556756,1.1101664e-06,0.01831564,,,-1.8520211,-0.7551397,1480,0.95648247,19.155052,0.258852,,1.1347588,-0.5605186,0.95648247,0.9994784,-1.0154405
0.7096005,10,-1.0,4.3166103,14.256218,24.698214769363403,75,,0.95620924,1.0807593e-06,0.26359713,0.33512715,1.5971408e-13,-1.8654442,0.1177846,1500,0.95648247,19.163963,0.2555195,,1.293711,-1.272582,0.95648247,0.9994784,-1.0003495
0.712832,10,-1.0,4.2685375,12.703588,25.063154458999634,76,,0.9551918,1.0525054e-06,0.41111228,10.694283,1.3643965e-05,-1.8786894,-2.619567,1520,0.95648247,19.17389,0.25228804,,1.2946348,-1.1699057,0.95648247,0.9994784,-1.0184158
0.71598613,10,0.11111111,4.2558203,16.821672,25.464144468307495,77,,0.95569986,1.0253452e-06,0.0285655,,,-1.8917613,-2.08688,1540,0.95648247,19.183308,0.24913388,,1.1986861,0.08310275,0.95648247,0.9994784,-1.029073
0.7188513,10,0.33333334,4.2503233,9.829937,25.83853554725647,78,,0.9394744,9.992227e-07,0.1690133,1.218123,0.00053429697,-1.9046646,-0.43446806,1560,0.95648247,19.208954,0.24626869,,1.1007454,0.07001382,0.95648247,0.9994784,-1.0201604
0.72130245,10,0.11111111,4.1837144,12.550908,26.200265884399414,79,,0.9124882,9.740861e-07,0.044551425,12.487293,,-1.9173968,-0.75801307,1580,0.95648247,19.26159,0.24381757,,1.2482584,0.06589335,0.95648247,0.9994784,-1.0159769
0.72393906,10,-1.0,4.1496553,23.486156,26.568229913711548,80,,0.9322318,9.4988604e-07,0.01831564,,,-1.9299756,-0.71722996,1600,0.95648247,19.29448,0.24118096,,0.9675811,-0.99123913,0.95648247,0.9994784,-1.0100567
0.72680354,10,-0.11111111,4.1203647,17.684353,26.92676281929016,81,,0.95596266,9.2657694e-07,0.0285655,,,-1.9423982,0.015161264,1620,0.95648247,19.303635,0.23831648,,0.9487506,-0.10608025,0.95648247,0.9994784,-0.999065
0.7295735,10,-0.33333334,4.1124797,9.499605,27.280794143676758,82,,0.9539406,9.041153e-07,0.1690133,1.0165939,3.9499052e-15,-1.9546683,-0.061575457,1640,0.95648247,19.314812,0.23554653,,0.86758125,-0.00058174133,0.95648247,0.9994784,-0.9891523
0.7322522,10,-1.0,4.067915,8.965233,27.70409059524536,83,,0.9519034,8.8246054e-07,1.0,1.0574752,0.31413996,-1.9667896,-1.4742411,1660,0.95648247,19.328033,0.23286784,,0.9085392,0.57873905,0.95648247,0.9994784,-0.9968681
0.72886175,10,-1.0,4.02253,14.004094,28.135557651519775,84,,0.44745475,8.615746e-07,0.0285655,,,-1.9749881,-0.6075152,1680,0.95648247,19.845695,0.23625827,,0.91850555,-1.0036029,0.95648247,0.9994784,-0.99344563
