NumTrainableParams,InvPendulum_mu2_higher,DenMISELogLast,Delta,InvPendulum_std1_higher,IWMin,BoundMISE,MinEpLen,ReturnLastEpisode,DenMISELogFirst,InvPendulum_std3_higher,InvPendulum_mu3_higher,BoundBonus,Regret,TimestepsSoFar,DenMISEMeanLog,TimeElapsed,ReturnMax,InvPendulum_mu0_higher,Bound,ReturnMin,IWMean,IWFirstEpisode,IWLastEpisode,ActionIn1,IWMax,AvgEpLen,GridSize,ReturnAbsMax,ReturnMean,Regret/t,InvPendulum_std2_higher,Iteration,NumTrajectories,InvPendulum_std0_higher,InvPendulum_mu1_higher
,-0.2,8.886699,3.206637e-07,0.01,,,14,-110.08571,9.921926,0.01,-0.2,inf,10061.303,4312,8.361089,34.24597907066345,-83.0463,,inf,-499.9033,,,,-0.19373079,,63.411764705882355,81,499.9033,-142.96033,147.96033,0.01,68,68,0.01,0.2
,-0.2,9.769581,3.1143645e-07,0.01,,,12,-106.52773,9.907327,0.01,,inf,10172.83,4324,8.367115,34.78832244873047,-83.0463,,inf,-499.9033,,,,-0.023158638,,62.666666666666664,81,499.9033,-142.43233,147.43233,0.01,69,69,0.01,0.2
,-0.2,8.430338,3.0260182e-07,0.01,,,12,-105.22084,9.892938,0.01,0.2,inf,10283.051,4337,8.353835,35.32801413536072,-83.0463,,inf,-499.9033,,,,0.19225469,,61.957142857142856,81,499.9033,-141.90073,146.90073,0.01,70,70,0.01,0.2
,,10.116579,2.9413786e-07,0.01,,,12,-119.052414,9.878753,0.01,-0.2,inf,10407.104,4364,8.364676,35.861921072006226,-83.0463,,inf,-499.9033,,,,-0.033381835,,61.46478873239437,81,499.9033,-141.57892,146.57892,0.01,71,71,0.01,0.2
,,8.0185,2.8602412e-07,0.01,,,12,-113.23504,9.864767,0.01,,inf,10525.339,4382,8.346078,36.413514137268066,-83.0463,,inf,-499.9033,,,,0.20404246,,60.861111111111114,81,499.9033,-141.18526,146.18526,0.01,72,72,0.01,0.2
,,9.857312,2.7824152e-07,0.01,,,12,-109.5027,9.850973,0.01,0.2,inf,10639.842,4399,8.353174,37.05702543258667,-83.0463,,inf,-499.9033,,,,0.3660111,,60.26027397260274,81,499.9033,-140.75125,145.75125,0.01,73,73,0.01,0.2
,0.2,8.722996,2.707723e-07,0.01,,,12,-106.29662,9.837368,0.01,-0.2,inf,10751.139,4412,8.344751,37.589672565460205,-83.0463,,inf,-499.9033,,,,0.2076856,,59.62162162162162,81,499.9033,-140.28566,145.28566,0.01,74,74,0.01,0.2
,0.2,7.968615,2.6359982e-07,0.01,,,12,-104.97882,9.823945,0.01,,inf,10861.117,4428,8.326491,38.185789823532104,-83.0463,,inf,-499.9033,,,,0.4136044,,59.04,81,499.9033,-139.8149,144.8149,0.01,75,75,0.01,0.2
,0.2,7.004468,2.5670863e-07,0.01,,,12,-110.64599,9.810699,0.01,0.2,inf,10976.763,4444,8.296025,38.76284337043762,-83.0463,,inf,-499.9033,,,,0.6175567,,58.473684210526315,81,499.9033,-139.43109,144.43109,0.01,76,76,0.01,0.2
,-0.2,9.650853,2.5008418e-07,0.01,,,12,-125.69304,9.797627,0.01,,inf,11107.455,4477,8.300718,39.36669445037842,-83.0463,0.2,inf,-499.9033,,,,0.21489102,,58.142857142857146,81,499.9033,-139.25267,144.25267,0.01,77,77,0.01,0.2
