IWMin,LQGmu1_actor,LQGmu1_higher,Bound,ReturnStepMax,IWMax,TimestepsSoFar,ReturnMean,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMax,IWMean,DenMISELogLast,delta,ReturnMin,IWLastEpisode,LQGsigma_higher,ReturnAbsMax,IWFirstEpisode,Iteration,DenMISEMeanLog
,-0.4106068,-0.3939394,589.7033,19.19869,28.43331,1500,11.414557,-1.0301611,2512.24928689003,6.9026504,17.410385,0.84557986,-0.73535997,1.0807592e-07,,,0.033576142,17.410385,1.3984179e-13,75,-0.6838129
,0.9691339,1.0,586.2033,19.19869,15.361475,1520,11.492276,-1.0434064,2546.934998989105,17.321192,17.410385,0.63497525,-0.6893096,1.0525054e-07,,,0.05029252,17.410385,,76,-0.6870754
,0.7803098,0.8181818,578.8803,19.19869,16.890812,1540,11.350213,-1.0564785,2579.04137468338,0.5533759,17.410385,1.0117754,-0.5375631,1.02534514e-07,,0.031645954,0.042787246,17.410385,,77,-0.690294
,-0.059381884,-0.09090909,577.72046,19.19869,29.90769,1560,11.250351,-1.069382,2611.893690109253,3.5609813,17.410385,1.004912,-0.6088246,9.9922275e-08,,,0.03224658,17.410385,23.49855,78,-0.68997085
,-0.56119204,-0.5151515,574.7729,19.19869,22.05466,1580,11.293978,-0.81878525,2644.7483134269714,14.696858,17.410385,0.9347002,-0.8342924,9.74086e-08,,9.698842e-31,0.037902914,17.410385,7.3220214e-23,79,-0.6930416
,0.038898744,0.01010101,574.84515,19.19869,17.776794,1600,11.369989,-0.83136404,2679.615134716034,17.374947,17.410385,0.72147554,-0.56913775,9.49886e-08,,,0.03224658,17.410385,0.0075610145,80,-0.69331044
,0.58714616,0.57575756,571.7273,19.19869,23.505808,1620,11.341919,-0.84369206,2714.8994562625885,9.09622,17.410385,0.83697003,-0.6364689,9.265769e-08,,,0.037902914,17.410385,,81,-0.6966165
,0.39611208,0.2929293,571.95404,19.19869,30.283262,1640,11.276359,-0.85596216,2749.3602192401886,5.9659095,17.410385,0.8660551,-0.5811875,9.041153e-08,,4.505531e-16,0.033576142,17.410385,3.0616576e-32,82,-0.6980757
,0.11485581,0.09090909,566.8263,19.19869,31.451704,1660,11.232981,-0.86808354,2783.4022886753082,7.6760893,17.410385,1.0338904,-0.7802508,8.8246054e-08,,2.9631846e-17,0.033576142,17.410385,6.663573e-08,83,-0.70167774
,-0.7374123,-0.6363636,565.79456,19.19869,18.507648,1680,11.206214,-0.8800597,2816.9268748760223,8.984546,17.410385,1.0597309,-0.8601094,8.6157456e-08,,,0.042787246,17.410385,6.5571595e-31,84,-0.7042911
