LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
1.0263044,0.7979798,19.192318,53.885246,361.55853,,44.87525010108948,17.404362,77,7.755499e-05,4.695565,-0.8941875,12.654435,8.99686,0.74428093,0.14999999,17.404362,1540,-0.86531246,7.122888e-09,1.02534514e-07,-0.71598125,,9.040831
-0.5772706,-0.45454547,19.192318,53.263123,378.9085,,45.62258577346802,17.404362,78,8.042442e-21,4.8578014,-1.4837369,12.492199,5.035909,0.9246732,0.14999999,17.404362,1560,-0.8767462,0.8167592,9.9922275e-08,-0.7288847,,
-0.50533664,-0.67676765,19.20262,53.33008,378.844,,46.21977877616882,17.41444,79,3.7935789,4.795494,-0.57512075,12.554506,4.5608997,1.0504318,0.14999999,17.41444,1580,-0.8740494,0.015106728,9.74086e-08,-0.7312069,,17.41444
0.5104555,0.3131313,19.20262,53.095795,378.83002,,46.82421255111694,17.41444,80,1.6084041e-06,4.7353754,-0.567992,12.614625,7.365033,1.0653393,0.14999999,17.41444,1600,-0.86977637,0.037534125,9.49886e-08,-0.74359447,,17.364004
-1.0096806,-1.0,19.20262,52.87815,389.4477,,47.40989398956299,17.41444,81,7.196638e-22,4.8079967,-1.0380303,12.542004,7.7137485,1.0027379,0.14999999,17.41444,1620,-0.8713791,9.2492627e-07,9.265769e-08,-0.7555479,,6.7323008
-0.19279866,-0.21212122,19.20262,52.391518,389.59448,,48.086387634277344,17.41444,82,3.9247466e-06,4.751152,-0.7091896,12.598848,5.488364,0.9312565,0.14999999,17.41444,1640,-0.86963934,5.4133043,9.041153e-08,-0.767818,,17.20332
0.47153842,0.5555556,19.20262,52.277256,390.235,,48.7868709564209,17.41444,83,2.0812242e-05,4.701626,-0.6870526,12.648375,7.943281,1.098916,0.14999999,17.41444,1660,-0.86845434,5.953077e-05,8.8246054e-08,-0.7160111,,16.709496
-0.5145648,-0.4949495,19.20262,52.07672,400.50476,,49.690895795822144,17.41444,84,6.822411e-09,4.767914,-0.9765203,12.582087,4.879713,0.94766945,0.14999999,17.41444,1680,-0.868944,0.464881,8.6157456e-08,-0.7279866,,7.0802474
-0.7459316,-0.85858583,19.20262,52.012352,400.4541,,50.500269651412964,17.41444,85,0.33620954,4.7112255,-0.5618085,12.638775,4.447263,1.0989679,0.14999999,17.41444,1700,-0.8660882,0.00011294402,8.4142165e-08,-0.734302,,17.40054
-0.6314061,-0.6363636,19.20262,51.623405,400.4264,,51.266393184661865,17.41444,86,3.292732,4.6561213,-0.4803172,12.693879,4.5037923,1.024131,0.14999999,17.41444,1720,-0.8606381,0.0373037,8.219674e-08,-0.7459967,,17.377638
