LQGsigma_higher,MinEpLen,LQGmu1_higher,ReturnMean,NumTrajectories,NumTrainableParams,TimeElapsed,AvgEpLen,Iteration,LQGmu1_actor,TimestepsSoFar
0.14999999,20,-0.67,0.045833528,162,,1.7700235843658447,20.0,162,-0.6255387,3240
0.14999999,20,-0.67,0.045833405,163,,1.7791047096252441,20.0,163,-0.80070883,3260
0.14999999,20,-0.67,0.045833204,164,,1.7899630069732666,20.0,164,-0.7957043,3280
0.14999999,20,-0.67,0.04583321,165,,1.7993919849395752,20.0,165,-0.6223943,3300
0.14999999,20,-0.67,0.045833334,166,,1.8083000183105469,20.0,166,-0.8031383,3320
0.14999999,20,-0.67,0.04583336,167,,1.8174684047698975,20.0,167,-0.6570931,3340
0.14999999,20,-0.67,0.045833427,168,,1.8290820121765137,20.0,168,-0.59190977,3360
0.14999999,20,-0.67,0.045833446,169,,1.840566635131836,20.0,169,-0.7515769,3380
0.14999999,20,-0.67,0.045833558,170,,1.8508176803588867,20.0,170,-0.83563507,3400
0.14999999,20,-0.67,0.045833636,171,,1.866485595703125,20.0,171,-0.55317944,3420
0.14999999,20,-0.67,0.045833733,172,,1.8760457038879395,20.0,172,-0.86684954,3440
0.14999999,20,-0.67,0.0458333,173,,1.8863441944122314,20.0,173,-0.45273507,3460
0.14999999,20,-0.67,0.045833275,174,,1.8972783088684082,20.0,174,-0.72876257,3480
0.14999999,20,-0.67,0.04583339,175,,1.908797264099121,20.0,175,-0.5393338,3500
0.14999999,20,-0.67,0.04583336,176,,1.920727014541626,20.0,176,-0.5195085,3520
0.14999999,20,-0.67,0.04583347,177,,1.9305076599121094,20.0,177,-0.89884603,3540
0.14999999,20,-0.67,0.045833576,178,,1.9391989707946777,20.0,178,-0.58304644,3560
0.14999999,20,-0.67,0.045833554,179,,1.9535322189331055,20.0,179,-0.6131249,3580
0.14999999,20,-0.67,0.04583356,180,,1.9630258083343506,20.0,180,-0.50351644,3600
0.14999999,20,-0.67,0.045833524,181,,1.9730675220489502,20.0,181,-0.81183517,3620
0.14999999,20,-0.67,0.045833267,182,,1.983879566192627,20.0,182,-0.38905072,3640
0.14999999,20,-0.67,0.04583318,183,,1.9937400817871094,20.0,183,-0.7738213,3660
0.14999999,20,-0.67,0.045831643,184,,2.0039710998535156,20.0,184,-0.5783129,3680
0.14999999,20,-0.67,0.04583175,185,,2.018126964569092,20.0,185,-0.6733283,3700
0.14999999,20,-0.67,0.045831785,186,,2.029153347015381,20.0,186,-0.5553208,3720
0.14999999,20,-0.67,0.045831837,187,,2.041081666946411,20.0,187,-0.63010496,3740
0.14999999,20,-0.67,0.045831934,188,,2.0497117042541504,20.0,188,-0.8378317,3760
0.14999999,20,-0.67,0.045831922,189,,2.060137987136841,20.0,189,-0.6166123,3780
0.14999999,20,-0.67,0.045832008,190,,2.071229934692383,20.0,190,-0.6217637,3800
0.14999999,20,-0.67,0.045831826,191,,2.0815117359161377,20.0,191,-0.55651873,3820
0.14999999,20,-0.67,0.04583179,192,,2.0925440788269043,20.0,192,-0.8580617,3840
0.14999999,20,-0.67,0.045831542,193,,2.1058719158172607,20.0,193,-0.6630635,3860
0.14999999,20,-0.67,0.04583164,194,,2.115569591522217,20.0,194,-0.8300489,3880
0.14999999,20,-0.67,0.045831434,195,,2.1241753101348877,20.0,195,-0.5355067,3900
0.14999999,20,-0.67,0.04583144,196,,2.1365303993225098,20.0,196,-0.6557086,3920
0.14999999,20,-0.67,0.045831546,197,,2.1454601287841797,20.0,197,-0.5002991,3940
0.14999999,20,-0.67,0.04583162,198,,2.155994176864624,20.0,198,-0.49541327,3960
0.14999999,20,-0.67,0.045831632,199,,2.168952703475952,20.0,199,-0.6458762,3980
0.14999999,20,-0.67,0.04583173,200,,2.177550792694092,20.0,200,-0.49679744,4000
0.14999999,20,-0.67,0.0458318,201,,2.1877293586730957,20.0,201,-0.50867605,4020
0.14999999,20,-0.67,0.04583184,202,,2.19770884513855,20.0,202,-0.62962914,4040
0.14999999,20,-0.67,0.045831952,203,,2.20686411857605,20.0,203,-0.8845532,4060
0.14999999,20,-0.67,0.045831792,204,,2.2172799110412598,20.0,204,-0.91571385,4080
0.14999999,20,-0.67,0.045831643,205,,2.229031801223755,20.0,205,-0.6338664,4100
0.14999999,20,-0.67,0.045831755,206,,2.2405333518981934,20.0,206,-0.7622585,4120
0.14999999,20,-0.67,0.045831542,207,,2.2564287185668945,20.0,207,-0.67590135,4140
0.14999999,20,-0.67,0.04583163,208,,2.2656373977661133,20.0,208,-0.5787062,4160
0.14999999,20,-0.67,0.045831542,209,,2.275285243988037,20.0,209,-0.7786081,4180
0.14999999,20,-0.67,0.045831647,210,,2.2887156009674072,20.0,210,-0.702674,4200
0.14999999,20,-0.67,0.04583175,211,,2.300342082977295,20.0,211,-0.50378835,4220
0.14999999,20,-0.67,0.04583168,212,,2.314302682876587,20.0,212,-0.56288975,4240
0.14999999,20,-0.67,0.045831688,213,,2.324502944946289,20.0,213,-0.50965595,4260
0.14999999,20,-0.67,0.04583179,214,,2.332981586456299,20.0,214,-0.6538963,4280
0.14999999,20,-0.67,0.045831565,215,,2.343064546585083,20.0,215,-0.42524534,4300
0.14999999,20,-0.67,0.045831587,216,,2.351865768432617,20.0,216,-0.7285114,4320
0.14999999,20,-0.67,0.045831673,217,,2.3613643646240234,20.0,217,-0.91223365,4340
0.14999999,20,-0.67,0.045831587,218,,2.3729231357574463,20.0,218,-0.4925997,4360
0.14999999,20,-0.67,0.045831654,219,,2.381723642349243,20.0,219,-0.74401253,4380
0.14999999,20,-0.67,0.04583163,220,,2.3913393020629883,20.0,220,-0.523991,4400
0.14999999,20,-0.67,0.045831293,221,,2.402888059616089,20.0,221,-0.7026032,4420
0.14999999,20,-0.67,0.04583139,222,,2.412285566329956,20.0,222,-0.67326033,4440
0.14999999,20,-0.67,0.045831442,223,,2.4263436794281006,20.0,223,-0.63368064,4460
0.14999999,20,-0.67,0.04583154,224,,2.436161756515503,20.0,224,-0.7669419,4480
0.14999999,20,-0.67,0.04583163,225,,2.4449832439422607,20.0,225,-0.5866992,4500
0.14999999,20,-0.67,0.045831725,226,,2.456374406814575,20.0,226,-0.67341805,4520
0.14999999,20,-0.67,0.045831792,227,,2.4665865898132324,20.0,227,-0.5918627,4540
0.14999999,20,-0.67,0.045831513,228,,2.478502035140991,20.0,228,-0.7404539,4560
0.14999999,20,-0.67,0.045831107,229,,2.4885635375976562,20.0,229,-0.8051704,4580
0.14999999,20,-0.67,0.045831177,230,,2.49961519241333,20.0,230,-0.75978905,4600
0.14999999,20,-0.67,0.04583127,231,,2.5092265605926514,20.0,231,-0.5557215,4620
0.14999999,20,-0.67,0.045831323,232,,2.517977476119995,20.0,232,-0.8638116,4640
0.14999999,20,-0.67,0.04583133,233,,2.532688617706299,20.0,233,-0.63420695,4660
0.14999999,20,-0.67,0.0458314,234,,2.54239559173584,20.0,234,-0.56336325,4680
0.14999999,20,-0.67,0.04583129,235,,2.552438497543335,20.0,235,-0.69216883,4700
0.14999999,20,-0.67,0.045831386,236,,2.5626602172851562,20.0,236,-0.3607202,4720
0.14999999,20,-0.67,0.04583147,237,,2.571597099304199,20.0,237,-0.83431137,4740
0.14999999,20,-0.67,0.045831542,238,,2.5812761783599854,20.0,238,-0.718826,4760
0.14999999,20,-0.67,0.045831442,239,,2.590928077697754,20.0,239,-0.909966,4780
0.14999999,20,-0.67,0.045831513,240,,2.601879119873047,20.0,240,-0.6982544,4800
0.14999999,20,-0.67,0.045831587,241,,2.6108779907226562,20.0,241,-0.74384665,4820
0.14999999,20,-0.67,0.04583157,242,,2.6209797859191895,20.0,242,-0.8503462,4840
0.14999999,20,-0.67,0.045831576,243,,2.6296579837799072,20.0,243,-0.79701734,4860
0.14999999,20,-0.67,0.04583167,244,,2.6409432888031006,20.0,244,-0.5833066,4880
0.14999999,20,-0.67,0.04583156,245,,2.649899959564209,20.0,245,-0.68061626,4900
0.14999999,20,-0.67,0.04583137,246,,2.6596856117248535,20.0,246,-0.43668914,4920
0.14999999,20,-0.67,0.045831457,247,,2.668459892272949,20.0,247,-0.6059056,4940
0.14999999,20,-0.67,0.04583131,248,,2.678938627243042,20.0,248,-0.7717764,4960
0.14999999,20,-0.67,0.045831352,249,,2.6881096363067627,20.0,249,-0.65855575,4980
0.14999999,20,-0.67,0.04583141,250,,2.696420431137085,20.0,250,-0.68644917,5000
0.14999999,20,-0.67,0.04583149,251,,2.707345485687256,20.0,251,-0.65610975,5020
0.14999999,20,-0.67,0.045831576,252,,2.7168495655059814,20.0,252,-0.6105146,5040
0.14999999,20,-0.67,0.045831583,253,,2.7255923748016357,20.0,253,-0.54873693,5060
0.14999999,20,-0.67,0.04583167,254,,2.7362520694732666,20.0,254,-0.59210336,5080
0.14999999,20,-0.67,0.045831755,255,,2.7461464405059814,20.0,255,-0.713204,5100
0.14999999,20,-0.67,0.04583174,256,,2.7559046745300293,20.0,256,-0.80274916,5120
0.14999999,20,-0.67,0.04583176,257,,2.7663145065307617,20.0,257,-0.5610374,5140
0.14999999,20,-0.67,0.045831785,258,,2.7761571407318115,20.0,258,-0.63985103,5160
0.14999999,20,-0.67,0.045831867,259,,2.7862555980682373,20.0,259,-0.69954276,5180
0.14999999,20,-0.67,0.045831952,260,,2.7987005710601807,20.0,260,-0.5801954,5200
0.14999999,20,-0.67,0.045832038,261,,2.808309555053711,20.0,261,-0.7835797,5220
0.14999999,20,-0.67,0.04583202,262,,2.8179922103881836,20.0,262,-0.64987105,5240
0.14999999,20,-0.67,0.0458321,263,,2.829054594039917,20.0,263,-0.73866755,5260
0.14999999,20,-0.67,0.045832094,264,,2.8377137184143066,20.0,264,-0.8058311,5280
0.14999999,20,-0.67,0.045832094,265,,2.84673810005188,20.0,265,-0.8496437,5300
