InvPendulum_std3_higher,InvPendulum_mu3_higher,GridSize,InvPendulum_mu0_higher,IWMin,ActionIn1,InvPendulum_mu2_higher,Regret,ReturnMax,DenMISELogLast,MinEpLen,ReturnAbsMax,InvPendulum_mu1_higher,DenMISELogFirst,IWMean,InvPendulum_std0_higher,ReturnStepMax,ReturnMean,ReturnLastEpisode,BoundBonus,InvPendulum_std2_higher,NumTrainableParams,Iteration,Bound,InvPendulum_std1_higher,AvgEpLen,IWLastEpisode,NumTrajectories,IWFirstEpisode,TimeElapsed,TimestepsSoFar,BoundMISE,ReturnMin,IWMax,Delta,Regret/t,DenMISEMeanLog
0.01,-1.0,81,1.0,,-0.021866977,,10169.738,,8.868786,11,494.85684,,6.45039,,0.01,494.85684,-134.31148,-113.20111,inf,0.01,,73,inf,0.01,58.75342465753425,,73,,11.076740503311157,4289,,-494.85684,,2.7824152e-07,139.31148,8.867883
0.01,,81,1.0,,0.94607276,,10285.177,,8.644589,11,494.85684,,6.4367843,,0.01,494.85684,-133.98888,-110.438705,inf,0.01,,74,inf,0.01,58.17567567567568,,74,,11.240392446517944,4305,,-494.85684,,2.707723e-07,138.98888,8.851443
0.01,1.0,81,1.0,,2.037508,,10403.779,,6.145841,11,494.85684,,6.4233613,,0.01,494.85684,-133.71706,-113.60195,inf,0.01,,75,inf,0.01,57.64,,75,,11.406448364257812,4323,,-494.85684,,2.6359982e-07,138.71706,8.802124
0.01,-1.0,81,1.0,,0.9948423,1.0,10524.263,,6.8593683,11,494.85684,,6.410116,,0.01,494.85684,-133.47714,-115.48389,inf,0.01,,76,inf,0.01,57.14473684210526,,76,,11.57681155204773,4343,,-494.85684,,2.5670863e-07,138.47714,8.763492
0.01,,81,1.0,,1.9642574,1.0,10634.18,,9.55735,11,494.85684,,6.397044,,0.01,494.85684,-133.10623,-104.91743,inf,0.01,,77,inf,0.01,56.62337662337662,,77,,11.736625909805298,4360,,-494.85684,,2.5008418e-07,138.10623,8.760898
0.01,1.0,81,1.0,,2.9988003,1.0,10748.987,,6.9055753,11,494.85684,,6.3841405,,0.01,494.85684,-132.80753,-109.80707,inf,0.01,,78,inf,0.01,56.08974358974359,,78,,11.901041030883789,4375,,-494.85684,,2.4371286e-07,137.80753,8.724375
0.01,,81,-1.0,,-1.0114411,-1.0,10866.094,,7.854143,11,494.85684,1.0,6.371402,,0.01,494.85684,-132.54549,-112.10723,inf,0.01,,79,inf,0.01,55.620253164556964,,79,,12.065795660018921,4394,,-494.85684,,2.3758197e-07,137.54549,8.700781
0.01,-1.0,81,-1.0,,-0.988594,,10981.885,,8.1022,11,494.85684,1.0,6.358823,,0.01,494.85684,-132.27356,-110.79023,inf,0.01,,80,inf,0.01,55.1625,,80,,12.240129947662354,4413,,-494.85684,,2.3167952e-07,137.27356,8.680877
0.01,,81,-1.0,,-0.028783618,,11092.921,,9.705605,11,494.85684,1.0,6.3464003,,0.01,494.85684,-131.94965,-106.035995,inf,0.01,,81,inf,0.01,54.666666666666664,,81,,12.405993700027466,4428,,-494.85684,,2.2599437e-07,136.94965,8.681259
0.01,1.0,81,-1.0,,1.0014825,,11203.412,,7.995655,11,494.85684,1.0,6.3341303,,0.01,494.85684,-131.62698,-105.490906,inf,0.01,,82,inf,0.01,54.13414634146341,,82,,12.568862915039062,4439,,-494.85684,,2.2051593e-07,136.62698,8.660777
