GridSize,TimestepsSoFar,Iteration,IWLastEpisode,IWMax,ReturnAbsMax,BoundMISE,TimeElapsed,ReturnMean,Bound,NumTrainableParams,ReturnMax,Regret/t,LQGsigma_higher,DenMISELogLast,ReturnMin,Delta,IWFirstEpisode,LQGmu1_higher,ReturnLastEpisode,DenMISELogFirst,LQGmu1_actor,IWMean,MinEpLen,BoundBonus,Regret,NumTrajectories,DenMISEMeanLog,AvgEpLen,IWMin,ReturnStepMax
20,1020,51,1.7226306,1.8032671,18.196976,15.626005,14.300387144088745,13.389694,36.94468,,18.196976,-8.389694,1.0,-1.7118273,,1.168641e-06,0.3663364,-1.0,18.13438,-1.5708109,-0.49693668,0.9316524,20,21.318674,-427.8744,51,-1.6283973,20.0,,19.987028
20,1040,52,1.1695259,1.775835,18.196976,15.6382885,14.622959613800049,13.482119,36.64447,,18.196976,-8.482119,1.0,-1.2020733,,1.1241256e-06,0.3708556,-1.0,18.19587,-1.5830716,-0.5066062,0.9315652,20,21.006184,-441.0702,52,-1.6215463,20.0,,19.987028
20,1060,53,1.2450404,1.3996863,18.196976,14.944575,15.066317319869995,13.570883,36.453568,,18.196976,-8.570883,1.0,-1.1989063,,1.082106e-06,1.2189655,-0.15789473,18.186579,-1.5950133,-0.14059156,1.0501016,20,21.508991,-454.25677,53,-1.6148924,20.0,,19.987028
20,1080,54,1.3580294,1.3894026,18.196976,15.075731,15.552286624908447,13.656302,36.264027,,18.196976,-8.656302,1.0,-1.2251229,,1.0423989e-06,1.2140427,-0.15789473,18.183554,-1.5909665,-0.39025828,1.0528088,20,21.188295,-467.4403,54,-1.6067833,20.0,,19.987028
20,1100,55,1.0904415,1.781396,18.196976,15.742838,16.28529953956604,13.738799,36.198334,,18.196976,-8.738799,1.0,-1.1914136,,1.0048382e-06,0.372346,-1.0,18.193665,-1.5870824,0.19095278,0.9336452,20,20.455498,-480.63397,55,-1.5983068,20.0,,19.987028
20,1120,56,1.0615768,4.3294387,18.196976,8.261786,16.848913192749023,13.734503,35.993248,,18.196976,-8.734503,1.0,-1.3059727,,9.692714e-07,1.9409993,1.0,13.498133,-1.5983537,-0.7212908,1.0817436,20,27.73146,-489.13214,56,-1.5942956,20.0,,19.987028
20,1140,57,1.2110459,1.3501436,18.196976,15.7668495,17.188318729400635,13.812765,36.1166,,18.196976,-8.812765,1.0,-1.2153658,,9.355603e-07,1.0795019,-0.2631579,18.195478,-1.5819798,1.0960879,1.0580225,20,20.349749,-502.32764,57,-1.5864224,20.0,,19.987028
20,1160,58,0.25746334,1.798406,18.196976,15.571411,17.688457012176514,13.620264,35.630455,,18.196976,-8.620264,1.0,-1.7588528,,9.035778e-07,0.36994386,-1.0,2.6477044,-1.58061,-0.5983654,0.9273561,20,20.059044,-499.97534,58,-1.5884275,20.0,,19.987028
20,1180,59,1.1944923,1.3836163,18.196976,15.235776,18.102145671844482,13.697735,35.52823,,18.196976,-8.697735,1.0,-1.1936669,,8.7320757e-07,1.2145039,-0.15789473,18.191036,-1.5913464,1.1945382,1.0644972,20,20.292454,-513.1664,59,-1.5829881,20.0,,19.987028
20,1200,60,0.2270798,1.7885294,18.196976,15.346762,18.506615161895752,13.51508,35.038975,,18.196976,-8.51508,1.0,-1.8444834,,8.443433e-07,0.37260497,-1.0,2.7384636,-1.5877776,-0.7545881,0.9162316,20,19.692213,-510.90485,60,-1.586304,20.0,,19.987028
20,1220,61,1.1142359,1.3806891,18.196976,15.05439,18.894940614700317,13.591773,34.96631,,18.196976,-8.591773,1.0,-1.2051289,,8.168867e-07,1.2227535,-0.15789473,18.193312,-1.598116,1.6679701,1.0634264,20,19.911917,-524.09814,61,-1.5814439,20.0,,19.987028
20,1240,62,3.1671495,4.419701,18.196976,8.010917,19.33112120628357,13.404352,34.684155,,18.196976,-8.404352,1.0,-2.2948625,,7.90748e-07,1.9335911,1.0,1.9717139,-1.5945297,0.059175313,1.123616,20,26.673237,-521.0698,62,-1.5919571,20.0,,19.987028
20,1260,63,1.3316386,1.3363193,18.196976,15.360762,19.748399019241333,13.474991,34.657867,,18.196976,-8.474991,1.0,-1.2572981,,7.658441e-07,1.0771724,-0.2631579,17.854628,-1.5798196,0.58992666,1.0505022,20,19.297108,-533.92444,63,-1.584874,20.0,,19.987028
20,1280,64,0.48209813,1.817172,18.196976,15.091642,20.166831016540527,13.399839,34.330555,,18.196976,-8.399839,1.0,-1.4532645,,7.4209845e-07,0.3692063,-1.0,8.665219,-1.5786145,-0.6412267,0.9028988,20,19.238913,-537.5897,64,-1.5820524,20.0,,19.987028
20,1300,65,1.168032,1.3708138,18.196976,15.009828,20.551759958267212,13.47358,34.286053,,18.196976,-8.47358,1.0,-1.1910638,,7.194404e-07,1.21089,-0.15789473,18.192999,-1.5883664,0.1310359,1.0654246,20,19.276224,-550.7827,65,-1.5775423,20.0,,19.987028
20,1320,66,1.362901,1.3631551,18.196976,15.10811,20.948484420776367,13.537611,34.15927,,18.196976,-8.537611,1.0,-1.2702945,,6.978043e-07,1.2070332,-0.15789473,17.69957,-1.5851761,-1.1681125,1.0675229,20,19.051159,-563.4823,66,-1.571922,20.0,,19.987028
20,1340,67,1.5043496,1.8200476,18.196976,15.274756,21.50375747680664,13.607005,34.09781,,18.196976,-8.607005,1.0,-1.3414301,,6.771298e-07,0.37049204,-1.0,18.187048,-1.5820909,0.76829445,0.9102436,20,18.823053,-576.6693,67,-1.5674994,20.0,,19.987028
20,1360,68,1.8478608,4.4969115,18.196976,8.267474,21.90691590309143,13.502415,34.003685,,18.196976,-8.502415,1.0,-1.5598109,,6.5736054e-07,1.9275324,1.0,6.494896,-1.5913914,2.2861505,1.1111822,20,25.73621,-578.1642,68,-1.5687172,20.0,,19.987028
20,1380,69,0.03840062,1.8239633,18.196976,14.939439,22.312192916870117,13.331078,33.568928,,18.196976,-8.331078,1.0,-3.0586495,,6.3844476e-07,0.3689937,-1.0,1.6801611,-1.5780385,0.28198433,0.8936629,20,18.62949,-574.84436,69,-1.5888501,20.0,,19.987028
20,1400,70,1.1583769,4.341696,18.196976,8.318461,22.74969506263733,13.307049,33.5233,,18.196976,-8.307049,1.0,-1.3237317,,6.2033376e-07,1.9192662,1.0,11.649019,-1.5870937,0.8611395,1.1399994,20,25.204838,-581.4934,70,-1.5865904,20.0,,19.987028
20,1420,71,1.1742592,1.3665518,18.196976,14.795864,23.195402145385742,13.195316,33.364548,,18.196976,-8.195316,1.0,-1.5987912,,6.029826e-07,1.1938922,-0.15789473,5.3740687,-1.5742295,0.53787315,1.0650957,20,18.568684,-581.86743,71,-1.5849404,20.0,,19.987028
20,1440,72,1.298284,1.3596299,18.196976,14.719133,23.630225896835327,13.139617,33.088562,,18.196976,-8.139617,1.0,-1.4220284,,5.863494e-07,1.1906857,-0.15789473,9.185031,-1.5715401,-0.5282583,1.0661119,20,18.369427,-586.0524,72,-1.5817956,20.0,,19.987028
20,1460,73,1.2571924,1.3192706,18.196976,15.056856,24.016481637954712,13.208767,32.962376,,18.196976,-8.208767,1.0,-1.1829586,,5.703951e-07,1.0655075,-0.2631579,18.187523,-1.5689313,-0.124061584,1.0513606,20,17.90552,-599.24,73,-1.5754477,20.0,,19.987028
20,1480,74,1.3128843,1.3136032,18.196976,15.140243,24.393191814422607,13.276112,32.868294,,18.196976,-8.276112,1.0,-1.2008389,,5.550832e-07,1.0645653,-0.2631579,18.192236,-1.5680466,1.0941505,1.0530243,20,17.72805,-612.43225,74,-1.5697088,20.0,,19.987028
20,1500,75,2.293615,4.35113,18.196976,8.348375,24.789551496505737,13.139851,32.664772,,18.196976,-8.139851,1.0,-1.7534999,,5.4037963e-07,1.8814358,1.0,3.0565674,-1.567186,1.3212752,1.142333,20,24.316397,-610.48883,75,-1.5714697,20.0,,19.987028
20,1520,76,0.18314165,1.8917426,18.196976,14.373553,25.203304052352905,12.999886,32.44946,,18.196976,-7.9998856,1.0,-1.9156023,,5.262527e-07,0.36082613,-1.0,2.5025253,-1.555655,-0.79181755,0.86907786,20,18.075907,-607.99133,76,-1.574251,20.0,,19.987028
20,1540,77,1.1760976,1.3147733,18.196976,14.912227,25.6256844997406,13.067277,32.356586,,18.196976,-8.067277,1.0,-1.2208809,,5.126726e-07,1.0602561,-0.2631579,18.188969,-1.5639906,-1.0378938,1.049382,20,17.44436,-621.1803,77,-1.5713662,20.0,,19.987028
20,1560,78,1.459243,1.8780142,18.196976,14.584191,26.09142303466797,13.132976,32.38086,,18.196976,-8.132976,1.0,-1.2975744,,4.9961136e-07,0.3635655,-1.0,18.191816,-1.5632184,-0.8028126,0.87912965,20,17.796669,-634.3721,78,-1.5672381,20.0,,19.987028
20,1580,79,1.3214921,1.8573711,18.196976,14.653711,26.632575750350952,13.197046,32.276806,,18.196976,-8.197046,1.0,-1.2171414,,4.8704305e-07,0.3665182,-1.0,18.194454,-1.5713071,-0.5317755,0.88247526,20,17.623095,-647.56665,79,-1.5643412,20.0,,19.987028
