NumTrainableParams,Iteration,ReturnMean,TimeElapsed,MinEpLen,AvgEpLen,NumTrajectories,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor
,226,0.0022414934,2.2761974334716797,20,20.0,226,4520,1.0,0.14999999,0.996582
,227,0.0022323083,2.2837352752685547,20,20.0,227,4540,1.0,0.14999999,1.0781373
,228,0.0022225173,2.291558265686035,20,20.0,228,4560,1.0,0.14999999,0.9295461
,229,0.0022264228,2.298989772796631,20,20.0,229,4580,1.0,0.14999999,0.86482966
,230,0.00224187,2.307234525680542,20,20.0,230,4600,1.0,0.14999999,0.91021097
,231,0.0022491883,2.314558506011963,20,20.0,231,4620,1.0,0.14999999,1.1142784
,232,0.0022394934,2.3218719959259033,20,20.0,232,4640,1.0,0.14999999,0.8061884
,233,0.0022643278,2.329646110534668,20,20.0,233,4660,1.0,0.14999999,1.0357931
,234,0.0022546512,2.3381640911102295,20,20.0,234,4680,1.0,0.14999999,1.1066368
,235,0.002245057,2.3467113971710205,20,20.0,235,4700,1.0,0.14999999,0.9778311
,236,0.0022398036,2.354268789291382,20,20.0,236,4720,1.0,0.14999999,1.3092798
,237,0.002230353,2.3623251914978027,20,20.0,237,4740,1.0,0.14999999,0.83568865
,238,0.0022500383,2.3699798583984375,20,20.0,238,4760,1.0,0.14999999,0.951174
,239,0.002249763,2.377354383468628,20,20.0,239,4780,1.0,0.14999999,0.7600341
,240,0.002280736,2.384775161743164,20,20.0,240,4800,1.0,0.14999999,0.9717456
,241,0.0022765724,2.3936409950256348,20,20.0,241,4820,1.0,0.14999999,0.92615336
,242,0.0022806409,2.4011082649230957,20,20.0,242,4840,1.0,0.14999999,0.8196538
,243,0.0023022187,2.4087586402893066,20,20.0,243,4860,1.0,0.14999999,0.8729827
,244,0.0023151378,2.416086435317993,20,20.0,244,4880,1.0,0.14999999,1.0866934
,245,0.002305688,2.4239084720611572,20,20.0,245,4900,1.0,0.14999999,0.98938376
,246,0.0022982839,2.43161678314209,20,20.0,246,4920,1.0,0.14999999,1.2333109
,247,0.002288979,2.4391233921051025,20,20.0,247,4940,1.0,0.14999999,1.0640944
,248,0.0022797494,2.446665048599243,20,20.0,248,4960,1.0,0.14999999,0.89822364
,249,0.0022883827,2.4546315670013428,20,20.0,249,4980,1.0,0.14999999,1.0114442
,250,0.0022792292,2.4623517990112305,20,20.0,250,5000,1.0,0.14999999,0.98355085
,251,0.0022731288,2.469743490219116,20,20.0,251,5020,1.0,0.14999999,1.0138903
,252,0.0022641085,2.4766032695770264,20,20.0,252,5040,1.0,0.14999999,1.0594854
,253,0.0022551594,2.4844369888305664,20,20.0,253,5060,1.0,0.14999999,1.1212631
,254,0.002246281,2.4936983585357666,20,20.0,254,5080,1.0,0.14999999,1.0778966
,255,0.002237472,2.500971794128418,20,20.0,255,5100,1.0,0.14999999,0.956796
,256,0.0022363032,2.508547306060791,20,20.0,256,5120,1.0,0.14999999,0.8672509
,257,0.002249715,2.5164175033569336,20,20.0,257,5140,1.0,0.14999999,1.1089627
,258,0.0022409952,2.5242340564727783,20,20.0,258,5160,1.0,0.14999999,1.030149
,259,0.0022323427,2.5318446159362793,20,20.0,259,5180,1.0,0.14999999,0.97045726
,260,0.00222889,2.539724349975586,20,20.0,260,5200,1.0,0.14999999,1.0898046
,261,0.0022203503,2.5477242469787598,20,20.0,261,5220,1.0,0.14999999,0.8864203
,262,0.0022306251,2.555229663848877,20,20.0,262,5240,1.0,0.14999999,1.020129
,263,0.0022221436,2.562607765197754,20,20.0,263,5260,1.0,0.14999999,0.93133247
,264,0.0022252442,2.569988250732422,20,20.0,264,5280,1.0,0.14999999,0.864169
,265,0.0022387542,2.5780231952667236,20,20.0,265,5300,1.0,0.14999999,0.8203563
,266,0.0022585243,2.585660696029663,20,20.0,266,5320,1.0,0.14999999,0.89666355
,267,0.0022668955,2.5937910079956055,20,20.0,267,5340,1.0,0.14999999,1.0270485
,268,0.002258437,2.60113263130188,20,20.0,268,5360,1.0,0.14999999,0.9975208
,269,0.0022504635,2.6094555854797363,20,20.0,269,5380,1.0,0.14999999,1.1241543
,270,0.0022421286,2.6174585819244385,20,20.0,270,5400,1.0,0.14999999,0.99910593
,271,0.002234006,2.62477970123291,20,20.0,271,5420,1.0,0.14999999,0.7646805
,272,0.002260796,2.632711887359619,20,20.0,272,5440,1.0,0.14999999,1.1002604
,273,0.0022525147,2.640848159790039,20,20.0,273,5460,1.0,0.14999999,1.0017205
,274,0.002244294,2.648435115814209,20,20.0,274,5480,1.0,0.14999999,1.2403148
,275,0.0022361327,2.6557960510253906,20,20.0,275,5500,1.0,0.14999999,1.25607
,276,0.002228031,2.6632769107818604,20,20.0,276,5520,1.0,0.14999999,1.1602056
,277,0.0022199876,2.6736252307891846,20,20.0,277,5540,1.0,0.14999999,0.94248384
,278,0.002221216,2.6812944412231445,20,20.0,278,5560,1.0,0.14999999,0.9730702
,279,0.0022176208,2.689481019973755,20,20.0,279,5580,1.0,0.14999999,1.0810672
,280,0.0022097009,2.698012113571167,20,20.0,280,5600,1.0,0.14999999,1.1013287
,281,0.0022018373,2.705740451812744,20,20.0,281,5620,1.0,0.14999999,1.1151
,282,0.0021940293,2.713015079498291,20,20.0,282,5640,1.0,0.14999999,1.099923
,283,0.0021862765,2.7205212116241455,20,20.0,283,5660,1.0,0.14999999,0.96092755
,284,0.0021847638,2.728532075881958,20,20.0,284,5680,1.0,0.14999999,1.1868532
,285,0.0021770978,2.736176013946533,20,20.0,285,5700,1.0,0.14999999,1.1617831
,286,0.0021694857,2.7432665824890137,20,20.0,286,5720,1.0,0.14999999,0.80910665
,287,0.002189515,2.751126289367676,20,20.0,287,5740,1.0,0.14999999,1.0754813
,288,0.0021819125,2.7589683532714844,20,20.0,288,5760,1.0,0.14999999,0.9814863
,289,0.0021772732,2.76766037940979,20,20.0,289,5780,1.0,0.14999999,0.9190467
,290,0.0021820476,2.774818181991577,20,20.0,290,5800,1.0,0.14999999,0.87268883
,291,0.002193333,2.7826075553894043,20,20.0,291,5820,1.0,0.14999999,0.9584343
,292,0.0021922134,2.792362928390503,20,20.0,292,5840,1.0,0.14999999,0.8075522
,293,0.0022119517,2.7997682094573975,20,20.0,293,5860,1.0,0.14999999,1.0031263
,294,0.002204428,2.806875705718994,20,20.0,294,5880,1.0,0.14999999,1.1577487
,295,0.0021969553,2.814243793487549,20,20.0,295,5900,1.0,0.14999999,0.8107958
,296,0.002216071,2.8219516277313232,20,20.0,296,5920,1.0,0.14999999,0.84319013
,297,0.0022309213,2.8296189308166504,20,20.0,297,5940,1.0,0.14999999,0.9381373
,298,0.0022326596,2.8372325897216797,20,20.0,298,5960,1.0,0.14999999,1.1186298
