Bound,IWLastEpisode,DenMISELogLast,InvPendulum_std0_higher,NumTrajectories,Iteration,ReturnMin,ReturnStepMax,MinEpLen,InvPendulum_std3_higher,TimestepsSoFar,ReturnMean,DenMISELogFirst,InvPendulum_mu0_higher,ActionIn1,AvgEpLen,ReturnAbsMax,BoundMISE,NumTrainableParams,IWMean,ReturnLastEpisode,InvPendulum_mu3_higher,IWMax,BoundBonus,IWMin,ReturnMax,InvPendulum_std1_higher,IWFirstEpisode,InvPendulum_mu2_higher,GridSize,Delta,InvPendulum_std2_higher,Regret/t,TimeElapsed,InvPendulum_mu1_higher,Regret,DenMISEMeanLog
inf,,8.674859,0.01,53,53,-494.85684,494.85684,11,0.01,3333,-141.67906,6.7705574,-1.0,-1.9747597,62.886792452830186,494.85684,,,,-106.75356,,,inf,,,0.01,,-1.0,81,5.2785657e-07,0.01,146.67906,7.975228548049927,,7773.99,9.295986
inf,,8.458791,0.01,54,54,-494.85684,494.85684,11,0.01,3351,-141.04335,6.7518654,-1.0,-1.0046108,62.05555555555556,494.85684,,,,-107.35099,1.0,,inf,,,0.01,,-1.0,81,5.084873e-07,0.01,146.04335,8.130837202072144,,7886.3413,9.262137
inf,,10.502851,0.01,55,55,-494.85684,494.85684,11,0.01,3367,-140.44019,6.733516,-1.0,-1.9537947,61.21818181818182,494.85684,,,,-107.869156,-1.0,,inf,,,0.01,,,81,4.9016495e-07,0.01,145.44019,8.28575873374939,,7999.2104,9.26668
inf,,7.248411,0.01,56,56,-494.85684,494.85684,11,0.01,3382,-139.82828,6.715498,-1.0,-1.0167025,60.392857142857146,494.85684,,,,-106.17267,,,inf,,,0.01,,,81,4.7281532e-07,0.01,144.82828,8.443793773651123,,8110.3833,9.212943
inf,,8.7806425,0.01,57,57,-494.85684,494.85684,11,0.01,3882,-139.72481,6.6977983,-1.0,0.007988572,68.10526315789474,494.85684,,,,-133.93097,1.0,,inf,,,0.01,,,81,4.563709e-07,0.01,144.72481,8.872687816619873,,8249.314,9.187969
inf,,8.146312,0.01,58,58,-494.85684,494.85684,11,0.01,3936,-139.8229,6.6804066,-1.0,-0.9883435,67.86206896551724,494.85684,,,,-145.41473,-1.0,,inf,,,0.01,,1.0,81,4.4076967e-07,0.01,144.8229,9.057380437850952,,8399.729,9.152917
inf,,8.890081,0.01,59,59,-494.85684,494.85684,11,0.01,3950,-139.22606,6.663312,-1.0,-0.011105232,66.94915254237289,494.85684,,,,-104.60894,,,inf,,,0.01,,1.0,81,4.259549e-07,0.01,144.22606,9.217845439910889,,8509.338,9.131658
inf,,5.6078687,0.01,60,60,-494.85684,494.85684,11,0.01,3969,-138.81023,6.646505,-1.0,0.97578704,66.15,494.85684,,,,-114.274956,1.0,,inf,,,0.01,,1.0,81,4.1187477e-07,0.01,143.81023,9.375538110733032,,8628.613,9.0564
inf,,9.567166,0.01,61,61,-494.85684,494.85684,11,0.01,3985,-138.34073,6.629976,,-1.9774926,65.32786885245902,494.85684,,,,-110.17122,-1.0,,inf,,,0.01,,-1.0,81,3.984813e-07,0.01,143.34073,9.530454158782959,,8743.784,9.048516
inf,,9.947391,0.01,62,62,-494.85684,494.85684,11,0.01,4004,-137.9227,6.613715,,-0.9990986,64.58064516129032,494.85684,,,,-112.42274,,,inf,,,0.01,,-1.0,81,3.8573074e-07,0.01,142.9227,9.693187236785889,,8861.207,9.047015
inf,,8.968792,0.01,63,63,-494.85684,494.85684,11,0.01,4021,-137.45645,6.597715,,0.007104337,63.82539682539682,494.85684,,,,-108.54985,1.0,,inf,,,0.01,,-1.0,81,3.735825e-07,0.01,142.45645,9.856389999389648,,8974.757,9.030027
inf,,10.291423,0.01,64,64,-494.85684,494.85684,11,0.01,4034,-136.99196,6.5819664,,-0.9717663,63.03125,494.85684,,,,-107.728294,-1.0,,inf,,,0.01,,,81,3.6199927e-07,0.01,141.99196,10.011158466339111,,9087.485,9.034235
inf,,8.719227,0.01,65,65,-494.85684,494.85684,11,0.01,4082,-136.52324,6.566462,,0.0056049037,62.8,494.85684,,,,-106.525406,,,inf,,,0.01,,,81,3.5094652e-07,0.01,141.52324,10.182984113693237,,9199.011,9.014123
inf,,9.341805,0.01,66,66,-494.85684,494.85684,11,0.01,4145,-136.71996,6.5511947,,0.9926887,62.803030303030305,494.85684,,,,-149.50642,1.0,,inf,,,0.01,,,81,3.4039232e-07,0.01,141.71996,10.36988377571106,,9353.517,9.004051
inf,,10.255267,0.01,67,67,-494.85684,494.85684,11,0.01,4172,-136.54448,6.5361567,,0.018818498,62.26865671641791,494.85684,,,,-124.96399,-1.0,,inf,,,0.01,,1.0,81,3.3030722e-07,0.01,141.54448,10.538344621658325,,9483.48,9.007913
inf,,7.221524,0.01,68,68,-494.85684,494.85684,11,0.01,4187,-136.08649,6.521342,,1.0046954,61.5735294117647,494.85684,,,,-105.39972,,,inf,,,0.01,,1.0,81,3.206637e-07,0.01,141.08649,10.699869394302368,,9593.881,8.967045
inf,,8.400423,0.01,69,69,-494.85684,494.85684,11,0.01,4204,-135.68651,6.506743,,1.9966712,60.927536231884055,494.85684,,,,-108.48932,1.0,,inf,,,0.01,,1.0,81,3.1143645e-07,0.01,140.68651,10.860352039337158,,9707.369,8.944446
inf,,8.961091,0.01,70,70,-494.85684,494.85684,11,0.01,4232,-135.44919,6.4923544,1.0,-0.996977,60.457142857142856,494.85684,,,,-119.07302,-1.0,,inf,,,0.01,,-1.0,81,3.0260182e-07,0.01,140.44919,11.026193380355835,,9831.443,8.9305
inf,,8.632267,0.01,71,71,-494.85684,494.85684,11,0.01,4252,-135.00464,6.4781694,1.0,0.011086464,59.88732394366197,494.85684,,,,-103.88622,,,inf,,,0.01,,-1.0,81,2.9413786e-07,0.01,140.00464,11.190111875534058,,9940.329,8.912314
inf,,7.698397,0.01,72,72,-494.85684,494.85684,11,0.01,4267,-134.60468,6.4641833,1.0,1.0254515,59.263888888888886,494.85684,,,,-106.20813,1.0,,inf,,,0.01,,-1.0,81,2.8602412e-07,0.01,139.60468,11.353464603424072,,10051.537,8.881663
inf,,8.868786,0.01,73,73,-494.85684,494.85684,11,0.01,4289,-134.31148,6.45039,1.0,-0.021866977,58.75342465753425,494.85684,,,,-113.20111,-1.0,,inf,,,0.01,,,81,2.7824152e-07,0.01,139.31148,11.525209665298462,,10169.738,8.867883
inf,,8.644589,0.01,74,74,-494.85684,494.85684,11,0.01,4305,-133.98888,6.4367843,1.0,0.94607276,58.17567567567568,494.85684,,,,-110.438705,,,inf,,,0.01,,,81,2.707723e-07,0.01,138.98888,11.692702293395996,,10285.177,8.851443
inf,,6.145841,0.01,75,75,-494.85684,494.85684,11,0.01,4323,-133.71706,6.4233613,1.0,2.037508,57.64,494.85684,,,,-113.60195,1.0,,inf,,,0.01,,,81,2.6359982e-07,0.01,138.71706,11.857105731964111,,10403.779,8.802124
inf,,6.8593683,0.01,76,76,-494.85684,494.85684,11,0.01,4343,-133.47714,6.410116,1.0,0.9948423,57.14473684210526,494.85684,,,,-115.48389,-1.0,,inf,,,0.01,,1.0,81,2.5670863e-07,0.01,138.47714,12.023352146148682,,10524.263,8.763492
inf,,9.55735,0.01,77,77,-494.85684,494.85684,11,0.01,4360,-133.10623,6.397044,1.0,1.9642574,56.62337662337662,494.85684,,,,-104.91743,,,inf,,,0.01,,1.0,81,2.5008418e-07,0.01,138.10623,12.192133665084839,,10634.18,8.760898
inf,,6.9055753,0.01,78,78,-494.85684,494.85684,11,0.01,4375,-132.80753,6.3841405,1.0,2.9988003,56.08974358974359,494.85684,,,,-109.80707,1.0,,inf,,,0.01,,1.0,81,2.4371286e-07,0.01,137.80753,12.358237743377686,,10748.987,8.724375
inf,,7.854143,0.01,79,79,-494.85684,494.85684,11,0.01,4394,-132.54549,6.371402,-1.0,-1.0114411,55.620253164556964,494.85684,,,,-112.10723,,,inf,,,0.01,,-1.0,81,2.3758197e-07,0.01,137.54549,12.524718523025513,1.0,10866.094,8.700781
inf,,8.1022,0.01,80,80,-494.85684,494.85684,11,0.01,4413,-132.27356,6.358823,-1.0,-0.988594,55.1625,494.85684,,,,-110.79023,-1.0,,inf,,,0.01,,,81,2.3167952e-07,0.01,137.27356,12.694006443023682,1.0,10981.885,8.680877
