ReturnMean,IWMin,IWNorm1,ReturnStepMax,ReturnMax,LQGsigma,IWMean,LQGmu1,URet,Iteration,DenMISELogFirst,Bound,ExplorationBonus,ReturnLastEpisode,target_sum_log_mean,SqrtESSClassic,ReturnMin,TimeElapsed,DenMISEMeanLog,IWNorm2,IWMax,ReturnAbsMax,MISE,TimestepsSoFar,IWFirstEpisode,LQGmu01,DenMISELogLast,IWLastEpisode
11.705602,,86.9536,0.98656696,15.232155,0.11,1.0604098,-0.05050505,15.662702840757575,82,10.844361,17.3682,2.7910397,14.110483,-35.430252,5.709085,,79.19963359832764,13.646556,15.2307415,3.041354,15.232155,14.57716,1640,2.321969e-21,-0.005050505,15.724732,2.7748072
11.728969,,88.19266,0.98656696,15.232155,0.11,1.0625621,-0.05050505,15.123070817257299,83,10.83224,17.342228,2.7384598,13.644998,-34.750088,5.802014,,80.36159467697144,13.723006,15.200353,2.9683523,15.232155,14.603768,1660,2.350281e-21,-0.005050505,19.942263,2.94831
11.767894,,88.50412,0.98656696,15.232155,0.11,1.0536205,-0.05050505,16.61225810791658,84,10.820264,17.200832,2.68984,14.998646,-34.139412,5.8902445,,81.42803430557251,13.749131,15.025543,2.9003868,15.232155,14.510992,1680,2.3786023e-21,-0.005050505,15.86534,1.9767021
11.784029,,89.76913,0.98656696,15.232155,0.11,1.0561074,-0.05050505,14.577097831671626,85,10.80843,17.166924,2.6421652,13.139371,-33.567753,5.979924,,82.50846910476685,13.745597,15.01175,2.847844,15.232155,14.524757,1700,2.4069158e-21,-0.005050505,13.404926,2.847844
11.809323,,90.96509,0.98656696,15.232155,0.11,1.0577335,-0.05050505,15.497554814569448,86,10.796734,17.150925,2.596481,13.959338,-32.987156,6.068577,,83.57766842842102,13.76485,14.989526,2.7879398,15.232155,14.554443,1720,2.4352322e-21,-0.005050505,15.354654,2.7424405
11.82532,,92.05905,0.98656696,15.232155,0.11,1.05815,-0.05050505,14.630769379397854,87,10.785172,17.096739,2.552622,13.20111,-32.48233,6.1563315,,84.65393209457397,13.721859,14.953556,2.7317982,15.232155,14.544116,1740,2.4635527e-21,-0.005050505,9.976061,2.6027777
11.855786,,93.19537,0.98656696,15.232155,0.11,1.0590383,-0.05050505,16.053989573530107,88,10.773744,17.09031,2.5108018,14.506313,-31.884954,6.242405,,85.71588039398193,13.783871,14.929402,2.6790752,15.232155,14.579507,1760,2.4918697e-21,-0.005050505,19.129566,2.6048684
11.87474,,94.340225,0.98656696,15.232155,0.11,1.0600026,-0.05050505,14.98820787644583,89,10.7624445,17.05763,2.4708009,13.54257,-31.282532,6.32705,,86.77857899665833,13.863093,14.910618,2.6294682,15.232155,14.586829,1780,2.5201853e-21,-0.005050505,20.784042,2.5773509
11.912025,,94.88255,0.98656696,15.232155,0.11,1.0542506,-0.05050505,16.871934025901748,90,10.751271,16.97284,2.4329636,15.230477,-30.75913,6.4090896,,87.9366672039032,13.878078,14.804373,2.5827074,15.232155,14.539876,1800,2.5485019e-21,-0.005050505,15.160104,1.9411314
11.928539,,95.7845,0.98656696,15.232155,0.11,1.0525769,-0.05050505,14.89401217600975,91,10.740221,16.903957,2.3958654,13.414943,-30.220247,6.492026,,89.0060522556305,13.918062,14.754177,2.538557,15.232155,14.508093,1820,2.5768219e-21,-0.005050505,17.470074,2.2463725
