DenMISELogFirst,ReturnAbsMax,ReturnMin,IWLastEpisode,URet,DenMISELogLast,ReturnStepMax,Iteration,LQGmu1,IWMean,TimestepsSoFar,TimeElapsed,Bound,IWFirstEpisode,target_sum_log_mean,MISE,LQGsigma,DenMISEMeanLog,IWMin,IWMax,ReturnMean,ReturnLastEpisode,ReturnMax,LQGmu01
16.077541,15.059469,,2.5410252,15.405630934310828,17.30973,0.9976285,90,-0.40732324,1.0871642,1800,25.235485315322876,15.519387,6.1902726e-11,10.677895,15.519387,0.11,15.060756,,3.8805728,13.78393,13.952651,15.059469,-0.49062505
16.066492,15.059469,,1.5422614,15.666314980329897,-2.0621693,0.9976285,91,-0.40437725,1.0759948,1820,25.590877532958984,15.3593855,4.898508e-10,10.674115,15.3593855,0.11,14.873455,,3.0143666,13.788092,14.162554,15.059469,-0.49031973
16.055563,15.059469,,4.80661,15.591720456164138,16.363304,0.9976285,92,-0.41075405,1.0920477,1840,25.984267473220825,15.580228,4.782402e-12,10.393393,15.580228,0.11,14.890406,,4.981647,13.792356,14.180394,15.059469,-0.49097976
16.044752,15.059469,,2.8158092,15.790603429400301,18.822668,0.9976285,93,-0.40855607,1.0907886,1860,26.338526487350464,15.564722,2.5893492e-11,10.647109,15.564722,0.11,14.933557,,3.9719312,13.797308,14.253035,15.059469,-0.4907526
16.034058,15.059469,,3.5988312,15.443318318813684,13.832913,0.9976285,94,-0.40975034,1.1001825,1880,26.682651042938232,15.688721,1.0627215e-11,10.617195,15.688721,0.11,14.922722,,4.270878,13.799805,14.032033,15.059469,-0.49087608
16.023476,15.059469,,1.8003142,15.877480932064346,19.913975,0.9976285,95,-0.40736872,1.0899181,1900,27.12629222869873,15.547057,6.322619e-11,10.863304,15.547057,0.11,14.976215,,3.3815436,13.805424,14.333553,15.059469,-0.49062976
16.013004,15.059469,,2.002818,15.885785636743082,15.877766,0.9976285,96,-0.4061141,1.086311,1920,27.473181009292603,15.499652,1.5633297e-10,10.981949,15.499652,0.11,14.986468,,2.9801347,13.811475,14.386402,15.059469,-0.49049982
16.00264,15.059469,,0.9284172,15.967293985559962,16.361212,0.9976285,97,-0.4043141,1.0727832,1940,27.89594578742981,15.309169,5.4484245e-10,11.103003,15.309169,0.11,15.001468,,2.5672612,13.817212,14.36775,15.059469,-0.49031317
15.992384,15.059469,,1.2117473,14.983203241716053,14.998493,0.9976285,98,-0.4025215,1.0641642,1960,28.19462561607361,15.177172,1.7934821e-09,11.191655,15.177172,0.11,15.002128,,2.190178,13.813486,13.45229,15.059469,-0.49012703
15.982232,15.059469,,1.6183748,15.124087474371638,20.657303,0.9976285,99,-0.40117243,1.0614772,1980,28.59873938560486,15.127169,4.263513e-09,11.315331,15.127169,0.11,15.059855,,2.0447855,13.8113165,13.598532,15.059469,-0.48998678
15.972181,15.059469,,1.8569592,16.422451284200086,13.9149475,0.9976285,100,-0.40112233,1.0622268,2000,29.018892288208008,15.149176,4.4433413e-09,11.348185,15.149176,0.11,15.048981,,2.0201094,13.821872,14.866905,15.059469,-0.48998156
15.962231,15.059469,,0.0004758507,16.14635848010061,10.662365,0.9976285,101,-0.4618191,1.0887593,2020,29.467922925949097,15.309824,,-4.934983,15.309824,0.11,15.006127,,8.379448,13.830455,14.688855,15.059469,-0.49617454
15.952379,15.059469,,6.1971116,15.722969293814245,12.102243,0.9976285,102,-0.46263316,1.0789917,2040,29.94787836074829,15.182842,,-5.232614,15.182842,0.11,14.978224,,7.2776637,13.835382,14.333009,15.059469,-0.4962564
15.942623,15.059469,,6.0084977,15.617765261723898,14.773663,0.9976285,103,-0.4636137,1.0717773,2060,30.693984746932983,15.085286,,-5.6071243,15.085286,0.11,14.976735,,6.310546,13.83933,14.241917,15.059469,-0.496355
15.9329605,15.059469,,6.6822586,15.542505177764244,16.079952,0.9976285,104,-0.46225265,1.071859,2080,31.225922107696533,15.096665,,-4.578708,15.096665,0.11,14.987787,,6.7580485,13.84215,14.132684,15.059469,-0.49621814
15.923391,15.059469,,6.870432,16.257720472081736,4.7376623,0.9991554,105,-0.46097416,1.0759684,2100,31.77018928527832,15.205661,,-3.7455807,15.205661,0.11,14.890618,,7.18356,13.851064,14.7781725,15.059469,-0.49608955
15.913913,15.059469,,9.279689,15.624652898083426,13.549593,0.9991554,106,-0.45833164,1.0918857,2120,32.32269048690796,15.455516,,-2.1365707,15.455516,0.11,14.878459,,9.279689,13.854354,14.199802,15.059469,-0.49582356
15.904523,15.059469,,10.827628,14.91986635090534,13.710136,0.9991554,107,-0.4561218,1.1235843,2140,32.8782958984375,15.865363,1.6140225e-37,-0.8482371,15.865363,0.11,14.86816,,10.827628,13.852263,13.630663,15.059469,-0.49560097
