Iteration,DenMISEMeanLog,LQGmu1,IWFirstEpisode,IWLastEpisode,Bound,IWMean,ReturnMin,DenMISELogFirst,ReturnMean,DenMISELogLast,target_sum_log_mean,URet,SqrtESSClassic,TimeElapsed,ReturnMax,IWNorm2,IWMax,ReturnLastEpisode,ReturnAbsMax,ExplorationBonus,LQGmu01,MISE,TimestepsSoFar,LQGsigma,IWMin,IWNorm1,ReturnStepMax
78,15.897746,-0.13071696,0.19484118,1.6310337,22.877182,1.0648386,,18.624214,15.84934,16.255714,15.262461,17.66343620626388,5.677564,18.46908664703369,16.469803,14.629059,6.724021,15.953489,16.469803,5.8017144,-0.013146164,17.075468,1560,0.11,,83.05742,0.9999142
79,15.963409,-0.13124,0.1810475,1.2579011,22.521534,1.0440086,,18.61397,15.850036,21.03105,15.295525,17.62391654710416,5.6991467,18.832516193389893,16.469803,14.47176,6.660334,15.904176,16.469803,5.7797437,-0.013199369,16.74179,1580,0.11,,82.476685,0.9999142
80,15.9164095,-0.13186502,0.1651298,1.7795961,22.279682,1.0291847,,18.60368,15.850561,12.169258,15.211084,17.598143769607006,5.7035866,19.182432413101196,16.469803,14.435615,6.6765575,15.89212,16.469803,5.775244,-0.013262962,16.504438,1600,0.11,,82.33478,0.9999142
81,15.8702345,-0.13260429,0.14735013,1.2312615,21.960335,1.0061363,,18.593319,15.853295,12.156754,15.111999,17.80221078451922,5.659455,19.544751167297363,16.469803,14.400157,6.7707634,16.071938,16.469803,5.820279,-0.01333819,16.140057,1620,0.11,,81.49704,0.9999142
82,15.91505,-0.13346997,0.12815683,1.297883,21.660719,0.9820071,,18.582867,15.856353,19.547976,15.091677,17.830135818553753,5.5820875,19.8754723072052,16.469803,14.425531,6.942051,16.104033,16.469803,5.9009476,-0.013426304,15.759771,1640,0.11,,80.52458,0.9999142
83,15.922247,-0.1344667,0.10832596,2.4424453,21.553856,0.9691713,,18.572308,15.857327,16.539358,15.026883,17.654434519633458,5.4930797,20.292218685150146,16.469803,14.644101,7.184259,15.937295,16.469803,5.9965644,-0.013527779,15.557291,1660,0.11,,80.441216,0.9999142
84,15.861702,-0.13558955,0.08885041,2.1204996,21.378956,0.949315,,18.561636,15.861439,10.876322,14.877389,17.942179836781992,5.374329,20.689529180526733,16.469803,14.837659,7.483867,16.202686,16.469803,6.129064,-0.013642129,15.249892,1680,0.11,,79.74246,0.9999142
85,15.868485,-0.13679272,0.07116965,0.7020034,20.964104,0.9101871,,18.550858,15.858186,16.498238,14.770364,17.271744697078475,5.196399,21.10442304611206,16.469803,14.888369,7.7968626,15.584915,16.469803,6.338929,-0.013764697,14.625175,1700,0.11,,77.365906,0.9999142
86,15.853022,-0.13797888,0.0566925,0.45710784,20.50888,0.86734986,,18.539999,15.861202,14.637269,14.633315,17.83627654959667,5.017866,21.4801127910614,16.469803,14.8653,8.045144,16.11756,16.469803,6.564465,-0.0138855735,13.944415,1720,0.11,,74.59209,0.9999142
87,15.84879,-0.13919072,0.044524305,0.81413245,20.09341,0.8278386,,18.529097,15.863057,15.626012,14.506909,17.728948286539666,4.8599443,21.834774494171143,16.469803,14.819503,8.259747,16.022537,16.469803,6.777774,-0.014009105,13.315638,1740,0.11,,72.02196,0.9999142
88,15.863262,-0.14048932,0.033996608,3.02452,20.013779,0.8115444,,18.518179,15.869915,17.302855,14.399433,18.214409692835673,4.7463293,22.195332765579224,16.469803,15.046556,8.478982,16.46658,16.469803,6.9400167,-0.014141529,13.073761,1760,0.11,,71.41591,0.9999142
89,15.845691,-0.1412828,0.028805258,6.4792924,20.637215,0.8424432,,18.507267,15.875236,14.4961405,14.326165,18.076603934385258,4.675275,22.56811785697937,16.469803,16.037014,8.316308,16.343435,16.469803,7.0454907,-0.014222466,13.591724,1780,0.11,,74.97745,0.9999142
90,15.863414,-0.14229485,0.023116535,1.9334271,20.308033,0.8182751,,18.496416,15.878872,17.608461,14.246284,17.941219448715273,4.6396255,22.929247856140137,16.469803,15.872997,8.288272,16.202576,16.469803,7.099626,-0.014325728,13.208406,1800,0.11,,73.64476,0.999933
91,15.65402,-0.14338222,0.018108264,5.171443,20.555994,0.82843906,,18.485624,15.881929,-3.0002956,13.938087,17.887798482111425,4.589398,23.296716928482056,16.469803,16.426546,8.280371,16.157137,16.469803,7.177326,-0.014436705,13.378668,1820,0.11,,75.387955,0.999933
