TimestepsSoFar,ReturnMin,SqrtESSClassic,MISE,IWFirstEpisode,DenMISEMeanLog,ReturnStepMax,ReturnAbsMax,IWLastEpisode,ExplorationBonus,DenMISELogFirst,Iteration,IWMin,ReturnMax,ReturnMean,ReturnLastEpisode,LQGmu01,TimeElapsed,LQGmu1,URet,DenMISELogLast,Bound,IWMax,LQGsigma,target_sum_log_mean,IWMean,IWNorm1,IWNorm2
1060,,7.279588,15.946579,1.0034525,16.150013,0.9999598,16.503777,1.004001,4.534261,18.800068,53,,16.503777,15.866883,15.352447,-0.011110653,5.9137046337127686,-0.110656105,17.00943026661435,14.569563,20.48084,1.0166345,0.11,16.15482,1.0048932,53.25934,7.316257
1080,,7.3479676,15.951625,1.0033875,16.225338,0.9999598,16.503777,1.0111471,4.4920654,18.800133,54,,16.503777,15.871573,16.120136,-0.011110653,6.0678794384002686,-0.110656105,17.845045610882167,20.21279,20.443691,1.0163213,0.11,16.230173,1.004917,54.26552,7.3851056
1100,,7.4157085,15.946078,1.0033262,16.182003,0.9999598,16.503777,0.9921782,4.4510317,18.800194,55,,16.503777,15.871208,15.851525,-0.011110653,6.229203224182129,-0.110656105,17.55893315065609,13.837032,20.39711,1.0160199,0.11,16.186518,1.0045948,55.252716,7.450767
1120,,7.4828453,15.941666,1.0032669,16.163008,0.9999598,16.503777,1.0059907,4.4110966,18.800253,56,,16.503777,15.86781,15.680892,-0.011110653,6.387584924697876,-0.110656105,17.364330267094328,15.113891,20.352762,1.0157293,0.11,16.16747,1.0045365,56.254044,7.5177345
1140,,7.549379,15.945873,1.0032095,16.148514,0.9999598,16.503777,1.0137734,4.3722215,18.80031,57,,16.503777,15.8707485,16.035328,-0.011110653,6.54986047744751,-0.110656105,17.758133427867396,15.332311,20.318094,1.0154485,0.11,16.153059,1.0046178,57.263218,7.585156
1160,,7.615335,15.950242,1.003154,16.129316,0.9999598,16.503777,1.0097268,4.334353,18.800365,58,,16.503777,15.875021,16.118532,-0.011110653,6.715657949447632,-0.110656105,17.832553082418528,15.030507,20.284595,1.0151783,0.11,16.133871,1.0046252,58.268265,7.651438
1180,,7.6807237,15.942429,1.0031004,16.130287,0.9999598,16.503777,1.0095208,4.2974534,18.800419,59,,16.503777,15.867282,15.418385,-0.011110653,6.882365703582764,-0.110656105,17.090947365541076,16.182072,20.239882,1.0149169,0.11,16.134848,1.004629,59.273113,7.717126
1200,,7.7455573,15.945424,1.0030488,16.134472,0.9999598,16.503777,1.0124942,4.2614822,18.80047,60,,16.503777,15.86946,15.998003,-0.011110653,7.050280809402466,-0.110656105,17.722379680322955,16.376844,20.206905,1.0146652,0.11,16.13909,1.0046822,60.28093,7.7826457
1220,,7.8097086,15.924946,1.0029991,16.139605,0.9999598,16.503777,0.9560594,4.226477,18.80052,61,,16.503777,15.8626175,15.452095,-0.011110653,7.216005086898804,-0.110656105,17.103818874364045,16.442955,20.151423,1.0144205,0.11,16.143335,1.0038073,61.232246,7.840529
1240,,7.873472,15.911032,1.0029492,16.099594,0.9999598,16.503777,0.98781914,4.192249,18.80057,62,,16.503777,15.853741,15.312229,-0.011110653,7.385449647903442,-0.110656105,16.98372025769369,13.655177,20.103281,1.0141854,0.11,16.103004,1.0034869,62.216187,7.9020014
