MountainCar_std0_higher,MountainCar_mu0_higher,ActionIn1,AvgEpLen,TimeElapsed,MountainCar_mu1_higher,NumTrajectories,MountainCar_std1_higher,MinEpLen,Iteration,Regret/t,ReturnMean,ReturnLastEpisode,GridSize,Regret
0.14999999,-0.05263158,11.559741,458.4028846153846,3712.4652848243713,10.0,2080,1.5,175,2080,2.7751192365656863,2.224880763434315,6.459990516020138,400,5772.248012056627
0.14999999,-0.15789473,6.5590143,458.5156174915906,3715.657376766205,10.0,2081,1.5,175,2081,2.7761476487127306,2.2238523512872708,0.08475508543526107,400,5777.163256971192
0.14999999,-0.36842105,10.288356,458.628242074928,3718.933827638626,10.0,2082,1.5,175,2082,2.777259533754699,2.2227404662453023,-0.09109230609072323,400,5782.254349277283
0.14999999,-0.36842105,9.001745,458.7998079692751,3722.276197195053,10.0,2083,1.5,175,2083,2.7783506761919714,2.22164932380803,-0.050109230593086945,400,5787.304458507876
0.14999999,0.05263158,10.37519,458.7250479846449,3724.7857563495636,10.0,2084,1.5,175,2084,2.777276019335763,2.2227239806642385,4.461234212145916,400,5787.84322429573
0.14999999,0.05263158,10.500928,458.7755395683453,3727.8871817588806,10.0,2085,1.5,175,2085,2.778184741042409,2.221815258957592,0.328039222306569,400,5792.515185073423
0.14999999,0.15789473,8.296241,458.80680728667306,3730.9398140907288,10.0,2086,1.5,175,2086,2.7790732773028153,2.220926722697186,0.36832861975006187,400,5797.146856453673
0.14999999,-0.15789473,8.577874,458.9875419262099,3734.495832681656,10.0,2087,1.5,175,2087,2.7801290951944075,2.219870904805594,0.017434782943958137,400,5802.129421670728
0.14999999,0.05263158,10.466535,459.00526819923374,3737.471293449402,10.0,2088,1.5,175,2088,2.7808844928351375,2.219115507164864,0.6426006309607774,400,5806.486821039767
0.14999999,0.15789473,12.112824,458.91048348492103,3740.2835726737976,10.0,2089,1.5,175,2089,2.7788296024957226,2.2211703975042787,6.511781426203147,400,5804.975039613564
0.14999999,0.05263158,9.572869,458.83971291866027,3743.2566463947296,10.0,2090,1.5,175,2090,2.777875271374928,2.222124728625073,4.2157224399641455,400,5805.7593171736
0.14999999,0.15789473,10.502144,458.7910090865615,3746.2966957092285,10.0,2091,1.5,175,2091,2.77770926465595,2.2222907353440515,2.5692447780083407,400,5808.190072395591
0.14999999,0.05263158,10.942379,458.7232313575526,3749.281726837158,10.0,2092,1.5,175,2092,2.7769589434169273,2.2230410565830736,3.791962767379542,400,5809.398109628212
0.14999999,-0.05263158,11.880085,458.6215957955088,3751.7301938533783,10.0,2093,1.5,175,2093,2.774310195072791,2.2256898049272102,7.766871340860324,400,5806.631238287352
0.14999999,0.15789473,12.695841,458.5186246418338,3754.0997767448425,10.0,2094,1.5,175,2094,2.7715330494943773,2.228466950505624,8.041032646125856,400,5803.590205641226
0.14999999,0.15789473,12.160436,458.6109785202864,3757.322488307953,10.0,2095,1.5,175,2095,2.77259212233813,2.2274078776618715,0.00970934284425179,400,5808.580496298382
0.14999999,0.05263158,14.353567,458.50524809160305,3760.525233745575,10.0,2096,1.5,175,2096,2.7695847022904174,2.230415297709584,8.530960297666658,400,5805.049536000715
0.14999999,-0.05263158,10.684986,458.50929899856936,3763.366808652878,10.0,2097,1.5,175,2097,2.770240554147518,2.2297594458524834,0.8550939533708399,400,5809.194442047345
0.14999999,0.05263158,9.953844,458.51858913250715,3765.9236018657684,10.0,2098,1.5,175,2098,2.770967420392032,2.2290325796079693,0.7047940648621636,400,5813.489647982483
0.14999999,-0.2631579,7.69181,458.53120533587423,3768.949517250061,10.0,2099,1.5,175,2099,2.77179890828748,2.2282010917125215,0.48373948706252484,400,5818.00590849542
0.14999999,0.05263158,8.939627,458.51428571428573,3771.991173028946,10.0,2100,1.5,175,2100,2.77229781144774,2.227702188552261,1.180504455165879,400,5821.825404040254
0.14999999,-0.05263158,9.7416,458.4607329842932,3774.974139690399,10.0,2101,1.5,175,2101,2.7719415734741215,2.22805842652588,2.9761581711257246,400,5823.849245869129
0.14999999,0.05263158,11.459894,458.3582302568982,3778.1057920455933,10.0,2102,1.5,175,2102,2.7689898040824,2.231010195917601,8.432677687924224,400,5820.416568181205
0.14999999,-0.15789473,11.291219,458.3009985734665,3780.629287004471,10.0,2103,1.5,175,2103,2.7687470964891925,2.231252903510809,2.7414242644329545,400,5822.675143916772
0.14999999,-0.05263158,10.176845,458.3545627376426,3783.431859731674,10.0,2104,1.5,175,2104,2.769669393010676,2.2303306069893254,0.29074102230926846,400,5827.384402894462
0.14999999,-0.05263158,8.937251,458.3771971496437,3786.2808430194855,10.0,2105,1.5,175,2105,2.7704702394836995,2.229529760516302,0.5445487812744831,400,5831.839854113187
0.14999999,0.15789473,11.880402,458.4430199430199,3789.436543941498,10.0,2106,1.5,175,2106,2.771418910260707,2.2285810897392944,0.23162910413920967,400,5836.6082250090485
0.14999999,-0.15789473,9.4552145,458.51352634076886,3792.9431178569794,10.0,2107,1.5,175,2107,2.7723762867475474,2.227623713252454,0.2113888319666958,400,5841.396836177082
0.14999999,0.05263158,8.58456,458.5488614800759,3796.1902360916138,10.0,2108,1.5,175,2108,2.7732273521401396,2.2267726478598617,0.4335778656674176,400,5845.963258311414
0.14999999,-0.05263158,11.916788,458.4926505452821,3799.591945886612,10.0,2109,1.5,175,2109,2.772827874730947,2.2271721252690537,3.0692705038463868,400,5847.893987807568
0.14999999,0.05263158,9.823819,458.39289099526064,3802.3269259929657,10.0,2110,1.5,175,2110,2.770121874539062,2.229878125460939,7.93683253014688,400,5844.957155277421
0.14999999,0.05263158,10.280134,458.3320701089531,3805.3817417621613,10.0,2111,1.5,175,2111,2.7696402674627607,2.2303597325372406,3.2465506635339016,400,5846.710604613888
0.14999999,0.05263158,6.853514,458.46022727272725,3809.1855664253235,10.0,2112,1.5,175,2112,2.7706709990076033,2.229329000992398,0.05345470982942679,400,5851.657149904058
0.14999999,0.05263158,7.1625953,458.5049692380502,3812.0296375751495,10.0,2113,1.5,175,2113,2.771561367161141,2.22843863283886,0.3479810925673077,400,5856.309168811491
0.14999999,0.05263158,9.972354,458.4692526017029,3815.335300683975,10.0,2114,1.5,175,2114,2.77165340122963,2.2283465987703712,2.0338786120530266,400,5859.275290199438
0.14999999,-0.2631579,9.129836,458.4302600472813,3818.3407385349274,10.0,2115,1.5,175,2115,2.771746180386192,2.2282538196138093,2.032118682641925,400,5862.243171516796
0.14999999,-0.05263158,10.979525,458.3780718336484,3821.3082888126373,10.0,2116,1.5,175,2116,2.7714652885737827,2.2285347114262186,2.8226208946712252,400,5864.420550622124
0.14999999,-0.2631579,9.026072,458.38403401039204,3824.508974790573,10.0,2117,1.5,175,2117,2.772255841267252,2.227744158732749,0.5549346593518268,400,5868.865615962773
0.14999999,0.05263158,11.220831,458.28706326723324,3827.5250282287598,10.0,2118,1.5,175,2118,2.7698019512535272,2.230198048746474,7.425083207802757,400,5866.44053275497
0.14999999,0.05263158,9.675882,458.23124115148653,3830.8779516220093,10.0,2119,1.5,175,2119,2.7695874436130046,2.2304125563869968,2.6847397390138013,400,5868.755793015956
0.14999999,-0.05263158,10.803568,458.17122641509434,3833.3367261886597,10.0,2120,1.5,175,2120,2.769195985910164,2.2308040140898373,3.060302886409161,400,5870.695490129548
0.14999999,0.15789473,13.163722,458.13672795851016,3836.660626411438,10.0,2121,1.5,175,2121,2.769345527309361,2.2306544726906403,1.9136267063930459,400,5873.781863423154
0.14999999,0.05263158,7.2256117,458.2384542884072,3839.890254020691,10.0,2122,1.5,175,2122,2.7703905902804182,2.229609409719583,0.01303084810682148,400,5878.768832575048
0.14999999,0.05263158,7.548791,458.4931700423928,3842.7791554927826,10.0,2123,1.5,175,2123,2.771615150148986,2.2283848498510155,-0.3701311912492462,400,5884.138963766297
0.14999999,0.15789473,9.649036,458.4260828625235,3845.4201147556305,10.0,2124,1.5,175,2124,2.7707657643430297,2.2292342356569717,4.032480301701706,400,5885.106483464595
0.14999999,0.05263158,9.748184,458.37129411764704,3848.3456330299377,10.0,2125,1.5,175,2125,2.7703919460172735,2.229608053982728,3.023598177888696,400,5887.082885286706
0.14999999,0.05263158,8.979866,458.39510818438384,3851.0438544750214,10.0,2126,1.5,175,2126,2.7712026217306214,2.22879737826938,0.5061114874054855,400,5891.576773799301
0.14999999,0.05263158,9.914879,458.32346027268454,3853.856546640396,10.0,2127,1.5,175,2127,2.7701707664533743,2.229829233546627,4.4235535529743215,400,5892.153220246327
0.14999999,0.15789473,9.647117,458.25563909774434,3856.794983148575,10.0,2128,1.5,175,2128,2.769263763767561,2.2307362362324406,4.159930948957523,400,5892.993289297369
0.14999999,0.05263158,8.431722,458.19351808360733,3859.9279510974884,10.0,2129,1.5,175,2129,2.768641774056022,2.2313582259439793,3.5549523320987872,400,5894.4383369652705
0.14999999,-0.05263158,8.138972,458.3136150234742,3862.845723628998,10.0,2130,1.5,175,2130,2.7696648094439253,2.230335190556076,0.05229284970923145,400,5899.386044115561
0.14999999,-0.2631579,5.5750647,458.43031440638197,3866.659539461136,10.0,2131,1.5,175,2131,2.770791578481051,2.2292084215189503,-0.17080962755883525,400,5904.55685374312
0.14999999,-0.15789473,12.5142,458.43714821763604,3869.517772912979,10.0,2132,1.5,175,2132,2.77148586647952,2.2285141335204814,0.7489864087838467,400,5908.807867334336
0.14999999,-0.05263158,10.795154,458.45710267229254,3872.47087597847,10.0,2133,1.5,175,2133,2.7722494239713957,2.2277505760286056,0.599846003349076,400,5913.208021330987
0.14999999,-0.05263158,7.678644,458.4967197750703,3875.837524652481,10.0,2134,1.5,175,2134,2.7731076352476505,2.226892364752351,0.3963277125015857,400,5917.811693618486
0.14999999,-0.05263158,13.410245,458.4772833723653,3879.0429837703705,10.0,2135,1.5,175,2135,2.77347519127012,2.2265248087298812,1.4421602567797742,400,5921.369533361706
0.14999999,0.15789473,9.179849,458.55571161048687,3882.1437463760376,10.0,2136,1.5,175,2136,2.7744418866681086,2.2255581133318927,0.1616634386262037,400,5926.20786992308
0.14999999,-0.05263158,10.564101,458.4918109499298,3885.227760076523,10.0,2137,1.5,175,2137,2.773781140828134,2.2262188591718672,3.6375719733573257,400,5927.570297949723
0.14999999,0.2631579,10.311114,458.6426566884939,3888.1457760334015,10.0,2138,1.5,175,2138,2.774916982333199,2.2250830176668024,-0.20221027865643454,400,5932.77250822838
0.14999999,0.15789473,9.477494,458.59186535764377,3890.7040474414825,10.0,2139,1.5,175,2139,2.7746133807957056,2.2253866192042957,2.8744867063649355,400,5934.8980215220145
0.14999999,0.05263158,7.557002,458.53317757009347,3893.2618379592896,10.0,2140,1.5,175,2140,2.774114097424703,2.2258859025752984,3.2938530331500404,400,5936.604168488864
0.14999999,0.15789473,6.9105916,458.78561419897244,3896.9902374744415,10.0,2141,1.5,175,2141,2.775339297997153,2.2246607020028484,-0.3972685230403947,400,5942.001437011904
0.14999999,0.05263158,8.111761,458.8389355742297,3899.945594549179,10.0,2142,1.5,175,2142,2.7762384517148475,2.2237615482851534,0.29867343870008295,400,5946.702763573204
0.14999999,-0.05263158,11.212085,458.83807746150256,3903.0718483924866,10.0,2143,1.5,175,2143,2.7768311043526217,2.2231688956473796,0.9537069455356842,400,5950.749056627668
0.14999999,0.05263158,10.481807,458.83022388059703,3906.056978225708,10.0,2144,1.5,175,2144,2.777390996911672,2.2226090030883294,1.0227592490433568,400,5954.726297378625
0.14999999,0.05263158,9.321288,458.802331002331,3908.942610502243,10.0,2145,1.5,175,2145,2.7776722290034734,2.2223277709965275,1.6193661661735739,400,5958.106931212451
0.14999999,0.15789473,9.909392,458.7041006523765,3912.0695238113403,10.0,2146,1.5,175,2146,2.774953322908924,2.2250466770910773,8.057100249900342,400,5955.049830962551
0.14999999,0.05263158,10.864951,458.6362366092222,3915.1214365959167,10.0,2147,1.5,175,2147,2.774095887246105,2.2259041127538963,4.065961045163725,400,5955.983869917387
0.14999999,0.15789473,11.78132,458.63640595903166,3918.0487880706787,10.0,2148,1.5,175,2148,2.774874136814838,2.2251258631851627,0.5542240391143475,400,5960.429645878273
0.14999999,0.15789473,9.374432,458.68496975337365,3920.9333391189575,10.0,2149,1.5,175,2149,2.7758327566949017,2.2241672433050996,0.1650517409288289,400,5965.264594137344
0.14999999,-0.05263158,11.10936,458.6386046511628,3923.2641949653625,10.0,2150,1.5,175,2150,2.7756676052138745,2.224332394786127,2.579242927514625,400,5967.68535120983
0.14999999,-0.05263158,12.09953,458.6173872617387,3926.352471113205,10.0,2151,1.5,175,2151,2.776032186038785,2.2239678139612162,1.440119040403451,400,5971.245232169426
0.14999999,-0.05263158,9.792816,458.59526022304834,3929.273201942444,10.0,2152,1.5,175,2152,2.776383447518409,2.2236165524815923,1.4680531098099627,400,5974.777179059616
0.14999999,-0.05263158,8.916505,458.55643288434743,3932.6906666755676,10.0,2153,1.5,175,2153,2.776511363600738,2.223488636399263,1.948213227226511,400,5977.828965832389
0.14999999,0.05263158,9.898109,458.677808727948,3936.5014538764954,10.0,2154,1.5,175,2154,2.7775129167835417,2.2224870832164596,0.06614308064026073,400,5982.762822751749
0.14999999,-0.05263158,9.271427,458.6292343387471,3940.014860868454,10.0,2155,1.5,175,2155,2.7772589406767976,2.2227410593232038,2.7698055932502297,400,5984.993017158498
0.14999999,0.15789473,7.953801,458.64332096474953,3943.288740634918,10.0,2156,1.5,175,2156,2.7780219680291456,2.2219780319708557,0.5776540876606536,400,5989.415363070838
0.14999999,-0.15789473,9.454364,458.66295781177564,3946.726644515991,10.0,2157,1.5,175,2157,2.778760877799141,2.2212391222008603,0.6281496580908471,400,5993.787213412747
0.14999999,-0.05263158,12.953687,458.5625579240037,3949.7501175403595,10.0,2158,1.5,175,2158,2.7758697216032147,2.2241302783967867,8.460354193009914,400,5990.326859219737
0.14999999,0.15789473,5.721088,458.81287633163504,3953.707858800888,10.0,2159,1.5,175,2159,2.776984299474515,2.2230157005254862,-0.1822433457408194,400,5995.509102565478
0.14999999,0.15789473,8.636376,458.7888888888889,3956.4512865543365,10.0,2160,1.5,175,2160,2.777360535105546,2.2226394648944554,1.4103467374988883,400,5999.098755827979
0.14999999,0.05263158,11.204494,458.75242943081906,3960.213488817215,10.0,2161,1.5,175,2161,2.777415673053892,2.222584326946109,2.103486358518485,400,6001.995269469461
0.14999999,-0.15789473,10.985471,458.722941720629,3962.7337424755096,10.0,2162,1.5,175,2162,2.7776038656899393,2.222396134310062,1.815711847812195,400,6005.179557621649
0.14999999,-0.05263158,8.981384,458.7175219602404,3965.490033864975,10.0,2163,1.5,175,2163,2.7782183064333412,2.2217816935666597,0.8933608063320451,400,6009.286196815317
0.14999999,0.2631579,10.340162,458.79390018484287,3969.029602766037,10.0,2164,1.5,175,2164,2.7791917600971052,2.220808239902896,0.1152279651815645,400,6014.170968850136
0.14999999,0.05263158,7.552381,458.7976905311778,3972.3050286769867,10.0,2165,1.5,175,2165,2.7798357756541816,2.2201642243458197,0.8265145588327896,400,6018.344454291303
0.14999999,0.05263158,9.48099,458.72622345337027,3975.5710394382477,10.0,2166,1.5,175,2166,2.7787958242674886,2.2212041757325127,4.4726989279221385,400,6018.8717553633805
0.14999999,0.15789473,10.82893,458.7161975080757,3979.8643095493317,10.0,2167,1.5,175,2167,2.779354378260503,2.2206456217394983,1.0108176728711273,400,6022.86093769051
0.14999999,0.05263158,9.880789,458.72878228782287,3982.883682489395,10.0,2168,1.5,175,2168,2.780206787503283,2.219793212496718,0.37262238339199405,400,6027.488315307118
0.14999999,0.15789473,8.472854,458.7625633932688,3986.2288870811462,10.0,2169,1.5,175,2169,2.7811294362037313,2.21887056379627,0.21856818122443822,400,6032.269747125893
0.14999999,0.05263158,12.30906,458.66036866359445,3989.444489002228,10.0,2170,1.5,175,2170,2.778076184579877,2.2219238154201237,8.844426587559687,400,6028.425320538334
0.14999999,0.15789473,9.724955,458.7162597881161,3992.717557668686,10.0,2171,1.5,175,2171,2.7789821393648104,2.221017860635191,0.25509597733083833,400,6033.170224561003
0.14999999,-0.05263158,7.053231,458.96500920810314,3996.4606001377106,10.0,2172,1.5,175,2172,2.780162554096126,2.219837445903875,-0.3428429357829353,400,6038.513067496786
0.14999999,0.15789473,8.144352,459.19420156465713,3999.940463066101,10.0,2173,1.5,175,2173,2.78121163138295,2.2187883686170515,-0.05980749836386456,400,6043.5728749951495
0.14999999,0.05263158,9.465663,459.16145354185835,4003.0548026561737,10.0,2174,1.5,175,2174,2.7813311752868177,2.2186688247131836,1.9588999216071734,400,6046.613975073542
0.14999999,0.05263158,9.989405,459.4096551724138,4007.1804530620575,10.0,2175,1.5,175,2175,2.7824258198486294,2.217574180151372,-0.16218309722673882,400,6051.776158170769
0.14999999,0.05263158,10.695224,459.45496323529414,4010.3647952079773,10.0,2176,1.5,175,2176,2.783311965117319,2.2166880348826825,0.28932207548356764,400,6056.486836095286
0.14999999,0.2631579,11.677856,459.5333027101516,4013.3521461486816,10.0,2177,1.5,175,2177,2.7843523170249633,2.215647682975038,-0.048158068058788306,400,6061.534994163345
0.14999999,0.2631579,9.751054,459.47612488521577,4016.087856054306,10.0,2178,1.5,175,2178,2.784028697694103,2.2159713023058982,2.9204905855883827,400,6063.614503577756
0.14999999,-0.05263158,8.676478,459.55162918770077,4019.1312713623047,10.0,2179,1.5,175,2179,2.784966749101053,2.2150332508989483,0.17195728656181045,400,6068.442546291194
