DenMISELogFirst,MountainCar_std1_higher,ActionIn1,ReturnStepMax,Regret/t,DenMISEMeanLog,ReturnMax,MountainCar_mu1_higher,IWLastEpisode,AvgEpLen,NumTrainableParams,TimeElapsed,MountainCar_mu0_higher,IWFirstEpisode,IWMax,MinEpLen,Delta,ReturnAbsMax,MountainCar_std0_higher,DenMISELogLast,GridSize,TimestepsSoFar,NumTrajectories,Iteration,ReturnLastEpisode,ReturnMean,ReturnMin,IWMean,IWMin,Regret,Bound
-1.8980888,0.14999999,9.765283,98.6849,5.983346,-1.7490448,6.329948,10.0,0.01200823,847.3396226415094,,25.97269558906555,0.33333334,,21.438925,258,2.5461316e-06,7.731072,0.14999999,-0.73373723,16,44909,53,53,1.3824735,-0.9833458,-7.731072,0.88119864,,317.11734,34.49771
-1.916781,0.14999999,2.6924047,98.6849,5.894163,-1.7900854,6.329948,3.3333333,,837.574074074074,,26.23293399810791,-0.33333334,,25.94892,258,2.4527033e-06,7.731072,0.14999999,-3.746284,16,45229,54,54,3.8325248,-0.8941631,-7.731072,0.9799142,,318.2848,34.27714
-1.9351301,0.14999999,-3.399592,98.6849,5.8845334,-1.8042464,6.329948,-3.3333333,,840.5090909090909,,26.795201539993286,-0.33333334,,27.49542,258,2.3643252e-06,7.731072,0.14999999,-2.383854,16,46228,55,55,-0.3645271,-0.8845333,-7.731072,1.0102808,,323.64932,34.19118
-1.9531486,0.14999999,-2.9084196,98.6849,5.873337,-1.8194784,6.329948,-3.3333333,0.0011402004,843.3392857142857,,27.199240684509277,0.33333334,,27.99567,258,2.2806387e-06,7.731072,0.14999999,-2.4874785,16,47227,56,56,-0.25754362,-0.873337,-7.731072,1.006959,,328.90686,34.14702
-1.9708482,0.14999999,3.6945124,98.6849,5.862712,-1.8147995,6.329948,3.3333333,,846.0701754385965,,27.617000818252563,0.33333334,,28.495195,258,2.2013185e-06,7.731072,0.14999999,-1.3842841,16,48226,57,57,-0.2677193,-0.86271214,-7.731072,1.0311575,,334.1746,34.156166
-1.9882399,0.14999999,-9.625499,98.6849,5.8518977,-1.8089641,6.329948,-10.0,,848.7068965517242,,28.033000707626343,0.33333334,,28.49095,258,2.1260653e-06,7.731072,0.14999999,-1.3269806,16,49225,58,58,-0.23547226,-0.85189766,-7.731072,0.69975364,,339.41006,33.931576
-2.0053344,0.14999999,-10.587161,98.6849,5.8471746,-1.806837,6.329948,-10.0,5.5052446e-05,851.2542372881356,,28.546751022338867,-0.33333334,,28.910446,258,2.0546058e-06,7.731072,0.14999999,-1.2840358,16,50224,59,59,-0.57323706,-0.84717464,-7.731072,1.3857324,,344.9833,33.857216
-2.0221415,0.14999999,2.4299219,98.6849,5.842241,-1.804144,6.329948,3.3333333,,853.7166666666667,,29.073746919631958,-1.0,,29.999222,258,1.98669e-06,7.731072,0.14999999,-1.8220443,16,51223,60,60,-0.5511516,-0.842241,-7.731072,0.96172446,,350.53445,32.99043
-2.0386708,0.14999999,-4.5409293,98.6849,5.8567395,-1.7979866,6.329948,-3.3333333,,851.5081967213115,,29.39458131790161,-1.0,,30.493698,258,1.9220863e-06,7.731072,0.14999999,-1.2219079,16,51942,61,61,-1.7266511,-0.85673946,-7.731072,0.9995041,,357.2611,32.94031
-2.0549314,0.14999999,9.9675455,98.6849,5.8764176,-1.7986596,6.329948,10.0,,853.8870967741935,,29.935030937194824,-0.33333334,,20.298803,258,1.8605837e-06,7.731072,0.14999999,-1.6584089,16,52941,62,62,-2.0767927,-0.8764177,-7.731072,1.336319,,364.3379,31.796207
-2.0709317,0.14999999,-2.3738704,98.6849,5.829891,-1.798693,6.329948,-3.3333333,,846.3015873015873,,30.245212078094482,1.0,,31.497744,258,1.8019862e-06,7.731072,0.14999999,-2.0091932,16,53317,63,63,2.054754,-0.8298912,-7.731072,0.9677635,,367.28314,31.468534
-2.08668,0.14999999,11.038915,98.6849,5.90032,-1.7971208,6.329948,10.0,,848.6875,,30.989543199539185,1.0,,31.905407,258,1.7461142e-06,7.731072,0.14999999,-1.4951447,16,54316,64,64,-5.3373537,-0.9003203,-7.731072,0.9794681,,377.62048,30.620678
-2.1021843,0.14999999,-6.388746,98.6849,6.0279746,-1.8088808,6.329948,-5.0,,851.0,,31.500709533691406,-1.0,,2.8065301e-21,258,1.1068314e-06,9.1978655,0.14999999,-2.3664286,25,55315,65,65,-9.1978655,-1.0279747,-9.1978655,4.3177387e-23,,391.81836,inf
-2.1174517,0.14999999,-4.462152,98.6849,6.057329,-1.8641443,6.329948,-5.0,1.7870171e-29,853.2424242424242,,33.5496871471405,0.5,,3.276615e-20,258,1.073545e-06,9.1978655,0.14999999,-4.463876,25,56314,66,66,-2.9653409,-1.0573289,-9.1978655,4.972017e-22,,399.7837,inf
-2.1324894,0.14999999,4.2515044,98.6849,6.05284,-1.8861315,6.329948,5.0,,855.4179104477612,,34.20816206932068,-1.0,,4.93202e-23,258,1.0417382e-06,9.1978655,0.14999999,-2.344795,25,57313,67,67,-0.75657386,-1.05284,-9.1978655,7.401152e-25,,405.54028,inf
-2.1473045,0.14999999,5.665827,98.6849,6.053304,-1.9186236,6.329948,5.0,2.3235888e-15,850.9264705882352,,34.5907416343689,0.5,,2.3235888e-15,258,1.011324e-06,9.1978655,0.14999999,-3.102973,25,57863,68,68,-1.0844144,-1.0533043,-9.1978655,3.4170427e-17,,411.6247,inf
-2.1619034,0.14999999,-5.15139,98.6849,6.051441,-1.9535843,6.329948,-5.0,,853.072463768116,,35.12404251098633,-0.5,,0.00029867952,258,9.822227e-07,9.1978655,0.14999999,-3.3382077,25,58862,69,69,-0.924761,-1.0514413,-9.1978655,4.3293276e-06,,417.54944,15464.238
-2.1762922,0.14999999,5.7937737,98.6849,6.0446873,-2.0126975,6.329948,5.0,,855.1571428571428,,35.70084071159363,1.0,,0.09434872,258,9.543596e-07,9.1978655,0.14999999,-5.09868,25,59861,70,70,-0.5786717,-1.0446875,-9.1978655,0.0013478389,,423.1281,15480.314
-2.190477,0.14999999,-4.157071,98.6849,6.078066,-2.0369353,6.329948,-5.0,,857.1830985915493,,36.30424165725708,1.0,,0.16228816,258,9.276656e-07,9.1978655,0.14999999,-2.7420022,25,60860,71,71,-3.4145565,-1.0780659,-9.1978655,0.0022857487,,431.54266,15496.146
-2.204463,0.14999999,4.742343,98.6849,6.11233,-2.0581782,6.329948,5.0,,859.1527777777778,,36.84153509140015,,,0.7972864,258,9.020761e-07,9.1978655,0.14999999,-2.5756824,25,61859,72,72,-3.5450666,-1.11233,-9.1978655,0.011074189,,440.08777,15511.732
-2.2182565,0.14999999,-5.1147923,98.75118,6.09777,-2.0865822,6.329948,-5.0,,858.3013698630137,,37.36130738258362,,,0.4762202,258,8.775309e-07,9.1978655,0.14999999,-3.1495721,25,62656,73,73,-0.049466692,-1.0977701,-9.1978655,0.00981872,,445.1372,10979.317
-2.231862,0.14999999,4.242536,98.75118,6.083335,-2.1055121,6.329948,5.0,,860.2027027027027,,38.0288724899292,-0.5,,16.06733,258,8.539741e-07,9.1978655,0.14999999,-2.5039773,25,63655,74,74,-0.029578188,-1.083335,-9.1978655,0.3887804,,450.1668,10989.786
-2.245285,0.14999999,0.44863227,98.75118,6.0821624,-2.126288,6.329948,,,862.0533333333333,,38.62210822105408,0.5,0.00022587199,0.56905234,258,8.3135325e-07,9.1978655,0.14999999,-3.025275,25,64654,75,75,-0.9953701,-1.0821623,-9.1978655,0.016937166,,456.16217,6348.6113
-2.2585273,0.14999999,-0.6073028,98.75118,6.0752897,-2.1438835,6.329948,,7.2410285e-07,863.8552631578947,,39.10000729560852,-0.5,8.507449,8.507449,258,8.096195e-07,9.1978655,0.14999999,-2.4870794,25,65653,76,76,-0.55983275,-1.0752895,-9.1978655,0.19584231,,461.722,2431.5813
-2.165493,0.14999999,10.619999,98.75118,6.0638623,-2.1763167,6.329948,10.0,,865.6103896103896,,39.64105939865112,0.5,,10.44092,258,7.88727e-07,9.1978655,0.14999999,-3.8347473,25,66652,77,77,-0.19538812,-1.0638622,-9.1978655,0.37605858,,466.9174,64.0444
-2.1783965,0.14999999,-9.235731,98.75118,6.062564,-2.1796193,6.329948,-10.0,,867.3205128205128,,40.165751695632935,0.5,,47.265274,258,7.6863284e-07,9.1978655,0.14999999,-1.798287,25,67651,78,78,-0.9625823,-1.0625638,-9.1978655,0.99541825,,472.87997,63.84529
-2.1911354,0.14999999,-10.501464,98.75118,6.0643845,-2.1875699,6.329948,-10.0,1.1820209e-10,868.9873417721519,,40.729681968688965,-0.5,,49.208057,258,7.49297e-07,9.1978655,0.14999999,-2.623724,25,68650,79,79,-1.2063887,-1.0643842,-9.1978655,1.7256404,,479.08636,63.692924
-2.2037141,0.14999999,9.1977005,98.75118,6.0539603,-2.1784859,6.329948,10.0,,870.6125,,41.277270793914795,-0.5,,72.366776,258,7.306816e-07,9.1978655,0.14999999,-1.8591596,25,69649,80,80,-0.23046154,-1.0539602,-9.1978655,1.5523199,,484.31683,61.63592
-2.2161367,0.14999999,-5.275279,98.75118,6.0321884,-2.18143,6.329948,-5.0,,864.7901234567901,,41.56535601615906,,,78.896126,258,7.1275144e-07,9.1978655,0.14999999,-2.6445062,25,70048,81,81,0.709532,-1.0321887,-9.1978655,0.9837919,,488.6073,60.44143
-2.228407,0.14999999,4.7772026,98.75118,6.0203915,-2.189713,6.329948,5.0,,866.4268292682926,,42.087512254714966,,,69.98037,258,6.954733e-07,9.1978655,0.14999999,-2.556545,25,71047,82,82,-0.06483431,-1.0203917,-9.1978655,0.86442554,,493.67212,60.47477
-2.240528,0.14999999,-0.5815549,98.75118,6.0080533,-2.1974456,6.329948,,,864.289156626506,,42.60218954086304,-0.5,8.355692,11.2806835,258,6.788158e-07,9.1978655,0.14999999,-2.4655607,25,71736,83,83,0.003693603,-1.0080533,-9.1978655,0.31463534,,498.66843,60.41763
-2.1565845,0.14999999,-5.5442867,98.75118,6.0070705,-2.2056804,6.329948,-5.0,,865.8928571428571,,43.095765829086304,-0.5,,83.074936,258,6.627497e-07,9.1978655,0.14999999,-2.193984,25,72735,84,84,-0.9255121,-1.0070708,-9.1978655,1.0666777,,504.59393,60.165546
