Regret,IWMean,ReturnMean,ReturnStepMax,DenMISEMeanLog,ReturnLastEpisode,DenMISELogFirst,DenMISELogLast,IWMin,ReturnAbsMax,TimeElapsed,Bound,IWLastEpisode,Regret/t,Iteration,TimestepsSoFar,ReturnMin,LQGmu1_higher,IWFirstEpisode,Delta,IWMax,LQGmu1_actor,LQGsigma_higher,ReturnMax
496.47205,0.34945583,10.690918,19.194605,4.062303,17.40053,-5.250295,3.0202942,,17.405956,191.1301429271698,6539.613,,6.7090816,74,1480,,0.46938777,,2.2203328e-07,25.859732,0.4693504,0.00013791275,17.405956
506.77307,0.45586365,10.643025,19.194605,4.0627995,7.098991,-5.263718,4.793153,,17.405956,194.23613619804382,6484.9097,,6.756974,75,1500,,-0.63265306,,2.1615185e-07,34.189774,-0.6327957,0.00013791275,17.405956
506.8012,1.5326834,10.731564,19.194605,4.042547,17.371866,-5.2769637,3.141395,,17.405956,197.27261590957642,6486.9395,,6.668436,76,1520,,0.42857143,,2.1050109e-07,116.48393,0.42851442,0.00013791275,17.405956
516.7683,0.34813052,10.688723,19.194605,4.0471177,7.4328146,-5.2900357,4.4586635,,17.405956,200.40547847747803,6426.652,,6.711277,77,1540,,-0.59183675,,2.0506903e-07,26.80605,-0.591972,0.00013791275,17.405956
516.7959,0.9887727,10.774411,19.194605,4.0272117,17.372452,-5.302939,3.1892912,,17.405956,203.46023440361023,6427.205,,6.6255884,78,1560,,0.3877551,,1.9984455e-07,77.12427,0.38754022,0.00013791275,17.405956
526.4586,1.9127306,10.735967,19.194605,4.0025835,7.737249,-5.315678,2.3877091,,17.405956,206.41384387016296,6379.189,,6.664033,79,1580,,0.3469388,,1.948172e-07,151.10571,0.3467988,0.00013791275,17.405956
535.849,0.33570477,10.701887,19.194605,3.9924445,8.009642,-5.3282566,3.1161206,,17.405956,209.42022919654846,6380.716,,6.6981125,80,1600,,-0.5510204,,1.899772e-07,26.856382,-0.5509544,0.00013791275,17.405956
535.8706,0.38673282,10.784314,19.194605,3.9868374,17.378464,-5.340679,4.242629,,17.405956,212.54798913002014,6330.9033,,6.6156855,81,1620,,-0.5102041,,1.8531539e-07,31.32536,-0.5101798,0.00013791275,17.405956
535.9402,0.48250356,10.864143,19.194605,3.989222,17.330328,-5.3529496,4.849291,,17.405956,215.8664848804474,6327.895,,6.5358562,82,1640,,0.30612245,,1.8082306e-07,39.565292,0.30639398,0.00013791275,17.405956
545.0903,0.6504196,10.832646,19.194605,3.9533815,8.249933,-5.365071,1.6146958,,17.405956,218.71219182014465,6295.2036,,6.5673532,83,1660,,-0.46938777,,1.7649211e-07,53.984825,-0.46917003,0.00013791275,17.405956
545.18896,0.4314725,10.909655,19.194605,3.927756,17.30138,-5.377047,2.2938418,,17.405956,221.77536749839783,6287.7095,,6.490345,84,1680,,0.26530612,,1.7231491e-07,36.24369,0.2652887,0.00013791275,17.405956
554.1251,0.32961124,10.880881,19.194605,3.9313219,8.463885,-5.3888817,4.8661985,,17.405956,224.80490469932556,6254.6104,,6.5191183,85,1700,,-0.42857143,,1.6828433e-07,28.016956,-0.42853844,0.00013791275,17.405956
554.15063,0.34867442,10.956388,19.194605,3.9321404,17.374525,-5.4005775,4.711003,,17.405956,228.19593119621277,6252.417,,6.443611,86,1720,,0.2244898,,1.6439348e-07,29.986,0.22479431,0.00013791275,17.405956
562.90594,4.578676,10.929816,19.194605,3.8912437,8.644572,-5.4121385,1.0692611,,17.405956,231.44855785369873,6235.473,,6.4701834,87,1740,,-0.30612245,,1.6063603e-07,398.34485,-0.30609125,0.00013791275,17.405956
563.15985,0.38144252,11.000456,19.194605,3.908767,17.146112,-5.423567,4.708623,,17.405956,234.67306113243103,6230.085,,6.399544,88,1760,,-0.3877551,,1.5700596e-07,33.56694,-0.38766512,0.00013791275,17.405956
563.2451,0.6744435,11.071403,19.194605,3.8987925,17.314758,-5.4348664,3.6922758,,17.405956,237.5929057598114,6230.2925,,6.328597,89,1780,,0.18367347,,1.5349757e-07,60.02547,0.1836529,0.00013791275,17.405956
571.84753,0.4935023,11.046139,19.194605,3.9033358,8.797568,-5.4460397,4.7866454,,17.405956,240.47910261154175,6206.977,,6.353861,90,1800,,-0.3469388,,1.5010546e-07,44.415207,-0.34688827,0.00013791275,17.405956
572.01624,0.33089012,11.114107,19.194605,3.9023113,17.23132,-5.45709,4.4034376,,17.405956,243.1975119113922,6202.72,,6.2858925,91,1820,,0.14285715,,1.4682455e-07,30.111,0.14267078,0.00013791275,17.405956
580.4968,0.34374347,11.090251,19.194605,3.879772,8.919329,-5.468019,2.5374086,,17.405956,246.14785718917847,6179.072,,6.3097486,92,1840,,0.10204082,,1.4365008e-07,31.6244,0.10203421,0.00013791275,17.405956
588.88696,0.34405863,11.067882,19.194605,3.8824167,9.009865,-5.47883,4.824855,,17.405956,248.9747817516327,6165.2495,,6.332118,93,1860,,-0.26530612,,1.4057744e-07,31.997452,-0.26515386,0.00013791275,17.405956
589.31433,0.33973277,11.130698,19.194605,3.8638663,16.972773,-5.489525,2.8376787,,17.405956,251.75879383087158,6164.597,,6.2693014,94,1880,,0.06122449,,1.3760231e-07,31.934881,0.06124612,0.00013791275,17.405956
597.6438,0.84070146,11.109013,19.194605,3.8655324,9.0705,-5.5001073,4.7243767,,17.405956,254.54133343696594,6163.5986,,6.290987,95,1900,,-0.2244898,,1.3472066e-07,79.86664,-0.22460511,0.00013791275,17.405956
598.1947,0.32933995,11.168804,19.194605,3.854742,16.848938,-5.510578,3.2143037,,17.405956,257.2447319030762,6155.0547,,6.2311954,96,1920,,0.020408163,,1.3192863e-07,31.616634,0.020308767,0.00013791275,17.405956
606.40125,0.3916857,11.14844,19.194605,3.843168,9.193366,-5.5209413,3.4421718,,17.405956,260.12024998664856,6151.0444,,6.2515593,97,1940,,-0.18367347,,1.2922246e-07,37.99351,-0.18359968,0.00013791275,17.405956
607.16797,0.35219583,11.204408,19.194605,3.8369932,16.633474,-5.5311975,3.9023974,,17.405956,262.9734287261963,6151.8076,,6.195592,98,1960,,-0.020408163,,1.265987e-07,34.51519,-0.020276206,0.00013791275,17.405956
611.3634,0.6978846,11.224612,19.194605,3.8213892,13.204526,-5.54135,2.9854147,,17.405956,265.55489563941956,6154.321,,6.1753874,99,1980,,-0.06122449,,1.2405411e-07,69.090576,-0.06100779,0.00013791275,17.405956
614.3235,0.35575876,11.256765,19.194605,3.799833,14.439937,-5.5514,2.131378,,17.405956,268.0272960662842,6154.2134,,6.1432343,100,2000,,-0.14285715,,1.2158542e-07,35.575874,-0.1430519,0.00013791275,17.405956
615.6686,0.34195444,11.304271,19.194605,3.7787318,16.054838,-5.561351,2.3592749,,17.405956,270.65147948265076,6154.6343,,6.095729,101,2020,,-0.10204082,,1.1918971e-07,34.5374,-0.10225172,0.00013791275,17.405956
617.39685,0.17797062,11.347089,19.194605,3.7561538,15.671702,-5.571203,2.1767588,,17.405956,273.119811296463,4777.475,,6.052911,102,2040,,1.0,,1.1686409e-07,9.794666,1.0002946,0.00041894216,17.405956
634.7969,0.46252576,11.236923,19.194605,3.7341263,,-5.5809593,2.3119838,,17.405956,275.67983746528625,4676.559,,6.1630764,103,2060,,0.9591837,,1.14605925e-07,35.253166,0.9595712,0.00041894216,17.405956
651.4757,0.22566135,11.13581,19.194605,3.7105894,0.72129923,-5.590621,1.8735282,,17.405956,278.3820867538452,4581.2207,,6.2641897,104,2080,,0.9183673,,1.1241255e-07,14.932746,0.9181028,0.00041894216,17.405956
667.44543,0.54269403,11.043377,19.194605,3.6913168,1.4302249,-5.6001906,2.4691367,,17.405956,281.21657252311707,4492.3643,,6.3566227,105,2100,,0.877551,,1.10281555e-07,48.42041,0.87783295,0.00041894216,17.405956
682.7566,1.4354137,10.9588995,19.194605,3.6736438,2.0886922,-5.609669,2.3556502,,17.405956,283.97709369659424,4410.8696,,6.4411,106,2120,,0.8367347,,1.0821059e-07,142.13213,0.8371725,0.00041894216,17.405956
697.4331,0.1862963,10.881933,19.194605,3.6544497,2.7235858,-5.619059,1.6743294,,17.405956,286.67582607269287,4338.9844,,6.5180664,107,2140,,-1.0,,1.0619741e-07,10.347538,-1.0005465,0.00041894216,17.405956
697.63403,0.4497843,10.940425,19.194605,3.6253607,17.199057,-5.628361,1.3300893,,17.405956,289.46948504447937,4331.8477,,6.4595747,108,2160,,0.79591835,,1.04239895e-07,26.17834,0.7961389,0.00041894216,17.405956
711.7003,0.18631163,10.870639,19.194605,3.6115336,3.333786,-5.637578,2.7081022,,17.405956,292.46412420272827,4266.7627,,6.529361,109,2180,,-0.9591837,,1.0233602e-07,11.413662,-0.9593548,0.00041894216,17.405956
711.8574,0.6474342,10.928569,19.194605,3.5986006,17.242828,-5.6467104,3.0063248,,17.405956,295.4669888019562,4261.049,,6.471431,110,2200,,0.75510204,,1.0048382e-07,53.95783,0.7548849,0.00041894216,17.405956
725.34106,0.18829837,10.865395,19.194605,3.5865495,3.9163556,-5.6557603,2.7115042,,17.405956,298.44341349601746,4199.1733,,6.534605,111,2220,,-0.9183673,,9.868145e-08,11.127155,-0.918351,0.00041894216,17.405956
725.4697,0.33633348,10.922591,19.194605,3.5890236,17.271315,-5.664729,4.679262,,17.405956,301.510324716568,4192.765,,6.4774084,112,2240,,0.71428573,,9.692714e-08,25.959606,0.7144242,0.00041894216,17.405956
738.4121,0.82417786,10.865379,19.194605,3.579372,4.4576206,-5.673618,3.1860306,,17.405956,304.4909372329712,4146.9697,,6.5346203,113,2260,,-0.877551,,9.521922e-08,81.66563,-0.87765384,0.00041894216,17.405956
738.5088,0.21051194,10.921852,19.194605,3.5755994,17.30341,-5.682429,3.5043752,,17.405956,307.5059781074524,4129.4727,,6.4781475,114,2280,,0.67346936,,9.355603e-08,14.261977,0.6731277,0.00041894216,17.405956
750.92944,0.27053618,10.870179,19.194605,3.5546467,4.9793262,-5.691162,1.9618574,,17.405956,310.24445724487305,4078.4458,,6.5298204,115,2300,,-0.8367347,,9.193604e-08,18.382137,-0.83693033,0.00041894216,17.405956
751.00793,0.17507416,10.925793,19.194605,3.5417664,17.321476,-5.6998205,2.802908,,17.405956,313.12748765945435,4070.7837,,6.474207,116,2320,,0.63265306,,9.035778e-08,10.849909,0.6328613,0.00041894216,17.405956
762.9498,1.0581431,10.879061,19.194605,3.5276244,5.458117,-5.708404,2.7151031,,17.405956,316.0274214744568,4037.2502,,6.520939,117,2340,,-0.79591835,,8.8819796e-08,105.05998,-0.795646,0.00041894216,17.405956
