Iteration,DenMISEMeanLog,IWLastEpisode,TimeElapsed,IWMin,LQGmu1_higher,ReturnMax,Regret/t,ReturnAbsMax,Regret,ReturnLastEpisode,DenMISELogFirst,IWMean,IWMax,ReturnMean,LQGmu1_actor,IWFirstEpisode,Bound,LQGsigma_higher,ReturnStepMax,Delta,DenMISELogLast,TimestepsSoFar,ReturnMin
75,-0.82406616,1.8250225e-07,106.77047562599182,,0.030303031,17.420668,5.0242586,17.420668,376.81946,1.3542923,-0.72891575,1.0649068,6.310481,12.375741,0.15420711,1.0965463,54.313873,0.14999999,19.20974,1.0807592e-07,-1.1998454,1500,
76,-0.8242879,1.1407141e-08,109.74584650993347,,-0.7979798,17.420668,5.0701475,17.420668,385.3313,8.888146,-0.72764623,1.2103897,4.1921277,12.329852,-0.8057254,0.0053488123,53.921604,0.14999999,19.20974,1.0525054e-07,-0.8807903,1520,
77,-0.81650484,0.028281074,112.722811460495,,-0.33333334,17.420668,5.004877,17.420668,385.3755,17.355682,-0.7406479,0.85020685,5.552409,12.395123,-0.32254902,4.5824184,53.754307,0.14999999,19.20974,1.02534514e-07,-0.41524002,1540,
78,-0.8169493,0.009204466,115.73754620552063,,0.21212122,17.420668,4.943325,17.420668,385.57935,17.196112,-0.69574296,1.0348979,6.781748,12.456675,0.042803228,0.057611752,52.94986,0.14999999,19.20974,9.9922275e-08,-0.6864695,1560,
79,-0.8165376,2.5455074,118.79874181747437,,-0.15151516,17.420668,4.9856873,17.420668,393.86926,9.110128,-0.70774364,0.9779692,5.5212264,12.414312,-0.030486189,4.548407,52.862026,0.14999999,19.20974,9.74086e-08,-0.79525167,1580,
80,-0.81594265,5.6768777e-06,121.77360987663269,,-0.8181818,17.420668,4.9796457,17.420668,398.3717,12.897572,-0.66434413,1.1892306,4.245256,12.420354,-1.1179383,0.0030127699,52.834442,0.14999999,19.20974,9.49886e-08,-0.73081005,1600,
81,-0.8213397,8.105224,124.76658868789673,,-1.0,17.420668,4.9206095,17.420668,398.5694,17.202374,-0.67672896,0.87043595,8.644725,12.47939,-1.0606835,1.36036615e-05,53.09224,0.14999999,19.20974,9.265769e-08,-1.4234259,1620,
82,-0.82536036,4.4644493e-25,127.78131985664368,,0.5555556,17.420668,4.8630896,17.420668,398.77332,17.196058,-0.6889989,1.011111,8.238416,12.53691,0.688464,4.236348e-06,52.879387,0.14999999,19.20974,9.041153e-08,-1.0028743,1640,
83,-0.82907057,7.0854753e-13,130.77891993522644,,-0.47474748,17.420668,4.9564342,17.420668,411.38403,4.7892056,-0.7011202,0.7969388,5.2167397,12.443565,-0.5027559,1.5638206,52.129578,0.14999999,19.20974,8.8246054e-08,-1.114282,1660,
84,-0.82924736,0.02057326,133.77799606323242,,-1.0,17.420668,4.897767,17.420668,411.41248,17.371578,-0.6944305,0.9017535,8.100348,12.502233,-1.1214954,1.3846606e-05,51.996185,0.14999999,19.20974,8.6157456e-08,-0.6325386,1680,
85,-0.8363145,1.5549332e-12,136.78962540626526,,0.030303031,17.420668,4.842538,17.420668,411.61572,17.196882,-0.7062648,1.1117338,6.116888,12.557462,0.2364487,1.0719876,51.69302,0.14999999,19.20974,8.4142165e-08,-1.3131078,1700,
86,-0.83641326,6.5206154e-07,139.82453846931458,,-0.61616164,17.420668,4.888604,17.420668,420.42004,8.595631,-0.70542806,0.99018186,4.5672226,12.511395,-0.4211495,0.22925356,51.389103,0.14999999,19.20974,8.219674e-08,-0.9330134,1720,
87,-0.83487344,4.746825,142.81638884544373,,-0.35353535,17.420668,4.8329477,17.420668,420.46643,17.353489,-0.7143267,0.8787857,5.2903557,12.567052,-0.2498192,4.0648785,51.606934,0.14999999,19.20974,8.031802e-08,-0.6808872,1740,
88,-0.8346113,4.4022708e-15,145.83378267288208,,1.0,17.420668,4.7831755,17.420668,420.91943,16.947037,-0.6800913,1.0905051,15.634228,12.616824,0.718936,7.9100816e-15,51.368473,0.14999999,19.20974,7.850298e-08,-0.67734134,1760,
89,-0.83819926,2.65063e-28,148.83141827583313,,-1.0,17.420668,4.875514,17.420668,433.92078,4.3987403,-0.6913909,0.9289985,7.826028,12.524486,-0.9576985,1.3804584e-05,51.078873,0.14999999,19.20974,7.674878e-08,-1.1851479,1780,
90,-0.83650964,4.0818606e-27,151.03999972343445,,0.7171717,17.420668,4.8231983,17.420668,434.0879,17.232883,-0.702564,1.0891819,8.7972,12.576801,0.76364833,7.967464e-09,51.03324,0.14999999,19.20974,7.505273e-08,-0.5961376,1800,
91,-0.83912694,5.3403757e-09,154.0613238811493,,-0.21212122,17.420668,4.9196997,17.420668,447.69275,3.7951949,-0.7136138,0.9516146,5.471339,12.4803,-0.20197843,5.3409905,50.823944,0.14999999,19.20974,7.3412274e-08,-1.1322069,1820,
92,-0.8380423,0.005501765,157.09309101104736,,0.35353535,17.420668,4.871972,17.420668,448.22144,16.8712,-0.66750854,0.93729097,7.7944965,12.528028,0.39968532,0.00210442,50.712616,0.14999999,19.20974,7.182504e-08,-0.67681295,1840,
93,-0.84092414,1.1924689e-14,160.13298964500427,,-0.83838385,17.420668,4.924423,17.420668,457.9713,7.6502,-0.67829657,1.1038712,4.2644362,12.475576,-0.6270335,0.0018003115,49.92016,0.14999999,19.20974,7.028872e-08,-1.0242175,1860,
94,-0.8367918,3.463347,163.69849133491516,,-0.5151515,17.420668,4.872301,17.420668,457.99634,17.375004,-0.6889725,0.87732536,5.095587,12.5276985,-0.57480615,0.9761485,50.251484,0.14999999,19.20974,6.880116e-08,-0.5422222,1880,
95,-0.8352603,4.2801723,167.98302173614502,,-0.6363636,17.420668,4.8211155,17.420668,458.00598,17.390396,-0.6892236,1.0355095,4.45699,12.578884,-0.49174523,0.15935923,49.820686,0.14999999,19.20974,6.736033e-08,-0.56001896,1900,
