IWMean,ReturnMean,IWFirstEpisode,Regret,TimeElapsed,IWLastEpisode,IWMin,Delta,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,DenMISEMeanLog,Iteration,Regret/t,DenMISELogLast,ReturnStepMax,LQGsigma_higher,Bound,ReturnAbsMax,ReturnLastEpisode,DenMISELogFirst,ReturnMax,ReturnMin,IWMax
1.0363342,12.777429,5.2445207,286.59937,85.10336923599243,1.497821,,1.581496e-07,0.048941627,1240,0.13131313,-0.8280155,62,4.622571,-1.0267178,19.194098,0.14999999,58.821465,17.406137,7.6499786,-0.86198115,17.406137,,6.8835583
1.1726823,12.720316,0.039276365,294.82007,87.99911689758301,0.033053372,,1.5316883e-07,-0.64292514,1260,-0.43434343,-0.827572,63,4.6796837,-0.80250895,19.194098,0.14999999,58.33172,17.406137,9.1793375,-0.79678035,17.406137,,4.531841
1.0173358,12.793152,2.0615794e-06,294.83826,90.89153957366943,3.1103613,,1.484197e-07,-0.9398171,1280,-0.7777778,-0.821067,64,4.606848,-0.5606738,19.194098,0.14999999,58.61081,17.406137,17.381779,-0.81190544,17.406137,,5.0776777
0.9442041,12.861786,2.1586072e-10,294.9839,93.78927445411682,5.219311,,1.4388809e-07,-1.0483632,1300,-1.0,-0.82011026,65,4.5382137,-0.7546726,19.194098,0.14999999,58.551136,17.406137,17.254412,-0.8274096,17.406137,,8.742379
1.0468395,12.927461,2.2690952,295.18762,96.71283650398254,2.6863856e-07,,1.3956085e-07,-0.12295258,1320,-0.17171717,-0.8237257,66,4.472539,-0.96988416,19.194098,0.14999999,56.72722,17.406137,17.196306,-0.8426771,17.406137,,5.291335
0.96647304,12.974906,2.1510695e-10,296.4812,99.61705207824707,1.9428393e-07,,1.3542595e-07,-0.99404466,1340,-1.0,-0.8209002,67,4.4250937,-0.6614778,19.194098,0.14999999,56.634712,17.406137,16.10632,-0.82391256,17.406137,,7.94305
0.7428702,13.037142,8.040988e-09,296.67432,102.50975775718689,2.356617e-38,,1.3147212e-07,1.1140612,1360,1.0,-0.82067186,68,4.362858,-0.7411362,19.194098,0.14999999,56.3613,17.406137,17.207,-0.8387276,17.406137,,13.467455
1.0549531,12.848198,0.00042949372,314.07434,105.3853406906128,2.0601824e-28,,1.2768895e-07,-0.8206894,1380,-0.61616164,-0.83900946,69,4.5518017,-1.7982724,19.194098,0.14999999,56.125942,17.406137,,-0.85332644,17.406137,,4.717726
1.0207067,12.91235,2.2165017e-07,314.1355,108.27589249610901,4.790858,,1.2406676e-07,-0.7568989,1400,-0.83838385,-0.8349838,70,4.48765,-0.5954856,19.194098,0.14999999,56.149307,17.406137,17.338873,-0.8677089,17.406137,,4.8547654
1.1209612,12.975381,6.4091835,314.14795,111.16492247581482,4.725483e-06,,1.2059652e-07,0.1000462,1420,0.030303031,-0.83065313,71,4.4246187,-0.530098,19.194098,0.14999999,56.040287,17.406137,17.387527,-0.8818936,17.406137,,6.4274573
0.67418253,12.920356,0.19050816,322.5343,114.07286214828491,0.5298187,,1.1726989e-07,0.36552793,1440,0.43434343,-0.82993436,72,4.479644,-0.8700348,19.194098,0.14999999,54.903534,17.406137,9.013522,-0.80945426,17.406137,,8.463765
1.0386654,12.851422,0.51026183,332.04614,116.97812867164612,0.0004951919,,1.1407902e-07,-0.60156643,1460,-0.2929293,-0.83757573,73,4.5485773,-1.0460527,19.194098,0.14999999,54.858208,17.406137,7.8881745,-0.8206051,17.406137,,4.898517
1.0894501,12.913041,1.7487631e-05,332.0349,119.90771436691284,3.4139466,,1.1101664e-07,-0.76711404,1480,-0.7171717,-0.83334476,74,4.4869585,-0.5466783,19.199215,0.14999999,55.328423,17.411245,17.411245,-0.8272452,17.411245,,4.670048
1.158553,12.97229,3.506415e-05,332.07825,122.81197237968445,4.1690507e-23,,1.0807592e-07,0.694648,1500,0.7777778,-0.8283128,75,4.4277096,-0.52762306,19.199215,0.14999999,54.73525,17.411245,17.356726,-0.84066796,17.411245,,8.94436
0.9757928,12.863593,2.2165808e-10,344.76697,125.7366554737091,1.5458223e-27,,1.0525054e-07,-1.0252157,1520,-1.0,-0.8304691,76,4.5364065,-1.106071,19.199215,0.14999999,54.463226,17.411245,4.7113314,-0.8539128,17.411245,,7.9430766
0.92211837,12.919725,3.2909677,344.98108,128.66696333885193,1.00788205e-14,,1.02534514e-07,0.13458177,1540,0.21212122,-0.83092934,77,4.480274,-0.81576663,19.199215,0.14999999,54.40361,17.411245,17.185762,-0.86698484,17.411245,,7.4878635
1.0691336,12.8687,0.006430976,353.44135,131.60023736953735,0.0005506082,,9.9922275e-08,-0.75160205,1560,-0.5151515,-0.83307254,78,4.5312996,-0.89852065,19.199215,0.14999999,54.24369,17.411245,8.939747,-0.83803654,17.411245,,4.650159
1.1085159,12.925692,1.0185927e-06,353.47034,134.54655408859253,4.365798,,9.74086e-08,-0.56691676,1580,-0.7979798,-0.8287322,79,4.474308,-0.54341716,19.199215,0.14999999,54.58715,17.411245,17.371006,-0.8506931,17.411245,,4.6328793
1.0757892,12.981787,5.244193,353.45703,137.48142266273499,0.011824975,,9.49886e-08,-0.1966564,1600,-0.05050505,-0.82361937,80,4.418213,-0.51052374,19.201683,0.14999999,53.3731,17.413399,17.413399,-0.8632719,17.413399,,5.6631317
1.1064788,13.027071,0.00022650186,354.20728,140.41562938690186,0.070127055,,9.265769e-08,-0.33307222,1620,-0.6363636,-0.82092905,81,4.3729286,-0.6608712,19.201683,0.14999999,53.26555,17.413399,16.649757,-0.812201,17.413399,,4.44055
1.0497557,13.078512,0.5122369,354.36194,143.35824131965637,4.674106,,9.041153e-08,-0.17371759,1640,-0.2929293,-0.8171128,82,4.3214874,-0.5996666,19.201683,0.14999999,53.37951,17.413399,17.24518,-0.8244683,17.413399,,4.9434133
0.9502969,13.12302,0.0064348043,354.98926,146.31352877616882,9.774215e-06,,8.8246054e-08,0.7228927,1660,0.5959596,-0.81469274,83,4.2769794,-0.65056616,19.201683,0.14999999,52.827023,17.413399,16.772642,-0.8303623,17.413399,,8.691364
0.9620923,13.01854,2.1909032e-10,368.0426,149.2779643535614,1.8630667e-28,,8.6157456e-08,-0.9137775,1680,-1.0,-0.81942415,84,4.381459,-1.135215,19.201683,0.14999999,52.520264,17.413399,4.3467994,-0.842261,17.413399,,7.9028697
1.061636,13.068648,2.295153,368.16492,152.22933673858643,2.3209806e-05,,8.4142165e-08,-0.17577337,1700,-0.17171717,-0.8174153,85,4.3313513,-0.5876301,19.201683,0.14999999,52.497425,17.413399,17.277637,-0.85409546,17.413399,,5.256814
1.0460883,13.110445,0.04097616,368.90173,155.19134879112244,1.1246812,,8.219674e-08,-0.37859318,1720,-0.43434343,-0.8146573,86,4.2895546,-0.6250625,19.201683,0.14999999,51.98918,17.413399,16.66324,-0.8391478,17.413399,,4.59093
1.0450376,13.158171,4.7520217e-07,369.03906,158.16010761260986,0.060822595,,8.031802e-08,-0.6127447,1740,-0.8181818,-0.8108535,87,4.241829,-0.516207,19.201683,0.14999999,51.845894,17.413399,17.26259,-0.8502323,17.413399,,4.603853
0.8041233,13.206379,8.227531e-09,369.03857,160.24976229667664,3.446794e-25,,7.850298e-08,0.88094956,1760,1.0,-0.8068989,88,4.1936207,-0.49342617,19.201683,0.14999999,51.666656,17.413399,17.400478,-0.86166096,17.413399,,15.048746
1.0241917,13.080901,5.3024197,384.39978,162.92917132377625,3.4149314e-05,,7.674878e-08,0.059203267,1780,0.13131313,-0.81416875,89,4.3190985,-1.2249349,19.201683,0.14999999,51.56643,17.413399,2.0387857,-0.8729605,17.413399,,7.0845165
1.0749962,13.036366,1.1612785,392.72705,165.88203024864197,0.93455964,,7.505273e-08,-0.105275735,1800,-0.23232323,-0.81448966,90,4.363633,-0.8427544,19.201683,0.14999999,51.35779,17.413399,9.0727415,-0.82626337,17.413399,,4.929416
1.0597744,13.065512,0.0013087337,394.43848,168.84829449653625,0.038158894,,7.3412274e-08,-0.4677531,1820,-0.57575756,-0.8122951,91,4.334488,-0.6747812,19.201683,0.14999999,51.11326,17.413399,15.688679,-0.82449263,17.413399,,4.499641
1.1268424,13.112491,5.1000824,394.4508,171.81051111221313,0.091738135,,7.182504e-08,-0.1280499,1840,-0.05050505,-0.8084049,92,4.287509,-0.5018007,19.201683,0.14999999,50.96442,17.413399,17.387663,-0.8354073,17.413399,,5.278157
1.0705726,13.144524,0.059349775,395.75928,174.78414297103882,0.80659,,7.028872e-08,-0.5268621,1860,-0.41414142,-0.80527043,93,4.255476,-0.6257313,19.201683,0.14999999,50.690617,17.413399,16.091513,-0.7922646,17.413399,,4.439577
0.654998,13.189596,0.5035099,395.77795,177.8013379573822,6.388001e-08,,6.880116e-08,0.5578639,1880,0.37373737,-0.8011895,94,4.2104034,-0.47954735,19.201683,0.14999999,50.670074,17.413399,17.381302,-0.8023219,17.413399,,8.635194
1.237596,13.116771,3.3922326e-05,406.90674,180.7495038509369,2.9473777,,6.736033e-08,0.6839365,1900,0.7777778,-0.808907,95,4.283229,-1.1774483,19.201683,0.14999999,50.80306,17.413399,6.271175,-0.8075618,17.413399,,9.290614
0.91960067,13.030614,2.1384616e-10,419.46094,183.6990020275116,3.634029e-27,,6.5964315e-08,-0.68312407,1920,-1.0,-0.8104754,96,4.3693857,-1.156639,19.201683,0.14999999,50.312172,17.413399,4.8457775,-0.81803274,17.413399,,8.194865
1.1019667,13.075472,0.00012422337,419.47913,186.68854093551636,4.4667854,,6.461123e-08,-0.6184895,1940,-0.65656567,-0.80865955,97,4.3245277,-0.53416204,19.201683,0.14999999,50.87278,17.413399,17.381882,-0.82839555,17.413399,,4.4829164
1.1133301,13.119571,0.003871745,419.48206,189.67009472846985,3.7170324,,6.329935e-08,-0.51345545,1960,-0.53535354,-0.8044821,98,4.280429,-0.48833504,19.201683,0.14999999,50.14748,17.413399,17.397043,-0.83865076,17.413399,,4.3345814
1.0895851,13.161891,2.7373908,419.57275,192.64960956573486,0.2289828,,6.2027055e-08,-0.2428019,1980,-0.15151516,-0.7999716,99,4.2381086,-0.45883885,19.201683,0.14999999,49.76696,17.413399,17.309305,-0.84876364,17.413399,,5.1770315
1.074785,13.1998825,1.7562892e-05,420.01172,195.6519594192505,0.031322982,,6.079271e-08,-0.94323415,2000,-0.7171717,-0.7968174,100,4.200117,-0.5590096,19.201683,0.14999999,49.575443,17.413399,16.96101,-0.8315389,17.413399,,4.4051967
1.0345331,13.240009,0.006506801,420.15894,199.24370408058167,7.149379e-23,,5.9594853e-08,0.8671666,2020,0.5959596,-0.79500526,101,4.1599903,-0.6764436,19.201683,0.14999999,49.502758,17.413399,17.252739,-0.8414891,17.413399,,8.837889
