ReturnMax,DenMISELogLast,IWMax,ReturnAbsMax,IWMean,IWLastEpisode,DenMISELogFirst,ReturnMean,Regret,LQGsigma_higher,TimestepsSoFar,Iteration,DenMISEMeanLog,Bound,LQGmu1_actor,ReturnMin,IWFirstEpisode,LQGmu1_higher,ReturnStepMax,TimeElapsed,Delta,Regret/t,ReturnLastEpisode,IWMin
17.398935,-0.70024055,4.512092,17.398935,1.0979388,0.0022869029,-0.714965,12.825125,379.7146,0.14999999,1660,83,-0.8516405,52.19478,-0.3228159,,0.61314887,-0.37373737,19.1871,118.94394040107727,8.8246054e-08,4.574875,17.23735,
17.398935,-0.4874257,5.7018547,17.398935,1.081003,0.6467405,-0.719581,12.877058,379.92712,0.14999999,1680,84,-0.846332,51.990097,-0.24878396,,5.3531327,-0.030303031,19.1871,121.81498670578003,8.6157456e-08,4.5229416,17.187529,
17.398935,-0.51254857,4.857877,17.398935,1.0035478,0.0019609265,-0.66963595,12.9241495,380.44727,0.14999999,1700,85,-0.8416718,51.926422,-1.0444129,,7.477231e-06,-0.83838385,19.1871,124.66559481620789,8.4142165e-08,4.47585,16.879766,
17.398935,-0.93473214,4.4500566,17.398935,1.1705526,1.2123186e-05,-0.68133193,12.973874,380.64685,0.14999999,1720,86,-0.84289354,51.898735,-0.42342758,,1.9296263,-0.27272728,19.1871,127.55268168449402,8.219674e-08,4.4261255,17.200577,
17.398935,-0.5043401,7.9935217,17.398935,0.9576805,0.0027259449,-0.67070323,13.023465,380.75842,0.14999999,1740,87,-0.83723557,51.854828,-1.0110149,,1.5670421e-08,-1.0,19.1871,130.42988634109497,8.031802e-08,4.3765345,17.288334,
17.398935,-0.7688594,8.354596,17.398935,0.7751215,7.429731e-22,-0.68213195,13.070881,380.9624,0.14999999,1760,88,-0.83718735,51.65507,0.5187572,,0.0055585997,0.4949495,19.1871,132.62032651901245,7.850298e-08,4.3291187,17.196066,
17.398935,-1.1012334,9.655565,17.398935,1.0019579,1.0909833,-0.6933683,12.998788,391.7079,0.14999999,1780,89,-0.84287006,51.592533,1.1388377,,1.8919478e-07,0.8181818,19.1871,135.31860518455505,7.674878e-08,4.4012117,6.6545086,
17.398935,-2.181811,4.6328645,17.398935,0.9935012,4.086601e-25,-0.7045416,12.854357,409.1079,0.14999999,1800,90,-0.85811055,51.386803,-0.2692021,,0.080921285,-0.4949495,19.1871,138.21660161018372,7.505273e-08,4.545643,,
17.398935,-0.505569,4.415306,17.398935,1.180615,4.4082346,-0.7146927,12.900644,409.4414,0.14999999,1820,91,-0.854432,50.989357,-0.35043013,,1.9950861,-0.27272728,19.1871,141.10245060920715,7.3412274e-08,4.4993553,17.06655,
17.398935,-0.4562228,7.7415967,17.398935,0.9666208,0.0003554721,-0.70393467,12.947864,409.59644,0.14999999,1840,92,-0.8483153,50.746414,-0.7960116,,1.6199927e-08,-1.0,19.1871,143.98138999938965,7.182504e-08,4.452136,17.24491,
