Iteration,Delta,ReturnAbsMax,ReturnMin,LQGmu1_actor,ReturnMax,Bound,Regret/t,DenMISELogLast,LQGsigma_higher,ReturnMean,IWMin,Regret,IWMax,IWMean,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,LQGmu1_higher,IWLastEpisode,TimestepsSoFar
54,2.0847979e-07,17.400105,,0.8813132,17.400105,61.33317,4.926464,-0.8928849,0.14999999,12.473536,,266.02905,8.439943,1.0319971,19.188356,-0.6839886,-0.8880738,8.899042,36.813809394836426,2.2152863e-11,0.7777778,0.0010290601,1080
55,2.0096763e-07,17.400105,,-0.28860906,17.400105,60.84372,5.116294,-1.080066,0.14999999,12.283706,,281.39618,5.60764,0.93916404,19.188356,-0.7023377,-0.89180297,2.032951,37.3086462020874,5.014217,-0.25252524,3.066721e-12,1100
56,1.9385428e-07,17.400105,,-1.0467134,17.400105,60.348442,5.029814,-0.6431277,0.14999999,12.370186,,281.66956,7.5161557,1.0285958,19.188356,-0.6331079,-0.88883764,17.126572,37.97879719734192,0.000119528726,-1.0,6.606646e-05,1120
57,1.8711206e-07,17.400105,,-0.94498396,17.400105,59.746925,4.9450808,-0.86382025,0.14999999,12.454919,,281.86963,4.828783,1.0429348,19.188356,-0.65080535,-0.88861203,17.19995,38.45962119102478,0.08466344,-0.7373737,0.75241625,1140
58,1.8071556e-07,17.400105,,0.46572083,17.400105,59.53338,4.8624697,-0.6280107,0.14999999,12.53753,,282.0232,7.7755513,1.0851107,19.188356,-0.6667129,-0.8837895,17.246407,38.987470626831055,3.2986685e-07,0.5555556,9.2728e-22,1160
59,1.7464151e-07,17.400105,,0.21883701,17.400105,59.244904,4.9541245,-0.9728676,0.14999999,12.445875,,292.29333,6.8926315,1.0067157,19.188356,-0.6838073,-0.8845709,7.1298914,39.79136514663696,0.1064229,0.11111111,0.43026578,1180
60,1.6886865e-07,17.400105,,-0.42810822,17.400105,59.22078,5.0170784,-0.9167966,0.14999999,12.382921,,301.02472,5.1008806,1.0172311,19.188356,-0.69881225,-0.8855467,8.668634,40.29820895195007,4.1635118,-0.41414142,0.00090405723,1200
61,1.6337734e-07,17.400105,,-0.9003551,17.400105,59.1124,4.935338,-0.58215195,0.14999999,12.464662,,301.05566,7.195073,1.0938983,19.188356,-0.6482514,-0.88064694,17.369072,40.874064683914185,0.000121352576,-1.0,0.0033203932,1220
62,1.581496e-07,17.400105,,-0.76765734,17.400105,57.65328,4.8575068,-0.5874925,0.14999999,12.542493,,301.16534,4.7236276,1.0036066,19.188356,-0.66450995,-0.8750316,17.290226,41.65550971031189,0.015878756,-0.8181818,4.119038,1240
63,1.5316883e-07,17.400105,,-0.32760864,17.400105,57.617245,4.7809696,-0.5235434,0.14999999,12.61903,,301.20105,5.8618813,0.89522237,19.188356,-0.6802542,-0.86968774,17.36432,42.28393507003784,3.048593,-0.15151516,0.00097358634,1260
64,1.484197e-07,17.400105,,-0.6844903,17.400105,57.92937,4.7099895,-0.64102787,0.14999999,12.69001,,301.43933,4.887918,1.0688221,19.188356,-0.6487466,-0.8680115,17.161749,42.76232290267944,3.1560068,-0.45454547,3.5294557,1280
65,1.4388809e-07,17.400105,,-0.61240554,17.400105,57.292816,4.6377735,-0.5501413,0.14999999,12.762226,,301.45532,4.5312333,1.0868789,19.188356,-0.61611545,-0.86237884,17.384037,43.54730701446533,0.33068928,-0.65656567,4.5312333,1300
66,1.3956085e-07,17.402725,,0.49573672,17.402725,57.03859,4.567464,-0.49959278,0.14999999,12.832536,,301.45264,7.405622,0.94065046,19.191195,-0.6263083,-0.8558603,17.402725,44.43082547187805,0.00016298579,0.37373737,1.8047513e-09,1320
67,1.3542595e-07,17.402725,,1.0278268,17.402725,56.421906,4.6565,-1.0108823,0.14999999,12.7435,,311.9854,15.4023695,0.85687244,19.191195,-0.6413437,-0.85945493,6.8671403,45.109514236450195,1.5606794e-16,1.0,0.025690451,1340
68,1.3147212e-07,17.402725,,-0.9811341,17.402725,55.9765,4.8439035,-1.4077586,0.14999999,12.556096,,329.38544,7.0849457,1.0428231,19.191195,-0.6561588,-0.87041396,,45.613553285598755,0.0001223159,-1.0,,1360
69,1.2768895e-07,17.402725,,-0.27454135,17.402725,55.8365,4.7763634,-0.6442962,0.14999999,12.623636,,329.5691,5.2112565,0.9761776,19.191195,-0.6707558,-0.8669646,17.216322,46.62035918235779,5.1983356,-0.3131313,0.00025008857,1380
70,1.2406676e-07,17.402725,,-0.59583604,17.402725,55.60623,4.7118616,-0.6395436,0.14999999,12.688138,,329.83032,4.5948396,1.0707111,19.191195,-0.6125093,-0.8643327,17.138777,47.58242702484131,0.59426975,-0.61616164,0.37692595,1400
71,1.2059652e-07,17.402725,,0.53778154,17.402725,55.37573,4.6458273,-0.49843743,0.14999999,12.754172,,329.85376,8.157539,1.1246758,19.191195,-0.61824024,-0.85842466,17.376606,48.24782180786133,2.829478e-08,0.61616164,2.9145794e-14,1420
72,1.1726989e-07,17.402725,,0.09466019,17.402725,55.190445,4.7330866,-1.0084591,0.14999999,12.666913,,340.78217,7.3369107,0.93114936,19.191195,-0.63222647,-0.8593068,6.4715056,49.410396337509155,0.0459271,0.15151516,0.26475424,1440
73,1.1407902e-07,17.402725,,-0.8879556,17.402725,55.135674,4.783002,-0.91896707,0.14999999,12.616998,,349.15912,4.6547713,1.0306364,19.191195,-0.6453821,-0.8614099,9.02307,50.70639514923096,0.015577916,-0.8181818,6.0525615e-08,1460
74,1.1101664e-07,17.402725,,0.1916012,17.402725,54.4763,4.719824,-0.5487179,0.14999999,12.680176,,349.26697,6.2362304,0.8961333,19.191195,-0.6587744,-0.856983,17.292212,53.224138498306274,1.4715142,-0.07070707,1.6492069e-06,1480
75,1.0807592e-07,17.402725,,0.78081465,17.402725,54.22386,4.7719545,-0.95039904,0.14999999,12.628045,,357.8966,8.515452,0.9147146,19.191195,-0.65250725,-0.859844,8.770412,56.26419425010681,2.9462793e-12,0.8181818,0.00111831,1500
76,1.0525054e-07,17.402725,,-1.0686871,17.402725,54.202137,4.8913517,-1.0899854,0.14999999,12.508648,,371.7428,7.0931563,1.0479476,19.191195,-0.6657525,-0.86436063,3.5538054,57.58809781074524,0.00012349505,-1.0,1.958861e-30,1520
77,1.02534514e-07,17.402725,,-0.53197753,17.402725,54.061935,4.8304214,-0.9139047,0.14999999,12.569578,,371.94244,4.8048077,1.026035,19.191195,-0.6788229,-0.86473805,17.200264,58.545271158218384,2.4105227,-0.4949495,0.0044142753,1540
78,9.9922275e-08,17.42613,,0.5641776,17.42613,53.5257,4.768158,-0.53276277,0.14999999,12.631842,,371.91632,7.3096533,1.0153097,19.214323,-0.66090083,-0.8603386,17.42613,59.39354062080383,4.7840113e-05,0.41414142,1.0403946e-08,1560
79,9.74086e-08,17.42613,,-0.775574,17.42613,53.297813,4.849489,-1.0210586,0.14999999,12.55051,,383.10968,4.586466,1.0329806,19.214323,-0.67363924,-0.8625088,6.2066755,60.80530905723572,0.025107637,-0.7979798,9.143451e-18,1580
80,9.49886e-08,17.42613,,-0.20111799,17.42613,53.260525,4.7894516,-0.50060636,0.14999999,12.610548,,383.15613,5.298315,0.9469611,19.214323,-0.6859003,-0.85775393,17.353533,62.83104109764099,5.277662,-0.3131313,0.03787332,1600
81,9.265769e-08,17.42613,,-0.62611246,17.42613,52.782696,4.7394743,-0.736476,0.14999999,12.660525,,383.89746,4.4999843,1.056785,19.214323,-0.6344369,-0.85711443,16.658686,65.77996492385864,0.6074446,-0.61616164,0.12083003,1620
82,9.041153e-08,17.42613,,-1.0562878,17.42613,52.58673,4.681899,-0.4825828,0.14999999,12.718101,,383.91565,6.949758,1.0418378,19.214323,-0.6392356,-0.8520305,17.381735,68.72128248214722,0.00012026337,-1.0,0.19287314,1640
83,8.8246054e-08,17.42613,,-0.07225664,17.42613,52.54888,4.6279154,-0.84518445,0.14999999,12.772084,,384.11694,7.321088,0.97127783,19.214323,-0.6513555,-0.85174304,17.198725,71.66605877876282,0.030709883,0.17171717,1.7307089e-14,1660
84,8.6157456e-08,17.42613,,-0.26239896,17.42613,52.805534,4.601446,-0.8757868,0.14999999,12.798553,,386.52148,6.1744514,0.9144762,19.214323,-0.6629618,-0.85265523,14.995497,75.13607859611511,2.1819327,-0.11111111,6.1744514,1680
85,8.4142165e-08,17.42613,,-0.33032432,17.42613,52.35153,4.551608,-0.68033445,0.14999999,12.848392,,386.88672,5.168033,0.9889932,19.214323,-0.6491525,-0.85180783,17.034754,78.0418598651886,5.0648594,-0.2929293,5.143854,1700
