ReturnMin,InvPendulum_mu0_higher,Iteration,NumTrajectories,ReturnLastEpisode,InvPendulum_mu3_higher,BoundMISE,ReturnAbsMax,ReturnMean,InvPendulum_std1_higher,DenMISELogLast,InvPendulum_mu2_higher,InvPendulum_std3_higher,TimeElapsed,DenMISEMeanLog,ActionIn1,Bound,InvPendulum_mu1_higher,IWMean,GridSize,AvgEpLen,TimestepsSoFar,BoundBonus,IWFirstEpisode,Regret/t,Regret,InvPendulum_std2_higher,IWLastEpisode,InvPendulum_std0_higher,DenMISELogFirst,NumTrainableParams,IWMax,Delta,IWMin,MinEpLen,ReturnMax
-311.42258,,54,54,-106.50086,-0.2,-2.790575e-13,311.42258,-123.50949,0.03,3.1731791,,0.03,19.988426446914673,4.8131714,0.026515007,inf,0.2,2.604849e-15,81,45.24074074074074,2443,inf,,128.50949,6939.5127,0.03,1.09486395e-14,0.03,5.397521,,1.2289506e-13,5.084873e-07,,12,-100.93208
-311.42258,,55,55,-105.25191,0.2,-2.659946e-10,311.42258,-123.177536,0.03,5.0386205,,0.03,20.57353162765503,4.7992554,0.3376782,inf,0.2,2.2706995e-12,81,44.763636363636365,2462,inf,,128.17754,7049.7646,0.03,1.8157011e-34,0.03,5.379172,,9.2353264e-11,4.9016495e-07,,12,-100.93208
-311.42258,,56,56,-169.52322,,-1.7944564e-11,311.42258,-124.00514,0.03,5.223506,0.2,0.03,21.17690372467041,4.7891345,0.397005,inf,0.2,1.6530935e-13,81,45.232142857142854,2533,inf,,129.00514,7224.288,0.03,3.149601e-19,0.03,5.3611536,,8.486486e-12,4.7281532e-07,,12,-100.93208
-311.42258,0.2,57,57,-111.50599,,-1.3451088e-06,311.42258,-123.78586,0.03,2.917624,,0.03,21.678005695343018,4.738912,0.35060745,inf,0.2,1.0858573e-08,81,44.73684210526316,2550,inf,,128.78586,7340.794,0.03,1.0593455e-08,0.03,5.343454,,6.0834486e-07,4.563709e-07,,12,-100.93208
-311.42258,-0.2,58,58,-108.243034,,-0.0011628845,311.42258,-123.51788,0.03,4.9137297,-0.2,0.03,22.223968505859375,4.724834,-0.5419946,3522990200000.0,-0.2,1.00986235e-05,81,44.224137931034484,2565,3522990200000.0,,128.51788,7454.037,0.03,,0.03,5.326062,,0.00058553723,4.4076967e-07,,12,-100.93208
-487.02667,-0.2,59,59,-487.02667,-0.2,-0.0071673286,487.02667,-129.67905,0.03,4.8375936,,0.03,23.432440519332886,4.7099414,-0.5837325,5515955400000.0,-0.2,2.505756e-05,81,51.94915254237288,3065,5515955400000.0,,134.67905,7946.0635,0.03,7.431159e-19,0.03,5.3089676,,0.00143765,4.259549e-07,,12,-100.93208
-487.02667,-0.2,60,60,-109.84678,0.2,-8.085834e-05,487.02667,-129.3485,0.03,4.671375,,0.03,24.022435426712036,4.6927714,-0.19272932,5522271500000.0,-0.2,5.632065e-07,81,52.266666666666666,3136,5522271500000.0,,134.3485,8060.91,0.03,,0.03,5.2921605,,3.3451077e-05,4.1187477e-07,,12,-100.93208
-496.13013,-0.2,61,61,-496.13013,,-0.03716841,496.13013,-135.36133,0.03,6.0410466,0.2,0.03,25.286506414413452,4.698616,-0.19176213,5631814700000.0,-0.2,0.00027962748,81,59.60655737704918,3636,5631814700000.0,,140.36133,8562.041,0.03,4.046004e-19,0.03,5.2756314,,0.017051486,3.984813e-07,,12,-100.93208
-496.13013,,62,62,-122.99715,-0.2,-0.0026036117,496.13013,-135.16191,0.03,5.0766306,-0.2,0.03,25.8559787273407,4.6887193,-0.6698161,5638026000000.0,-0.2,2.4347339e-05,81,59.12903225806452,3666,5638026000000.0,,140.16191,8690.038,0.03,,0.03,5.259371,,0.00085775706,3.8573074e-07,,12,-100.93208
-496.13013,,63,63,-112.334305,0.2,-8.4009494e-05,496.13013,-134.79956,0.03,3.4328098,-0.2,0.03,26.432772636413574,4.6530385,-0.22634901,5644130700000.0,-0.2,6.56377e-07,81,58.82539682539682,3706,5644130700000.0,,139.79956,8807.372,0.03,3.3039465e-38,0.03,5.2433705,,2.311381e-05,3.735825e-07,,12,-100.93208
-496.13013,,64,64,-128.85812,,-1.6698707e-06,496.13013,-134.70673,0.03,5.8137865,,0.03,26.92788314819336,4.6556726,-0.1919306,5650134000000.0,-0.2,9.8932205e-09,81,58.390625,3737,5650134000000.0,,139.70673,8941.23,0.03,2.0617733e-18,0.03,5.227622,,4.3914537e-07,3.6199927e-07,,12,-100.93208
-496.13013,,65,65,-231.472,-0.2,-0.0001494958,496.13013,-136.19543,0.03,5.080041,0.2,0.03,27.58837342262268,4.646936,-0.22262046,5656037000000.0,-0.2,1.4751163e-06,81,59.58461538461538,3873,5656037000000.0,,141.19543,9177.703,0.03,1.5737698e-19,0.03,5.2121177,,9.0689995e-05,3.5094652e-07,,12,-100.93208
-496.13013,,66,66,-108.13264,0.2,-0.00046887537,496.13013,-135.77023,0.03,5.7299285,0.2,0.03,28.151906490325928,4.6483083,0.29741699,5661844000000.0,-0.2,3.3651918e-06,81,59.34848484848485,3917,5661844000000.0,,140.77023,9290.835,0.03,1.8510182e-34,0.03,5.1968503,,0.000101064,3.4039232e-07,,12,-100.93208
-496.13013,0.2,67,67,-133.61551,,-7.72422e-07,496.13013,-135.73807,0.03,4.556798,-0.2,0.03,28.717755556106567,4.632129,-0.14767304,5667558000000.0,-0.2,5.597577e-09,81,59.0,3953,5667558000000.0,,140.73807,9429.45,0.03,,0.03,5.181813,,2.3958214e-07,3.3030722e-07,,12,-100.93208
-496.13013,0.2,68,68,-110.95951,-0.2,-0.12196851,496.13013,-135.37367,0.03,4.67312,,0.03,29.241180658340454,4.618135,-0.24102357,5673181500000.0,-0.2,0.0011524921,81,58.39705882352941,3971,5673181500000.0,,140.37367,9545.41,0.03,1.1760288e-12,0.03,5.1669974,,0.078358755,3.206637e-07,,12,-100.93208
