IWFirstEpisode,InvPendulum_std3_higher,ReturnLastEpisode,MinEpLen,IWMean,DenMISEMeanLog,Iteration,ReturnMean,InvPendulum_mu0_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BoundMISE,Bound,Regret/t,DenMISELogLast,ReturnAbsMax,IWLastEpisode,TimestepsSoFar,TimeElapsed,IWMin,AvgEpLen,IWMax,Regret,NumTrainableParams,GridSize,BoundBonus,InvPendulum_std2_higher,ReturnMin,NumTrajectories,Delta,InvPendulum_mu1_higher,DenMISELogFirst,ActionIn1,InvPendulum_mu3_higher,InvPendulum_std0_higher,ReturnMax
,0.0009999999,-128.03337,12,,18.835478,47,-150.7619,0.2,-0.2,0.0009999999,,inf,155.7619,17.705587,499.97495,,3324,21.40765643119812,,70.72340425531915,,7320.809,,81,inf,0.0009999999,-499.97495,47,6.7123085e-07,-0.2,19.501608,-0.20079495,,0.0009999999,-96.95007
,0.0009999999,-117.35795,12,,18.77617,48,-150.06598,0.2,,0.0009999999,,inf,155.06598,16.978365,499.97495,,3352,21.99898886680603,,69.83333333333333,,7443.167,,81,inf,0.0009999999,-499.97495,48,6.435543e-07,-0.2,19.480555,-0.20186618,-0.2,0.0009999999,-96.95007
,0.0009999999,-104.00375,12,,18.74175,49,-149.12593,0.2,,0.0009999999,,inf,154.12593,18.079378,499.97495,,3404,22.633298873901367,,69.46938775510205,,7552.171,,81,inf,0.0009999999,-499.97495,49,6.175547e-07,-0.2,19.459934,0.003789457,,0.0009999999,-96.95007
,0.0009999999,-154.33601,12,,18.625395,50,-149.23013,0.2,,0.0009999999,,inf,154.23013,13.913793,499.97495,,3460,23.24704599380493,,69.2,,7711.507,,81,inf,0.0009999999,-499.97495,50,5.930996e-07,-0.2,19.439732,0.2010218,0.2,0.0009999999,-96.95007
,0.0009999999,-129.50818,12,,18.581371,51,-148.84343,0.2,0.2,0.0009999999,,inf,153.84343,17.370234,499.97495,,3493,23.860358238220215,,68.49019607843137,,7846.015,,81,inf,0.0009999999,-499.97495,51,5.700688e-07,-0.2,19.41993,0.19956562,,0.0009999999,-96.95007
,0.0009999999,-131.64557,12,,18.538267,52,-148.51271,-0.2,-0.2,0.0009999999,,inf,153.51271,17.330418,499.97495,,3527,24.473727703094482,,67.82692307692308,,7982.661,,81,inf,0.0009999999,-499.97495,52,5.483539e-07,,19.40051,-0.59874916,-0.2,0.0009999999,-96.95007
,0.0009999999,-108.05524,12,,18.468231,53,-147.74936,-0.2,-0.2,0.0009999999,,inf,152.74936,15.816791,499.97495,,3546,25.038616180419922,,66.90566037735849,,8095.716,,81,inf,0.0009999999,-499.97495,53,5.2785657e-07,,19.381464,-0.4037168,,0.0009999999,-96.95007
,0.0009999999,-116.18187,12,,18.421774,54,-147.16478,-0.2,-0.2,0.0009999999,,inf,152.16478,16.950275,499.97495,,3566,25.6147301197052,,66.03703703703704,,8216.898,,81,inf,0.0009999999,-499.97495,54,5.084873e-07,,19.362772,-0.1977164,0.2,0.0009999999,-96.95007
,0.0009999999,-120.32215,12,,18.405352,55,-146.67673,-0.2,,0.0009999999,,inf,151.67673,18.509352,499.97495,,3590,26.20809316635132,,65.27272727272727,,8342.22,,81,inf,0.0009999999,-499.97495,55,4.9016495e-07,,19.344421,-0.3994143,-0.2,0.0009999999,-96.95007
,0.0009999999,-103.47711,12,,18.362913,56,-145.9053,-0.2,,0.0009999999,,inf,150.9053,17.019821,499.97495,,3617,26.767640590667725,,64.58928571428571,,8450.697,,81,inf,0.0009999999,-499.97495,56,4.7281532e-07,,19.326403,-0.20036523,,0.0009999999,-96.95007
,0.0009999999,-486.46606,12,,18.351269,57,-151.88005,-0.2,,0.0009999999,,inf,156.88005,18.690405,499.97495,,4117,28.102378606796265,,72.2280701754386,,8942.163,,81,inf,0.0009999999,-499.97495,57,4.563709e-07,,19.308704,-0.0009897798,0.2,0.0009999999,-96.95007
,0.0009999999,-266.78345,12,,18.340622,58,-153.86115,-0.2,0.2,0.0009999999,,inf,158.86115,18.725044,499.97495,,4291,28.942695379257202,,73.98275862068965,,9213.946,,81,inf,0.0009999999,-499.97495,58,4.4076967e-07,,19.291311,-0.20313588,-0.2,0.0009999999,-96.95007
,0.0009999999,-114.16012,12,,18.297857,59,-153.18825,-0.2,0.2,0.0009999999,,inf,158.18825,16.809048,499.97495,,4311,29.544058799743652,,73.0677966101695,,9333.106,,81,inf,0.0009999999,-499.97495,59,4.259549e-07,,19.274218,-0.00055324077,,0.0009999999,-96.95007
,0.0009999999,-120.22619,12,,18.30393,60,-152.63889,-0.2,0.2,0.0009999999,,inf,157.63889,19.653904,499.97495,,4337,30.15117359161377,,72.28333333333333,,9458.333,,81,inf,0.0009999999,-499.97495,60,4.1187477e-07,,19.25741,0.19847098,0.2,0.0009999999,-96.95007
,0.0009999999,-120.77029,12,,18.2791,61,-152.11646,,-0.2,0.0009999999,,inf,157.11646,17.780949,499.97495,,4361,30.7794930934906,,71.49180327868852,,9584.104,,81,inf,0.0009999999,-499.97495,61,3.984813e-07,,19.240881,-0.3984266,-0.2,0.0009999999,-96.95007
