InvPendulum_std0_higher,ReturnAbsMax,Regret,ActionIn1,IWMean,InvPendulum_mu0_higher,IWLastEpisode,Regret/t,TimestepsSoFar,InvPendulum_std1_higher,ReturnLastEpisode,IWMin,TimeElapsed,DenMISELogLast,InvPendulum_mu2_higher,Delta,InvPendulum_std2_higher,NumTrainableParams,MinEpLen,InvPendulum_mu1_higher,NumTrajectories,ReturnMax,DenMISELogFirst,Bound,Iteration,IWMax,IWFirstEpisode,AvgEpLen,GridSize,BoundBonus,InvPendulum_mu3_higher,BoundMISE,ReturnMean,DenMISEMeanLog,ReturnMin,ReturnStepMax,InvPendulum_std3_higher
0.0009999999,498.95383,9705.561,0.0015653372,,,,154.05652,4451,0.0009999999,-106.78294,,30.78989887237549,17.333523,-0.2,3.735825e-07,0.0009999999,,14,,63,,18.91003,inf,63,,,70.65079365079364,81,inf,0.2,,-149.05652,18.12394,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9831.703,-0.19654994,,,,153.62036,4478,0.0009999999,-121.14258,,31.320263862609863,18.796976,,3.6199927e-07,0.0009999999,,14,,64,,18.894283,inf,64,,,69.96875,81,inf,-0.2,,-148.62036,18.118954,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9943.378,-0.001136113,,,,152.97505,4492,0.0009999999,-106.67439,,31.913108110427856,16.294579,,3.5094652e-07,0.0009999999,,14,,65,,18.878778,inf,65,,,69.1076923076923,81,inf,,,-147.97505,18.075623,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10243.715,0.19832365,,,,155.2078,4693,0.0009999999,-295.33725,,32.814730405807495,18.502201,,3.4039232e-07,0.0009999999,,14,,66,,18.86351,inf,66,,,71.10606060606061,81,inf,0.2,,-150.2078,18.067049,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10382.452,-0.0001898408,,,,154.96198,4728,0.0009999999,-133.73708,,33.347898721694946,14.420624,0.2,3.3030722e-07,0.0009999999,,14,,67,,18.848473,inf,67,,,70.56716417910448,81,inf,-0.2,,-149.96198,17.99781,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10492.848,0.20150325,,,,154.30658,4743,0.0009999999,-105.39589,,33.89093041419983,19.295649,0.2,3.206637e-07,0.0009999999,,14,,68,,18.833658,inf,68,,,69.75,81,inf,,,-149.30658,18.002298,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10606.705,0.40016437,,,,153.72037,4763,0.0009999999,-108.85605,,34.432493686676025,18.930155,0.2,3.1143645e-07,0.0009999999,,14,,69,,18.81906,inf,69,,,69.02898550724638,81,inf,0.2,,-148.72037,18.001358,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10731.828,-0.19986548,,0.2,,153.31183,4790,0.0009999999,-120.12386,,34.99478626251221,18.648684,-0.2,3.0260182e-07,0.0009999999,,14,,70,,18.80467,inf,70,,,68.42857142857143,81,inf,-0.2,,-148.31183,17.996426,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10849.71,-0.00058803085,,0.2,,152.81282,4809,0.0009999999,-112.881584,,35.593740940093994,17.633923,-0.2,2.9413786e-07,0.0009999999,,14,,71,,18.790485,inf,71,,,67.73239436619718,81,inf,,,-147.81282,17.977333,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,10968.533,0.20317015,,0.2,,152.34074,4837,0.0009999999,-113.823524,,36.120848417282104,19.059074,-0.2,2.8602412e-07,0.0009999999,,14,,72,,18.776499,inf,72,,,67.18055555555556,81,inf,0.2,,-147.34074,17.978563,-498.95383,498.95383,0.0009999999
