LQGmu1_higher,Delta,ReturnMax,Regret/t,IWMean,DenMISEMeanLog,ReturnMin,IWFirstEpisode,DenMISELogFirst,Iteration,ReturnAbsMax,LQGmu1_actor,ReturnStepMax,TimeElapsed,IWMax,ReturnMean,ReturnLastEpisode,LQGsigma_higher,Regret,Bound,TimestepsSoFar,IWLastEpisode,DenMISELogLast,IWMin
-1.0,2.968394e-07,0.95581526,0.28567678,1.0067713,-0.6763916,,1.4876423,-0.75954753,64,0.95581526,-1.021937,0.9988446,716.8137354850769,28.694881,0.67944324,0.51427287,0.035191916,18.283314,35.494038,1280,,-0.53873855,
-0.5102041,2.8777617e-07,0.95581526,0.28143615,1.2108353,-0.684954,,,-0.75207335,65,0.95581526,-0.4759031,0.9988446,726.4771344661713,32.971737,0.6836839,0.9550845,0.027547687,18.293346,35.29707,1300,,-1.094065,
0.3469388,2.791217e-07,0.95581526,0.2773146,1.0175076,-0.6866454,,,-0.7673408,66,0.95581526,0.3401163,0.9988446,735.9403057098389,33.477238,0.6878054,0.9557031,0.027547687,18.302765,35.01559,1320,,-0.81171036,
-0.42857143,2.708519e-07,0.95581526,0.27910054,1.0953611,-0.6853385,,,-0.7823787,67,0.95581526,-0.4226831,0.9988446,744.9736335277557,33.944252,0.6860195,0.5681519,0.027547687,18.699734,34.745823,1340,,-0.47253045,
0.79591835,2.6294424e-07,0.95581526,0.27514148,1.2669288,-0.683507,,,-0.79719377,68,0.95581526,0.7774055,0.9988446,754.8550798892975,20.277414,0.68997854,0.9552361,0.03818524,18.709618,34.57826,1360,,-0.48015508,
0.26530612,2.553779e-07,0.95581526,0.280738,0.860309,-0.6775836,,,-0.81179255,69,0.95581526,0.2610227,0.9988446,764.8458378314972,34.77639,0.684382,0.3038154,0.027547687,19.370926,34.520348,1380,,-0.42795396,
0.18367347,2.4813352e-07,0.95581526,0.28218722,1.2633798,-0.67866075,,,-0.8261813,70,0.95581526,0.20217955,0.9988446,774.8415334224701,35.5561,0.6829328,0.5829371,0.027547687,19.753109,34.438118,1400,0.4632876,-0.4996488,
-0.3469388,2.4119305e-07,0.95581526,0.28201532,1.0734799,-0.67737836,,,-0.84036595,71,0.95581526,-0.33314118,0.9988446,785.2685306072235,36.008312,0.6831047,0.6951398,0.027547687,20.023087,34.46179,1420,,-0.6417873,
0.020408163,2.3453978e-07,0.95581526,0.27823734,1.1993158,-0.6780965,,,-0.8543522,72,0.95581526,0.04222562,0.9988446,796.4417831897736,29.415253,0.6868827,0.95511603,0.027547687,20.033089,34.26661,1440,4.5929133e-35,-0.61799216,
-0.18367347,2.2815804e-07,0.95581526,0.27467614,1.0792868,-0.67874396,,,-0.8681455,73,0.95581526,-0.17834827,0.9988446,807.4781823158264,38.09154,0.6904439,0.94685656,0.027547687,20.051353,34.164883,1460,7.634818e-14,-0.7460272,
-0.9183673,2.2203328e-07,0.95581526,0.27112436,1.217911,-0.6787365,,25.212605,-0.8817511,74,0.95581526,-0.9171674,0.9988446,817.5628867149353,26.33584,0.69399565,0.95327246,0.03818524,20.063206,33.839863,1480,,-0.57776946,
0.10204082,2.1615185e-07,0.95581526,0.26764548,0.6136888,-0.6766276,,,-0.6019742,75,0.95581526,0.09726292,0.9988446,827.217497587204,37.83616,0.69747454,0.95491165,0.027547687,20.073414,33.833958,1500,,-0.59987515,
-0.26530612,2.1050109e-07,0.95581526,0.26578164,0.5664932,-0.68160844,,,-0.6152194,76,0.95581526,-0.32994086,0.9988446,836.7646656036377,37.267803,0.6993384,0.8391255,0.027547687,20.199406,33.78081,1520,6.25343e-37,-0.5771996,
-0.79591835,2.0506903e-07,0.95581526,0.26246667,1.1024505,-0.688646,,0.05788224,-0.6282915,77,0.95581526,-0.8087017,0.9988446,846.933482170105,29.789515,0.70265335,0.95459074,0.035191916,20.20993,33.35973,1540,1.945398e-37,-0.70435005,
0.877551,1.9984455e-07,0.95581526,0.2592277,0.902791,-0.6897557,,,-0.64044344,78,0.95581526,0.8833076,0.9988446,856.6966352462769,19.905497,0.7058923,0.95529467,0.044957362,20.219757,32.81957,1560,,-0.7598384,
0.63265306,1.948172e-07,0.95581526,0.26525712,0.90568155,-0.69046366,,,-0.65318245,79,0.95581526,0.61419016,0.9988446,866.6041212081909,21.045357,0.6998629,0.22957087,0.03818524,20.955315,32.68067,1580,8.365181e-09,-0.5986295,
-0.06122449,1.899772e-07,0.95581526,0.26896435,0.83108044,-0.69100165,,,-0.66576123,80,0.95581526,-0.059979,0.9988446,876.4859006404877,36.45758,0.69615567,0.4032836,0.029890813,21.517147,32.679955,1600,,-0.5753405,
1.0,1.8531539e-07,0.95581526,0.26586908,0.7219828,-0.6936955,,,-0.6781838,81,0.95581526,1.0412854,0.9988446,886.5552563667297,12.720869,0.69925094,0.94686824,0.0529305,21.535397,32.65887,1620,,-0.64496905,
-0.71428573,1.8082306e-07,0.95581526,0.2729873,0.80670667,-0.7112977,,1.6119122e-05,-0.6904539,82,0.95581526,-0.7006767,0.9988446,896.8785011768341,26.037653,0.6921327,0.11555895,0.03818524,22.384956,31.419132,1640,,-1.8221825,
0.46938777,1.7649211e-07,0.95581526,0.2698142,0.90644056,-0.71334314,,,-0.702575,83,0.95581526,0.47537437,0.9988446,906.4791433811188,21.207151,0.6953058,0.9555016,0.03818524,22.39458,31.200443,1660,,-0.63096315,
-0.5510204,1.7231491e-07,0.95581526,0.27216512,1.1671414,-0.7148037,,2.4954775e-19,-0.7145512,84,0.95581526,-0.46793962,0.9988446,916.4636569023132,27.226055,0.6929549,0.49782723,0.03818524,22.86187,30.967512,1680,,-0.6732786,
0.71428573,1.6828433e-07,0.95581526,0.26907688,0.7599462,-0.7166576,,,-0.72638565,85,0.95581526,0.68215644,0.9988446,927.2732136249542,12.174198,0.69604313,0.95545447,0.044957362,22.871536,30.79395,1700,,-0.939983,
-1.0,1.6439348e-07,0.95581526,0.27284515,0.9543857,-0.7170815,,4.5925493,-0.7380817,86,0.95581526,-0.99225,0.9988446,938.1966533660889,27.00232,0.69227487,0.37197283,0.0529305,23.46468,30.475786,1720,,-0.48446783,
0.30612245,1.6063603e-07,0.95581526,0.26982605,0.9681145,-0.7168167,,,-0.6976178,87,0.95581526,0.35257065,0.9988446,949.187392950058,28.197529,0.69529396,0.9549336,0.03818524,23.474865,30.199087,1740,,-0.5718432,
-0.3877551,1.5700596e-07,0.95581526,0.2712289,1.0578858,-0.71689665,,,-0.70904654,88,0.95581526,-0.38309738,0.9988446,961.0542454719543,21.445362,0.6938911,0.57184225,0.03818524,23.868149,30.061478,1760,,-0.61599505,
-0.14285715,1.5349757e-07,0.95581526,0.26829207,1.0258245,-0.71716774,,,-0.7203461,89,0.95581526,-0.12394726,0.9988446,972.3260464668274,33.103546,0.69682795,0.9552715,0.035191916,23.877995,30.076004,1780,1.7903037e-09,-0.73217654,
-0.8367347,1.5010546e-07,0.95581526,0.26545143,1.05329,-0.7199141,,4.4100003,-0.7315194,90,0.95581526,-0.81934255,0.9988446,983.1683099269867,19.609173,0.6996686,0.95248526,0.048781306,23.890629,29.820364,1800,,-0.8888146,
0.06122449,1.4682455e-07,0.95581526,0.26264244,0.96993613,-0.72003525,,,-0.6947319,91,0.95581526,0.05059664,0.9988446,994.1987714767456,26.93399,0.7024776,0.9552892,0.035191916,23.900463,29.629622,1820,,-0.718174,
0.5510204,1.4365008e-07,0.95581526,0.2606768,0.86572164,-0.7214281,,,-0.705661,92,0.95581526,0.56665325,0.9988446,1004.9736530780792,19.587688,0.7044432,0.8833207,0.044957362,23.982262,29.32856,1840,2.2999334e-26,-0.7329703,
0.14285715,1.4057744e-07,0.95581526,0.26345897,0.6933866,-0.7232281,,,-0.7164719,93,0.95581526,0.1761676,0.9988446,1016.0503625869751,15.115107,0.70166105,0.4456987,0.03818524,24.501686,29.11302,1860,3.7947273e-26,-0.7075843,
-0.2244898,1.3760231e-07,0.95581526,0.2634886,0.60003394,-0.7260376,,,-0.7271672,94,0.95581526,-0.27138644,0.9988446,1027.0418345928192,21.585354,0.7016314,0.6988684,0.03818524,24.76793,28.885502,1880,2.4786986e-23,-0.64786047,
-0.63265306,1.3472066e-07,0.95581526,0.26082218,0.8616881,-0.7302937,,3.8922504e-08,-0.7377493,95,0.95581526,-0.6631981,0.9988446,1037.7626712322235,19.390078,0.70429784,0.9549455,0.044957362,24.778107,28.84478,1900,1.6910082e-13,-0.6953426,
0.79591835,1.3192863e-07,0.95581526,0.25820768,1.0308596,-0.73092794,,,-0.7482206,96,0.95581526,0.7981044,0.9988446,1048.6582481861115,13.867468,0.70691234,0.9552879,0.057432614,24.787933,28.7783,1920,,-0.6051867,
-0.020408163,1.2922246e-07,0.95581526,0.26236075,1.0294417,-0.7297884,,,-0.75858337,97,0.95581526,-0.026906643,0.9988446,1059.6910021305084,24.928448,0.70275927,0.30406645,0.041433174,25.44899,28.464312,1940,,-0.6054418,
0.3877551,1.265987e-07,0.95581526,0.25989443,0.95043164,-0.7312063,,,-0.7688399,98,0.95581526,0.47485834,0.9988446,1072.064029932022,24.441711,0.7052256,0.94446456,0.044957362,25.469658,28.281387,1960,6.8049e-18,-0.8239782,
-0.46938777,1.2405411e-07,0.95581526,0.26224732,1.1342201,-0.732546,,5.9403136e-21,-0.77899224,99,0.95581526,-0.5442072,0.9988446,1088.4404921531677,25.549316,0.7028727,0.47228706,0.044957362,25.962486,28.179409,1980,,-0.76047605,
0.9183673,1.2158542e-07,0.95581526,0.2597193,0.99260294,-0.73233277,,,-0.7890426,100,0.95581526,0.94105554,0.9988446,1103.9871447086334,11.147463,0.7054007,0.95566386,0.06761824,25.971931,27.734463,2000,,-0.7670443,
0.2244898,1.1918971e-07,0.95581526,0.26495415,1.1023484,-0.7309742,,,-0.79899293,101,0.95581526,0.2813063,0.9988446,1118.915785074234,25.831059,0.70016587,0.17668441,0.044957362,26.760368,27.646763,2020,,-0.5541812,
-0.30612245,1.1686409e-07,0.95581526,0.2662322,1.0188887,-0.73022634,,,-0.8088452,102,0.95581526,-0.27078947,0.9988446,1134.8106799125671,18.865868,0.6988878,0.56980944,0.044957362,27.155685,27.499643,2040,1.4838198e-36,-0.6832398,
0.63265306,1.14605925e-07,0.95581526,0.2637446,0.9816794,-0.72980154,,,-0.81860137,103,0.95581526,0.7292285,0.9988446,1152.011464357376,14.00554,0.7013754,0.9551119,0.057432614,27.165695,27.096752,2060,,-0.64293003,
-0.71428573,1.1241255e-07,0.95581526,0.2671284,0.97298175,-0.7302161,,0.03161134,-0.8282633,104,0.95581526,-0.673276,0.9988446,1170.3194136619568,15.894609,0.6979916,0.3494621,0.057432614,27.781357,26.68284,2080,,-0.7143361,
